scenario,window,seeds,OD_U_percent,Once_U_percent,OD_SLO1p5_percent,Once_SLO1p5_percent,delta_U_pp,delta_SLO_pp
full,warm_2_4s,"7,19,43",60.22430751436542,62.427399465403454,34.62022128671698,71.61398109222627,2.203091951038033,36.993759805509285
under,warm_2_4s,"7,19,43",100.0,100.0,100.0,100.0,0.0,0.0
semi,warm_2_4s,"7,19,43",98.42464334989904,99.02405185470172,93.52907085413078,98.9868662218607,0.5994085048026818,5.457795367729915
full,long_2_6s,"7,19,43",62.97601985305197,64.19678311289552,40.63781385120192,71.75665126827352,1.2207632598435438,31.118837417071596
under,long_2_6s,"7,19,43",100.0,100.0,100.0,100.0,0.0,0.0
semi,long_2_6s,"7,19,43",98.82398261071985,99.18652373084188,94.3810584793353,99.2958946129072,0.36254112012203166,4.91483613357191
full,full_population,"7,19,43",61.68164654412144,60.834482955028136,40.45138888888889,71.55257936507935,-0.8471635890933058,31.10119047619046
under,full_population,"7,19,43",99.3498931330646,99.42889451179417,100.0,100.0,0.07900137872957202,0.0
semi,full_population,"7,19,43",95.48885099388765,95.75663444695108,92.15277777777777,97.8125,0.26778345306343,5.6597222222222285
