group,id,A_request,B_request,x,y,A_demand_GB_s,B_demand_GB_s,input_ideal_fleet_mean_GB_s,runtime_nominal_fleet_mean_FIFO_GB_s,runtime_nominal_fleet_mean_Once_GB_s,S_used,S_min,S_max,both_conditions_satisfied,pooled_request_count
1,XY12_32,200K/3564,32K/1455,6.426595982499282,11.999052257267367,2.3036251079682093,4.30108227231582,26.419145046181182,26.377727378334818,26.333006856468458,1,1,0,False,1248
2,XY12_24,200K/2645,24K/1325,8.694464754204121,11.99828963422271,3.1169112036258118,4.301311747473929,29.67322945482117,29.49548976114138,29.56309144684124,1,1,0,False,1560
3,XY12_20,200K/2189,20K/1236,10.528528372479736,12.001018992584243,3.773453178279105,4.3011978177809755,32.298514360066584,32.05117686579671,32.09452666613279,1,1,1,True,1560
4,XY12_16,200K/1735,16K/1122,13.305267985847204,11.99841595949782,4.7691269029733245,4.300700174274767,36.27918463301112,35.77910320808252,36.07559574347714,1,1,1,True,1872
5,X16,200K/2048,16K/1122,13.284759533481852,14.15772329214862,4.0355194448904195,4.300700174274767,33.257380550326566,33.003217837334375,32.99637070648144,1,1,1,True,1872
