group,id,strategy,scope,n,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,slo15_pct
1,XY12_32,baseline,all,1248,152.28677345995297,82.00485591039251,92.20695457279905,983.9805514184739,987.6002242619301,1002.2069899200396,100.0
1,XY12_32,baseline,A,96,985.3599916423282,983.9805514184773,987.9004225093713,996.2257003201694,1002.2069899200396,1002.2069899200396,100.0
1,XY12_32,baseline,B,1152,82.86400527808834,82.00485591039205,84.63098438327052,87.9869906015283,95.51360737280027,113.29566177108791,100.0
1,XY12_32,once,all,1248,152.00328520631797,82.0048559103916,84.66296748932285,984.1237089094489,993.3235354332701,1009.0683649089115,100.0
1,XY12_32,once,A,96,987.3949551959377,985.2259265094249,994.2463841092331,998.6500454326342,1009.0683649089115,1009.0683649089115,100.0
1,XY12_32,once,B,1152,82.387312707183,82.00485591038887,82.00485591039251,82.00485591039251,100.86526140159746,103.60705980159847,100.0
2,XY12_24,baseline,all,1560,114.9224307788422,61.21451363079271,76.26960953498909,730.5546328529163,736.3601825170443,744.6177360206198,100.0
2,XY12_24,baseline,A,120,732.488670444922,730.5546328529181,738.3589848713227,740.2815212139647,743.4028370129172,744.6177360206198,100.0
2,XY12_24,baseline,B,1440,63.45857747333553,61.042603039675896,69.1652702612023,72.9281436371266,81.45136651260327,89.82928934353691,100.0
2,XY12_24,once,all,1560,113.5393792883433,60.88823116664571,67.52041804664529,734.9466420368271,745.573193977749,759.6145767562966,100.0
2,XY12_24,once,A,120,738.0033773655404,736.3688276367966,746.4741994972019,750.4783931405091,754.9857763413961,759.6145767562966,100.0
2,XY12_24,once,B,1440,61.5007127819102,60.88823116664571,62.229800924535084,65.16386044658157,73.23657916639422,83.88414435081977,100.0
3,XY12_20,baseline,all,1560,97.51451882632094,53.1122651776941,72.57632814822438,605.6424522600897,614.8032311397556,621.935138339601,99.1025641025641
3,XY12_20,baseline,A,120,608.8440497760473,606.9491747604216,614.8032311397558,616.6837102097253,621.7314852196059,621.935138339601,100.0
3,XY12_20,baseline,B,1440,54.90372458051043,52.22993044581699,62.96164644756118,68.160395328106,75.49194537753965,89.18728097626354,99.02777777777779
3,XY12_20,once,all,1560,94.55869851798747,50.39629079692895,56.8720417772638,611.1342946148543,624.2786416400429,650.3413907370082,100.0
3,XY12_20,once,A,120,615.2650217787385,613.4887070201135,624.7962471104029,626.276840159012,631.5837996914056,650.3413907370082,100.0
3,XY12_20,once,B,1440,51.16650491292486,50.39629079692759,52.8869406276126,54.90646910691294,62.62342242839031,73.18813940731604,100.0
4,XY12_16,baseline,all,1872,81.68263961777394,47.266226280677074,68.17687003158017,481.76515938266766,489.9840989024865,503.7426525029233,93.42948717948718
4,XY12_16,baseline,A,144,484.63189335053517,482.674608431289,490.52232025406835,493.750443311048,497.669209302323,503.7426525029233,100.0
4,XY12_16,baseline,B,1728,48.10353514004383,46.266080836210136,57.71414236512567,62.25862290306486,75.39724956518887,94.91422335794186,92.88194444444444
4,XY12_16,once,all,1872,75.7706341175614,39.972832569990715,48.22685872116517,490.34476281791376,504.5922576857547,528.7569905105029,99.67948717948718
4,XY12_16,once,A,144,494.37878528160695,493.2640272376271,505.7865284485729,509.4726114339278,523.0340290141403,528.7569905105029,100.0
4,XY12_16,once,B,1728,40.88662152055762,39.972832569990715,42.80747546627608,45.11834891947001,52.09537537873888,65.10344604500395,99.65277777777779
5,X16,baseline,all,1872,86.91162109005099,45.407767370350484,63.73249756404675,568.0681735378616,574.6678215377183,583.9501882580977,95.88675213675214
5,X16,baseline,A,144,570.1691824476786,568.0681735380417,575.2050439377058,576.813317857672,583.4129658575289,583.9501882580977,100.0
5,X16,baseline,B,1728,46.640157643582015,44.94524375790115,55.08969189604977,58.79160653327381,69.34802286361162,79.0720598939709,95.54398148148148
5,X16,once,all,1872,82.09627997923234,39.972832569990715,47.64641509304056,573.7648007380614,588.8929610869941,607.6299322570048,99.73290598290599
5,X16,once,A,144,578.9256245400209,576.3337671380219,590.3980167070767,595.987034303568,605.3375499820191,607.6299322570048,100.0
5,X16,once,B,1728,40.693834599166614,39.972832569990715,41.993370829439755,44.74643274717346,52.27809857873895,61.136144107495625,99.71064814814815
