label,candidate,candidate_assignment,reference,input_fingerprint,seq_len_k,nql,role,sim_category,request_count,cohort_id_sha256,delta_cohort_U_pp,delta_admission_SLO_pp,delta_mean_stall_ms
aligned_short072_seed7,strategy1_pipeline,pipeline,baseline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,6016,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13,29.964610119664357,29.870345744680847,-1.8123984127408317
aligned_short072_seed7,strategy1_pipeline,pipeline,baseline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,6016,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e,21.945062184002484,16.688829787234038,-1.5704157518821014
aligned_short072_seed7,strategy1_pipeline,pipeline,baseline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,6016,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1,15.166418259799064,6.914893617021278,-1.287897137437198
aligned_short072_seed7,strategy1_pipeline,pipeline,baseline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,576,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea,-10.757189693626124,-6.597222222222221,9.70809220805166
aligned_short072_seed7,strategy1_pipeline,pipeline,once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,6016,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13,2.6870045859935465,1.2632978723404298,-0.116907785814145
aligned_short072_seed7,strategy1_pipeline,pipeline,once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,6016,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e,1.347565534579065,0.3158244680851019,-0.07628683947474448
aligned_short072_seed7,strategy1_pipeline,pipeline,once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,6016,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1,0.8898867107460129,0.11635638297872175,-0.06467612432997707
aligned_short072_seed7,strategy1_pipeline,pipeline,once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,576,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea,1.4295380928493029,6.597222222222221,-1.483706068552264
aligned_short072_seed7,strategy1_pipeline,pipeline,new_once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,6016,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13,-0.11601272558291464,0.0,0.0049060546191086385
aligned_short072_seed7,strategy1_pipeline,pipeline,new_once,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,6016,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e,-0.05197284615142683,0.0,0.0029010461154237803
