label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,seq_len_k,nql,role,sim_category,compute_share_of_full_input,request_count,compute_ms,active_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,p05_request_compute_fraction,median_request_compute_fraction,mean_io_stall_ms,mean_layer0_stall_ms,mean_warm_layers_stall_ms,warm_layers_share_of_total_stall,p95_io_stall_ms,admission_slo_passed,admission_slo_pass_rate,arrival_slo_passed,arrival_slo_pass_rate,cohort_id_sha256
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,36342.25502893715,0.6991089809964741,0.7651879631774577,0.13998732670756456,0.4335881263378174,0.7863720637217896,1.817662591179819,0.1772589874575821,1.6404036037222425,0.9024797075553388,5.5170134338363255,4219,0.7012965425531915,9,0.0014960106382978723,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,43025.06594167511,0.7799414274797999,0.8252990627922291,0.21520152346719815,0.5312611800434779,0.8578275981717765,1.5738089417746013,0.19667776029216227,1.377131181482439,0.8750307263660658,4.921515709987261,5012,0.8331117021276596,13,0.002160904255319149,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,51059.67529628344,0.8478111314222817,0.877714158174965,0.24739252862338504,0.6263217859016164,0.9165917360105665,1.2916745700278296,0.19574100249320517,1.095933567534625,0.8484595059504907,4.293087054547584,5600,0.9308510638297872,9,0.0014960106382978723,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,baseline,baseline,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,42961.9172513548,0.9340400159250009,0.9342463728814825,0.8806638404941655,0.916106868171439,0.9354165816561271,4.919735030782798,4.876108316448787,0.04362671433401028,0.008867695935052964,6.379806109443166,576,1.0,5,0.008680555555555556,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,26142.183417344153,0.9718850363331822,0.9776428760032716,0.44013777671412024,0.8639786890533835,1.0000000000000486,0.1221719642531324,0.017160425120857165,0.10501153913227522,0.8595387638582787,0.6648947460336103,5940,0.9873670212765957,9,0.0014960106382978723,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,34036.386404633,0.9859163939740341,0.9885746986302786,0.5252066188023771,0.9254596127614318,0.9999999999997392,0.07968002936724448,0.011190553293786019,0.06848947607345847,0.8595563608265144,0.44927259575049305,5997,0.996841755319149,13,0.002160904255319149,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43700.77768142873,0.9905764469128122,0.9921882190243118,0.5967220034155768,0.9558694190723711,0.9999999999999766,0.06845355692060884,0.010862084054014762,0.057591472866594086,0.841321845896008,0.3322086632359458,6009,0.9988364361702128,9,0.0014960106382978723,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,once,once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,49408.393058678754,0.8121727380602466,0.83091483313083,0.47158841772274396,0.6056761187108929,0.86648170765096,16.111533307386722,6.561695160672558,9.549838146714167,0.5927330418847109,45.35659377566617,500,0.8680555555555556,4,0.006944444444444444,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,25409.351353297385,0.9999152094489469,0.9999198373414476,0.935145732744933,0.9999999999991872,1.0000000000000486,0.00035812381987876076,0.00035812381987876076,0.0,0.0,0.0,6016,1.0,9,0.0014960106382978723,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,33559.99208492258,0.999911777781339,0.9999153545331548,0.9494321765696859,0.9999999999997392,0.9999999999999838,0.0004921437770762342,0.0004921437770762342,0.0,0.0,0.0,6016,1.0,13,0.002160904255319149,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43291.04757798895,0.9999518030837946,0.9999533523650052,0.9587389604316684,0.999999999999787,0.9999999999999923,0.0003468243010500644,0.0003468243010500644,0.0,0.0,0.0,6016,1.0,9,0.0014960106382978723,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,48757.10220042197,0.8230216330058416,0.8396200359266962,0.5593225298347144,0.6129952054192345,0.8809413602655223,14.980820011802065,6.921912679634395,8.058907332167667,0.5379483450050642,43.98323050487886,516,0.8958333333333334,5,0.008680555555555556,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,25438.866177885982,0.9987550821931177,0.9988190955289679,0.8015195682364014,0.9959921491898783,1.0000000000000486,0.005264178438987399,0.0009943898962087117,0.0042697885427786875,0.8111025475800571,0.016994350037009553,6016,1.0,8,0.0013297872340425532,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,33577.444778354155,0.9993920493198247,0.9994070249571883,0.9139386260794037,0.9987546146329979,0.9999999999999838,0.0033931898925000144,0.0007568574652316002,0.0026363324272684146,0.7769480962723347,0.006955377178201161,6016,1.0,9,0.0014960106382978723,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43311.68611746059,0.9994753140202723,0.9994853165658494,0.9220102520458384,0.998921151957676,0.9999999999999766,0.003777432590631766,0.0010973458422223064,0.0026800867484094598,0.7094995566714327,0.0077713847200726605,6016,1.0,14,0.002327127659574468,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,48553.77836319266,0.8264681189887396,0.8394265683736131,0.5530183499340486,0.614382355307323,0.8623239786618643,14.627827238834458,6.898533090914037,7.729294147920434,0.5283965979171834,43.72651259000044,538,0.9340277777777778,7,0.012152777777777778,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,25462.07805959186,0.9978445915109844,0.9979219876937917,0.8596479455093805,0.9855172135863691,1.0000000000000486,0.00912253643528263,0.0015812736821432935,0.007541262753139337,0.8266629359760619,0.06206358200931561,6016,1.0,8,0.0013297872340425532,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,33601.69330935178,0.9986708419430533,0.9987011549955174,0.9024271036357174,0.9899748699186002,0.9999999999999838,0.007423863263139224,0.0012887899959369265,0.006135073267202297,0.8263990121779324,0.056486095017646676,6016,1.0,9,0.0014960106382978723,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43337.27094080036,0.9988852584217877,0.9989044063162471,0.9363681025119697,0.991794233739124,0.999999999999787,0.008030229023428825,0.0016657291201995943,0.006364499903229231,0.7925676695721009,0.05953425160078041,6016,1.0,14,0.002327127659574468,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,49285.439796347426,0.8141988798200381,0.8291146281577577,0.5368138640078239,0.5960128515879142,0.8404980561220774,15.898072782505835,4.769624866079499,11.128447916426325,0.6999872291861701,47.221727823025674,537,0.9322916666666666,7,0.012152777777777778,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,25455.240214732545,0.9981126348078813,0.998176616131693,0.8580032533922951,0.9865039292030097,1.0000000000000486,0.00798592658501479,0.001043078656978241,0.006942847928036547,0.8693853936829912,0.05777732843674244,6016,1.0,8,0.0013297872340425532,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,33592.27586187816,0.9989508149414923,0.9989720145817554,0.9229431088641217,0.9907506397471189,0.9999999999999838,0.005858463084667146,0.0010829140963985974,0.00477554898826855,0.8151538926253857,0.05207425248312347,6016,1.0,9,0.0014960106382978723,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43322.9934000803,0.9992144513937524,0.9992254728991822,0.9452897542435553,0.9928125276404979,0.9999999999999766,0.005656967600566197,0.0012165161726783232,0.004440451427887874,0.7849526003018713,0.05209287009733998,6016,1.0,14,0.002327127659574468,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,48565.94607440772,0.8262610556817692,0.8386217201190795,0.518944036681479,0.6394049037309039,0.8592336936603395,14.648951737471691,5.708886461895348,8.940065275576329,0.6102870318500566,39.289060426543465,536,0.9305555555555556,7,0.012152777777777778,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,128,short,SS,0.1784447107031773,6016,25407.196880394236,25486.711688515497,0.9968801464428583,0.9969770225454201,0.8616613581569502,0.9809009469826531,1.0000000000000486,0.01321722209414644,0.0018593138859093617,0.011357908208237075,0.8593264248216873,0.08223100646688408,6016,1.0,9,0.0014960106382978723,ee0bc82af79e7dca5c08f2f51e3c0dfb51f553049f8a22124c19364ea1138e13
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,256,short,SS,0.23568419527482026,6016,33557.031347962606,33634.61367757697,0.9976933783049191,0.9977457743892761,0.8855975453579408,0.9857721370140367,0.9999999999997392,0.012895998938994166,0.0020796679792953222,0.01081633095969884,0.8387354101738527,0.08050796367774637,6016,1.0,13,0.002160904255319149,7f4b280d7ed1558de7f664ae5edac9153b37d5500f0140b7c4183344feb9649e
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1,384,short,SS,0.30403535555145156,6016,43288.96108299639,43357.98664123173,0.9984080082221878,0.9984315851390464,0.9388919189424155,0.989656076257811,0.999999999999787,0.011473663270790382,0.0016826983463129094,0.009790964924477473,0.8533425370259281,0.07520909287222821,6016,1.0,9,0.0014960106382978723,67661a2087eb1737e80fd5c37e14797edc3942f4f10bfd9786b16c58fe7d75f1
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,192,256,long,LS,0.2818357384705505,576,40128.149873624,49506.22881637655,0.810567696894531,0.8289833355746675,0.3491009307916541,0.6191448442150237,0.8658158563733305,16.281387053389892,5.330463133552673,10.950923919837223,0.6726038686953989,42.85430642658372,518,0.8993055555555556,5,0.008680555555555556,a0e49c37ed1e199facb5c5636da60d1f689c2e6f1408843da07cbea5c7d124ea
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,32,128,short,SS,0.04322663015158291,896,8444.09007350266,14608.433643340632,0.5780284375219081,0.6626503297817913,0.19032839852755098,0.2740524037994823,0.687196279673183,6.879847734194216,0.44368386054374104,6.436163873650479,0.9355096395028424,24.964133916259243,483,0.5390625,0,0.0,e7e9f946fea8eec5043f7b863a4fc30794a44a4c1ea910edb9d1fccbe98391b6
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,48,256,short,SS,0.09792077557661742,896,19128.297675221824,22005.490565408436,0.8692511361364776,0.8966045628682932,0.3965852673154021,0.5514428970196288,0.9426963980247938,3.211152779225511,0.5268171948559425,2.684335584369571,0.8359414107406619,17.365442438861532,817,0.9118303571428571,0,0.0,676b29a224207b21df7b8da87d064c63c7a2f61da14db954401837683e468643
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,64,512,short,SL,0.23434655009615568,896,45778.34012245064,46588.44620045962,0.9826114381552182,0.9836103328410658,0.7749392529798304,0.9398170429966155,0.9972351115604944,0.9041362477776783,0.7881230011701049,0.11601324660757326,0.1283138983673401,3.271767029491251,896,1.0,12,0.013392857142857142,13e0dcdb5fad19ea3abc675e88a752cd5a7b8af55ca568fdf28afb267f526b9e
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,192,1024,long,LL,0.08937844980122331,64,17459.60020720997,17669.036752490894,0.9881466914006277,0.9882210863458938,0.9645088989473983,0.9751560006647524,0.9860383123889799,3.272446020013655,3.272446020013655,0.0,0.0,6.950742470040074,64,1.0,3,0.046875,4bf37459198d9a24cc9ad469a5c586fd9af25e5a92d18c7095f9e03735a4b1fe
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,192,2048,long,LL,0.5351275943744358,192,104534.30193075236,105046.24431300134,0.9951265046589999,0.9951422760751071,0.98195392515316,0.9898003384631473,0.9943000805477419,2.6663665742121894,2.6663665742121894,0.0,0.0,5.610425072712928,192,1.0,10,0.052083333333333336,faa95faebd2d721605131fac3a8c8c1d6f8c34d541f9ba8d8da05368be3be0d8
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,32,128,short,SS,0.04322663015158291,896,8444.09007350266,11105.014732698655,0.7603853103084216,0.8252670792932817,0.22952907046469823,0.4402191821406527,0.8888681051962573,2.969781985709848,0.21349105762749596,2.756290928082353,0.928112212056379,11.983972089422569,709,0.7912946428571429,0,0.0,e7e9f946fea8eec5043f7b863a4fc30794a44a4c1ea910edb9d1fccbe98391b6
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,48,256,short,SS,0.09792077557661742,896,19128.297675221824,20240.477157011446,0.9450517162633019,0.9568030147205595,0.4279329556832976,0.7520502486037272,0.9949157952600964,1.2412717430681586,0.21078888458551756,1.0304828584826418,0.8301831281001437,7.038642366805632,878,0.9799107142857143,0,0.0,676b29a224207b21df7b8da87d064c63c7a2f61da14db954401837683e468643
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,64,512,short,SL,0.23434655009615568,896,45778.34012245064,51312.45075184465,0.8921487758174352,0.914286586808658,0.444880483164577,0.6366666589127938,0.9723489296719825,6.176462756019974,1.873800827713707,4.3026619283062635,0.6966223384270578,29.15716449842656,843,0.9408482142857143,0,0.0,13e0dcdb5fad19ea3abc675e88a752cd5a7b8af55ca568fdf28afb267f526b9e
raw_size_varied_rho097_seed7,raw,7,once,once,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,192,1024,long,LL,0.08937844980122331,64,17459.60020720997,17738.11840871573,0.9842983232444255,0.984470711270351,0.9479190631082045,0.9594802055224511,0.9856970735401007,4.351846898526672,4.351846898526672,0.0,0.0,11.520951022606116,64,1.0,3,0.046875,4bf37459198d9a24cc9ad469a5c586fd9af25e5a92d18c7095f9e03735a4b1fe
