label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,window_start_ms,window_end_ms,seq_len_k,nql,compute_ms,active_ms,fleet_time_compute_share,fleet_time_active_share,profile_active_compute_fraction,all_active
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,9228.223560001008,9228.223560001008,0.28838198625003153,0.28838198625003153,1.0,True
aligned_short072_seed7,aligned,7,new_once,new_once,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8343.335226355153,10326.179007251765,0.26072922582359853,0.32269309397661766,0.8079789455999048,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,5300.063269135078,5306.725472374634,0.1656269771604712,0.1658351710117073,0.9987445736030182,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7053.977952877535,7059.849374873301,0.22043681102742296,0.22062029296479066,0.9991683360814095,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,9123.346863304403,9129.922518003601,0.2851045894782626,0.28531007868761254,0.9992797688385382,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8435.470454451062,10503.502634748465,0.2636084517015957,0.3282344573358895,0.8031102335847676,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5487.109459448935,5491.614145210198,0.17147217060777922,0.1716129420378187,0.9991797155367894,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,7067.064836555779,7069.427723891911,0.22084577614236808,0.22091961637162222,0.9996657597434447,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,9046.856075396321,9049.363736650084,0.282714252356135,0.28279261677031514,0.9997228908764484,True
aligned_short072_seed7,aligned,7,strategy1_pipeline,strategy1,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8614.596595344576,10389.594394247797,0.269206143604518,0.3246748248202437,0.8291561988323674,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,5315.678049363156,5330.599542667902,0.1661149390425986,0.16658123570837194,0.9972007851677266,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7001.732874483599,7015.383220943256,0.21880415232761247,0.21923072565447674,0.9980542265433332,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,9035.813301111959,9053.232193671784,0.28236916565974873,0.28291350605224325,0.9980759476629794,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8359.250679156714,10600.785042717062,0.2612265837236473,0.3312745325849082,0.7885501541133197,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5421.015793808732,5436.0390949828925,0.16940674355652288,0.1698762217182154,0.9972363515214551,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,7012.721000910689,7024.105649716797,0.21914753127845904,0.21950330155364992,0.9983792030795312,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,8955.004829083897,8967.204481620602,0.2798439009088718,0.2802251400506438,0.9986395255554047,True
aligned_short072_seed7,aligned,7,strategy2_pipeline,strategy2,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8610.5658329174,10572.650773679721,0.26908018227866876,0.33039533667749127,0.814418826199493,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,5318.840635164013,5330.088852632831,0.16621376984887543,0.16656527664477597,0.9978896754294703,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,7082.67806454452,7089.684865457892,0.22133368951701624,0.2215526520455591,0.999011690780854,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,9160.808200688076,9168.815238283649,0.28627525627150235,0.28652547619636404,0.9991267096797697,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8510.205093519226,10411.41104362563,0.2659439091724758,0.32535659511330095,0.8173920958321577,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5471.051251824363,5484.334462334948,0.17097035161951135,0.17138545194796712,0.9975779722039547,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,7033.554348483791,7042.84834311243,0.21979857339011846,0.22008901072226342,0.9986803642254021,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,8955.035040570936,8964.873199518315,0.27984484501784174,0.28015228748494736,0.9989025880535702,True
aligned_short072_seed7,aligned,7,strategy3_pipeline,strategy3,pipeline,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8498.692944994202,10507.943995034311,0.2655841545310688,0.32837324984482225,0.8087874230211342,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,128,4757.380311307304,4785.905968482569,0.14866813472835325,0.14955956151508026,0.9940396536490437,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,256,6898.383981843215,6932.386820898388,0.21557449943260049,0.21663708815307461,0.9950950747652068,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,1,384,8367.472641608932,8397.552058792498,0.26148352005027914,0.2624235018372656,0.9964180731512022,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,1000,2000,192,256,8831.357536615702,11884.155151826555,0.2759799230192407,0.37137984849457983,0.7431203500619353,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,128,5579.506537374416,5597.809544245078,0.1743595792929505,0.17493154825765866,0.9967303269741504,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,256,6826.882381835863,6840.5972548316495,0.21334007443237074,0.21376866421348906,0.9979950766746136,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,1,384,9111.808779657444,9124.455109756724,0.28474402436429513,0.2851392221798976,0.9986140180485126,True
aligned_short072_seed7,aligned,7,strategy3_fixed,strategy3,fixed,6c4eb0afd380c45c3ef52476cc08377781acabd87f42a21539c33bf98430138a,2000,3000,192,256,8385.656947574475,10437.138091166542,0.26205177961170234,0.32616056534895443,0.8034440930384609,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,32,128,1679.8880902497583,2484.5844836978604,0.05249650282030495,0.07764326511555814,0.6761243585283704,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,48,256,2504.6989191483526,2690.5449484371684,0.07827184122338601,0.08407952963866151,0.9309262499417575,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,64,512,7533.140158877364,7629.914903080313,0.23541062996491763,0.23843484072125978,0.9873164058272945,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,1024,2867.8045925911915,2904.991575314408,0.08961889351847474,0.09078098672857525,0.9871989361211172,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,1000,2000,192,2048,16209.629647828406,16289.964089470248,0.5065509264946377,0.5090613777959453,0.9950684703047461,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,32,128,1229.7709447627853,1855.6645525409676,0.03843034202383704,0.05798951726690524,0.6627118802689074,True
raw_size_varied_rho097_seed7,raw,7,baseline,baseline,fixed,ec98892f9d175d8fc3094207ac31654820b58e23ec5c31aad29be549165bcd81,2000,3000,48,256,3025.7447269423756,3261.846873161817,0.09455452271694924,0.10193271478630678,0.9276170355628682,True
