arm,seed,strategy,label,status,path,file_sha256,input_fingerprint,error,audit_passed,primary_valid,full_run_nominal_capacity_satisfied,device_utilization_percent,makespan_ms,all_first_completions_by_1500,first_by_1500_count,all_fourth_completions_by_1500,all_32_active,each_npu_mixed_roles,old_main_window_valid,max_first_completion_ms,max_fourth_completion_ms,warm_count,warm_completion_after_4000ms_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_SS_count,warm_SS_admission_passed,warm_SS_admission_slo_percent,warm_SL_count,warm_SL_admission_passed,warm_SL_admission_slo_percent,warm_LS_count,warm_LS_admission_passed,warm_LS_admission_slo_percent,warm_LL_count,warm_LL_admission_passed,warm_LL_admission_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,full_count,full_completion_after_4000ms_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_SS_count,full_SS_admission_passed,full_SS_admission_slo_percent,full_SL_count,full_SL_admission_passed,full_SL_admission_slo_percent,full_LS_count,full_LS_admission_passed,full_LS_admission_slo_percent,full_LL_count,full_LL_admission_passed,full_LL_admission_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000ms_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_SS_count,warm_arrivals_SS_admission_passed,warm_arrivals_SS_admission_slo_percent,warm_arrivals_SL_count,warm_arrivals_SL_admission_passed,warm_arrivals_SL_admission_slo_percent,warm_arrivals_LS_count,warm_arrivals_LS_admission_passed,warm_arrivals_LS_admission_slo_percent,warm_arrivals_LL_count,warm_arrivals_LL_admission_passed,warm_arrivals_LL_admission_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,nominal_full_run_max_ssu_gib_s,nominal_full_run_any_ssu_over_capacity_ms,nominal_full_run_max_npu_link_gib_s,nominal_full_run_all_ssu_within_capacity,nominal_full_run_all_npu_links_within_capacity,nominal_window_2000_4000_max_ssu_gib_s,nominal_window_2000_4000_any_ssu_over_capacity_ms,nominal_window_2000_4000_max_npu_link_gib_s,nominal_window_2000_4000_all_ssu_within_capacity,nominal_window_2000_4000_all_npu_links_within_capacity,link_bound_all_requests_population_count,link_bound_all_requests_intrinsically_infeasible_count,link_bound_all_requests_forced_failure_fraction,link_bound_all_requests_intrinsically_infeasible_slo_pass_count,link_bound_all_requests_best_possible_slo_upper_bound,link_bound_window_admissions_population_count,link_bound_window_admissions_intrinsically_infeasible_count,link_bound_window_admissions_forced_failure_fraction,link_bound_window_admissions_intrinsically_infeasible_slo_pass_count,link_bound_window_admissions_best_possible_slo_upper_bound
underload33,43,baseline,underload33_uniform_seed43,complete,runs/underload33_uniform_seed43/baseline/underload33_uniform_seed43_d98027f8cdd7_baseline_104671470b.json.gz,e0a11696dc448172aa1b6664535b0a2c63d4b5d996c53009e3567c394e760f3a,d98027f8cdd7f60c6b5583ca6bd57e26192bfc015e32ccdf72f20fba758ad9ac,,True,True,True,100.0,7240.659712049881,True,32,False,True,False,False,935.2096301924291,2519.3705746018677,152,32,152,100.0,0,0.0,0,0,,62,62,100.0,0,0,,90,90,100.0,62,62,100.0,90,90,100.0,513,210,513,100.0,43,8.382066276803119,0,0,,191,191,100.0,0,0,,322,322,100.0,191,191,100.0,322,322,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20.53931754185486,0.0,7.430755796191406,True,True,17.20607884836731,0.0,7.430755796191406,True,True,513,0,0.0,0,1.0,152,0,0.0,0,1.0
underload33,43,once,underload33_uniform_seed43,complete,runs/underload33_uniform_seed43/once/underload33_uniform_seed43_d98027f8cdd7_once_dc98615fa8.json.gz,3e1100bf2882702bf0b25c3ea5ff6c232b82cad7d0b7f28fcac5766542f66197,d98027f8cdd7f60c6b5583ca6bd57e26192bfc015e32ccdf72f20fba758ad9ac,,True,True,True,100.0,7234.903746151553,True,32,False,True,False,False,940.7613591230933,2504.1188020609648,150,32,150,100.0,0,0.0,0,0,,61,61,100.0,0,0,,89,89,100.0,61,61,100.0,89,89,100.0,513,211,513,100.0,43,8.382066276803119,0,0,,191,191,100.0,0,0,,322,322,100.0,191,191,100.0,322,322,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20.53931754185486,0.0,7.430755796191406,True,True,17.20607884836731,0.0,7.430755796191406,True,True,513,0,0.0,0,1.0,150,0,0.0,0,1.0
raw84,67,baseline,raw84_uniform_seed67,complete,runs/raw84_uniform_seed67/baseline/raw84_uniform_seed67_749447128f3d_baseline_104671470b.json.gz,b5ef3fa1617a597299e8327d4b0b7f6f1fb1cce1b40ecc2002e34e118aac329b,749447128f3d8de862a7bb1d52bfe75308234f5d554893550af32b2ecad2169b,,True,True,False,97.7099886749707,7759.620729321349,True,32,False,True,True,False,1152.5024784279144,2219.072671053867,322,32,260,80.74534161490683,0,0.0,51,26,50.98039215686274,71,71,100.0,81,44,54.32098765432099,119,119,100.0,122,97,79.50819672131148,200,163,81.5,1057,428,822,77.76726584673604,22,2.081362346263009,149,67,44.966442953020135,214,210,98.13084112149532,288,139,48.26388888888889,406,406,100.0,363,277,76.30853994490359,694,545,78.53025936599424,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,193.67626071590882,3579.499261123581,105.47449091308593,False,False,70.99486598305664,1056.2741233319412,105.47449091308593,False,False,1057,110,0.10406811731315042,0,0.8959318826868495,322,35,0.10869565217391304,0,0.8913043478260869
raw84,67,once,raw84_uniform_seed67,complete,runs/raw84_uniform_seed67/once/raw84_uniform_seed67_749447128f3d_once_dc98615fa8.json.gz,456e45cdac7a5e51cf590d5751563830196cfa438557c0acbdeed1387e119697,749447128f3d8de862a7bb1d52bfe75308234f5d554893550af32b2ecad2169b,,True,True,False,97.5497234643507,7597.763703082275,True,32,False,True,False,False,1196.8679128029141,2264.40209444929,327,32,284,86.85015290519877,0,0.0,52,44,84.61538461538461,70,70,100.0,85,51,60.0,120,119,99.16666666666667,122,114,93.44262295081968,205,170,82.92682926829268,1057,426,877,82.97067171239357,18,1.7029328287606436,149,119,79.86577181208054,214,214,100.0,288,161,55.90277777777778,406,383,94.33497536945814,363,333,91.73553719008265,694,544,78.38616714697406,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,191.4620305502655,2996.743009631757,105.47449091308593,False,False,76.10588348740539,859.9915270569404,105.47449091308593,False,False,1057,110,0.10406811731315042,0,0.8959318826868495,327,37,0.11314984709480122,0,0.8868501529051988
underload33,67,baseline,underload33_uniform_seed67,complete,runs/underload33_uniform_seed67/baseline/underload33_uniform_seed67_304795c40e57_baseline_104671470b.json.gz,a693e09e6979b8f4319c8ee3d8b903e6cd00785e9d5019d461bafbe0bc07c0c2,304795c40e57a98c688431a1eed35fa390aabc1359f2140d632eeaaf7dfe29af,,True,True,True,100.0,7212.131607303409,True,32,False,True,False,False,934.8070981611792,2360.072765368979,143,32,143,100.0,0,0.0,0,0,,49,49,100.0,0,0,,94,94,100.0,49,49,100.0,94,94,100.0,503,206,503,100.0,42,8.34990059642147,0,0,,184,184,100.0,0,0,,319,319,100.0,184,184,100.0,319,319,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,19.934941590371704,0.0,7.430755796191406,True,True,19.318063843377686,0.0,7.430755796191406,True,True,503,0,0.0,0,1.0,143,0,0.0,0,1.0
underload33,67,once,underload33_uniform_seed67,complete,runs/underload33_uniform_seed67/once/underload33_uniform_seed67_304795c40e57_once_dc98615fa8.json.gz,5c5720382dddb97566c33a2175232d49d862f1d065909e303a587739203ef7d0,304795c40e57a98c688431a1eed35fa390aabc1359f2140d632eeaaf7dfe29af,,True,True,True,100.0,7209.127251737003,True,32,False,True,False,False,941.785323869187,2365.8051294803076,143,32,143,100.0,0,0.0,0,0,,49,49,100.0,0,0,,94,94,100.0,49,49,100.0,94,94,100.0,503,206,503,100.0,42,8.34990059642147,0,0,,184,184,100.0,0,0,,319,319,100.0,184,184,100.0,319,319,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,19.766701760888672,0.0,7.430755796191406,True,True,19.318063843377686,0.0,7.430755796191406,True,True,503,0,0.0,0,1.0,143,0,0.0,0,1.0
raw84,101,baseline,raw84_uniform_seed101,complete,runs/raw84_uniform_seed101/baseline/raw84_uniform_seed101_046bd5db163a_baseline_104671470b.json.gz,c30bcfafd797cd7ace36f5e19e74796ddf6c7255618cdf133ec5b97615a879ed,046bd5db163afb5e98c12b324bdedc74461d0dd3b6d61dd0c3995c6128bfa82e,,True,True,False,96.57935872847924,7004.038243465844,True,32,False,True,False,False,1151.7412937355316,2232.481963770594,297,32,229,77.10437710437711,0,0.0,36,17,47.22222222222222,54,53,98.14814814814815,93,45,48.38709677419355,114,114,100.0,90,70,77.77777777777779,207,159,76.81159420289855,937,403,751,80.14941302027748,31,3.3084311632870866,126,64,50.79365079365079,176,173,98.29545454545455,256,135,52.734375,379,379,100.0,302,237,78.47682119205298,635,514,80.94488188976378,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,116.51106206066895,2741.5759483226766,105.47449091308593,False,False,104.67096908212281,1040.246124682676,105.47449091308593,False,False,937,106,0.11312700106723586,0,0.8868729989327642,297,40,0.13468013468013468,0,0.8653198653198653
raw84,101,once,raw84_uniform_seed101,complete,runs/raw84_uniform_seed101/once/raw84_uniform_seed101_046bd5db163a_once_dc98615fa8.json.gz,62f550eafce953977e57581a5ba3e0ffe8370ca7359981862a79500d938d91d7,046bd5db163afb5e98c12b324bdedc74461d0dd3b6d61dd0c3995c6128bfa82e,,True,True,False,96.53668186225383,7016.987500084256,True,32,False,True,False,False,1190.0365529396329,2262.1074508016345,294,32,248,84.35374149659864,0,0.0,35,30,85.71428571428571,53,53,100.0,90,52,57.77777777777777,116,113,97.41379310344827,88,83,94.31818181818183,206,165,80.09708737864078,937,402,799,85.27214514407684,34,3.628601921024546,126,104,82.53968253968253,176,175,99.43181818181817,256,149,58.203125,379,371,97.8891820580475,302,279,92.3841059602649,635,520,81.88976377952756,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,116.51106206066895,2481.1517119909745,105.47449091308593,False,False,96.16201031300353,903.8610715881432,105.47449091308593,False,False,937,106,0.11312700106723586,0,0.8868729989327642,294,36,0.12244897959183673,0,0.8775510204081632
underload33,101,baseline,underload33_uniform_seed101,complete,runs/underload33_uniform_seed101/baseline/underload33_uniform_seed101_2fa61e707ff0_baseline_104671470b.json.gz,baf19cd4305f9b87cf18bf2d63977b9be30ffcc4911686f62174bbce3cac088c,2fa61e707ff01332699c158295c82e8342748c0d6e3aa38539e7d606d97ab50b,,True,True,True,100.0,6910.216235500198,True,32,False,True,False,False,1149.4960443947111,2795.461857709326,152,32,152,100.0,0,0.0,0,0,,47,47,100.0,0,0,,105,105,100.0,47,47,100.0,105,105,100.0,513,211,513,100.0,40,7.797270955165692,0,0,,172,172,100.0,0,0,,341,341,100.0,172,172,100.0,341,341,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20.453079530603027,0.0,7.430755796191406,True,True,19.873982503619384,0.0,7.430755796191406,True,True,513,0,0.0,0,1.0,152,0,0.0,0,1.0
underload33,101,once,underload33_uniform_seed101,complete,runs/underload33_uniform_seed101/once/underload33_uniform_seed101_2fa61e707ff0_once_dc98615fa8.json.gz,8a9fa808c140fa8d55667898b2deb1615353c8f983c93339fa20049c643bdbae,2fa61e707ff01332699c158295c82e8342748c0d6e3aa38539e7d606d97ab50b,,True,True,True,100.0,6906.361097267777,True,32,False,True,False,False,1155.505794760922,2801.4512664739746,151,32,151,100.0,0,0.0,0,0,,47,47,100.0,0,0,,104,104,100.0,47,47,100.0,104,104,100.0,513,211,513,100.0,41,7.992202729044834,0,0,,172,172,100.0,0,0,,341,341,100.0,172,172,100.0,341,341,100.0,0,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20.453079530603027,0.0,7.430755796191406,True,True,19.91217814706726,0.0,7.430755796191406,True,True,513,0,0.0,0,1.0,151,0,0.0,0,1.0
