seq_len_k,nql,source_bw_gib_s,source_C_us,layer_C_ms,request_8C_ms,source_ttft_78layer_ms,raw_layer_V_gib,physical_layer_V_gib,padding_gib_per_layer,blocks_per_layer,physical_V_over_C_gib_s,max_32_same_profile_ssu_demand_gib_s,underload33_eligible,category,role,post_admission_link_lower_bound_ms,slo_1_5_threshold_ms,link_alone_forced_slo_failure
32,64,54.66168431417541,784.5500408232926,0.7845500408232926,6.276400326586341,61.19490318421683,0.04288482666015625,0.04296875,8.392333984375e-05,256,54.768654342187496,294.3815170892578,False,SS,short,6.800175040823293,9.414600489879511,False
32,128,36.332733584014896,1178.0259589150035,1.1780259589150035,9.424207671320028,91.88602479537028,0.0428009033203125,0.0428009033203125,0.0,255,36.332733584014896,196.05428004550782,False,SS,short,7.170152423758753,14.136311506980043,False
32,256,21.343424279388426,1997.4796959734433,1.9974796959734433,15.979837567787547,155.80341628592856,0.042633056640625,0.042633056640625,0.0,254,21.343424279388426,115.6242197182617,False,SS,short,7.9661076256609435,23.96975635168132,False
32,512,11.425134399389648,3702.132666685269,3.7021326666852694,29.617061333482155,288.76634800145104,0.04229736328125,0.04229736328125,0.0,252,11.425134399389648,60.93405013007812,False,SL,short,9.62376352606027,44.42559200022323,False
32,1024,5.735792789428712,7257.231579079756,7.257231579079756,58.057852632638046,566.0640631682209,0.04162597656250001,0.0416259765625,-6.938893903907228e-18,248,5.735792789428711,31.084296407226564,True,SL,short,13.084868297829756,87.08677894895706,False
32,2048,2.8034599086914067,14369.102622125,14.369102622125,114.952820977,1120.79000452575,0.04028320312500001,0.040283203125,-6.938893903907228e-18,240,2.8034599086914063,14.9517861796875,True,SL,short,20.008751059625,172.4292314655,False
32,4096,1.3149324665039066,28592.841995880783,28.592841995880782,228.74273596704626,2230.2416756787015,0.03759765625,0.03759765625,0.0,224,1.3149324665039066,7.1382048181640645,True,SL,short,33.85651387088078,343.1141039505694,False
48,64,67.59183120670623,952.3222038962862,0.9523222038962862,7.6185776311702895,74.28113190391032,0.06436920166015625,0.064453125,8.392333984375e-05,384,67.67995614960937,360.95976613125,False,SS,short,9.975759703896287,11.427866446755434,False
48,128,42.47260886651917,1513.570275900525,1.5135702759005252,12.108562207204201,118.05848152024096,0.0642852783203125,0.0642852783203125,0.0,383,42.47260886651916,227.11201816874998,False,SS,short,10.513509240744275,18.162843310806302,False
48,256,24.026902853741458,2668.5683140655256,2.6685683140655256,21.348546512524205,208.14832849711098,0.064117431640625,0.064117431640625,0.0,382,24.026902853741454,128.81439016875,False,SS,short,11.645008743753026,32.022819768786306,False
48,512,12.644293972229006,5044.309980560046,5.044309980560046,40.354479844480366,393.45617848368363,0.06378173828125,0.06378173828125,0.0,380,12.644293972229006,68.14608961875001,False,SL,short,13.973753339935046,60.53171976672055,False
48,1024,6.348116754052736,9941.586459040689,9.941586459040689,79.53269167232551,775.4437438051738,0.06311035156250001,0.0631103515625,-1.3877787807814457e-17,376,6.348116754052735,34.03671110683594,True,SL,short,18.77703567779069,119.29903750848827,False
48,2048,3.12940384453125,19737.809881246598,19.737809881246598,157.90247904997278,1539.5491707372346,0.061767578125,0.061767578125,0.0,368,3.12940384453125,16.871568553125,True,SL,short,28.385270818746598,236.85371857495917,False
48,4096,1.5022028645507812,39330.261341012614,39.330261341012616,314.6420907281009,3067.760384598984,0.05908203125,0.05908203125,0.0,352,1.5022028645507812,8.057269909863281,True,SL,short,47.601745716012616,471.9631360921514,False
64,64,76.6485213357651,1120.0943627349009,1.120094362734901,8.960754901879207,87.36736029332228,0.08585357666015626,0.0859375,8.392333984373612e-05,512,76.72344657656251,412.3885253490235,False,SS,short,13.151344362734902,13.441132352818812,False
64,128,46.384174103356926,1849.114595189163,1.849114595189163,14.792916761513304,144.2309384247547,0.0857696533203125,0.0857696533203125,0.0,511,46.384174103356926,249.8028319617187,False,SS,short,13.856866060032914,22.189375142269956,False
64,256,25.63191552639771,3339.6570206571455,3.3396570206571456,26.717256165257165,260.49324761125735,0.085601806640625,0.085601806640625,0.0,510,25.63191552639771,136.7035494741211,False,SS,short,15.323909950344646,40.075884247885746,False
64,512,13.351019245458986,6386.487182261469,6.386487182261469,51.09189745809175,498.14600021639455,0.08526611328125,0.08526611328125,0.0,508,13.351019245458986,71.48577233789064,False,SL,short,18.32374304163647,76.63784618713763,False
64,1024,6.700073140502931,12625.9407604243,12.625940760424301,101.00752608339441,984.8233793130955,0.0845947265625,0.0845947265625,0.0,504,6.70007314050293,35.73372341601563,True,SL,short,24.4692024791743,151.51128912509162,False
64,2048,3.3159498023437504,25106.517917176127,25.106517917176127,200.85214333740902,1958.308397539738,0.083251953125,0.083251953125,0.0,496,3.31594980234375,17.7563763609375,True,SL,short,36.76179135467613,301.27821500611356,False
64,4096,1.609150302246094,50067.66996068876,50.06766996068876,400.5413596855101,3905.2782569337237,0.08056640625,0.08056640625,0.0,480,1.609150302246094,8.582134945312502,True,SL,short,61.34696683568876,600.8120395282651,False
80,64,83.34555590388337,1287.8665274479858,1.287866527447986,10.302932219583887,100.45358914094291,0.10733795166015625,0.107421875,8.392333984375e-05,640,83.41072052929688,446.2473548317383,False,SS,short,16.326929027447985,15.454398329375831,True
80,128,49.0941758370575,2184.6589028459566,2.1846589028459564,17.47727122276765,170.40339442198461,0.10725402832031251,0.1072540283203125,-1.3877787807814457e-17,639,49.0941758370575,263.0648796026367,False,SS,short,17.200222867689707,26.215906834151475,False
80,256,26.699818871521,4010.745621755773,4.010745621755773,32.085964974046185,312.8381584969503,0.10708618164062501,0.107086181640625,-1.3877787807814457e-17,638,26.699818871520996,143.29181789355468,False,SS,short,19.002811051443274,48.128947461069274,False
80,512,13.812281197558594,7728.664567017273,7.728664567017273,61.82931653613819,602.8358362273473,0.10675048828125001,0.10675048828125,-1.3877787807814457e-17,636,13.812281197558592,73.6654997203125,False,SL,short,22.673732926392272,92.74397480420728,False
80,1024,6.928611997924805,15310.296145067996,15.310296145067996,122.48236916054397,1194.2030993153037,0.10607910156250001,0.1060791015625,-1.3877787807814457e-17,632,6.928611997924804,37.18647452050781,True,SL,short,30.161370363817994,183.72355374081596,False
80,2048,3.436768791650391,30475.23254385232,30.475232543852318,243.80186035081854,2377.068138420481,0.104736328125,0.104736328125,0.0,624,3.436768791650391,18.32943355546875,True,SL,short,45.138318481352314,365.70279052622783,False
80,4096,1.6783259238281252,60805.103348001954,60.80510334800196,486.44082678401566,4742.798061144153,0.10205078125,0.10205078125,0.0,608,1.678325923828125,9.00996022265625,True,SL,short,75.09221272300195,729.6612401760235,False
96,64,88.49883425740815,1455.6386842956936,1.4556386842956937,11.64510947436555,113.5398173750641,0.12882232666015625,0.12890625,8.392333984375e-05,768,88.55648822109374,472.3012705125,False,LS,long,19.502513684295693,17.467664211548325,True
96,128,51.08254804310303,2520.2032445931263,2.520203244593126,20.16162595674501,196.57585307826383,0.1287384033203125,0.1287384033203125,0.0,767,51.08254804310303,272.79545865,False,LS,long,20.543579709436877,30.242438935117512,False
96,256,27.461578408703613,4681.834187647281,4.681834187647281,37.45467350117825,365.183066636488,0.128570556640625,0.128570556640625,0.0,766,27.461578408703613,146.84415817500002,False,LS,long,22.681712117334783,56.18201025176737,False
96,512,14.137041094445802,9070.841799535496,9.070841799535495,72.56673439628396,707.5256603637688,0.12823486328125,0.12823486328125,0.0,764,14.1370410944458,75.7923040875,False,LL,long,27.023722658910494,108.85010159442595,False
96,1024,7.088967086791992,17994.649291033315,17.994649291033316,143.95719432826652,1403.5826447005984,0.1275634765625,0.1275634765625,0.0,760,7.088967086791991,37.90731873779296,True,LL,long,35.85353600978331,215.9357914923998,False
96,2048,3.521396079931641,35843.9381029385,35.843938102938495,286.75150482350796,2795.8271720292028,0.126220703125,0.126220703125,0.0,752,3.521396079931641,18.880676854101566,True,LL,long,53.514836540438495,430.12725723526194,False
96,4096,1.7267375264648437,71542.52129037469,71.5425212903747,572.3401703229976,5580.316660649225,0.12353515625,0.12353515625,0.0,736,1.7267375264648435,9.234291989355468,True,LL,long,88.8374431653747,858.5102554844964,False
112,64,92.58697621958314,1623.4108488831369,1.623410848883137,12.987286791065095,126.62604621288467,0.15030670166015625,0.150390625,8.392333984375e-05,896,92.63867190703124,496.27859950195307,False,LS,long,22.678098348883136,19.480930186597643,True
112,128,52.60366173902893,2855.747553574882,2.8557475535748824,22.84598042859906,222.7483091788408,0.1502227783203125,0.1502227783203125,0.0,895,52.60366173902893,282.12019703613277,False,LS,long,23.886936518418633,34.26897064289859,False
112,256,28.03233528973389,5352.922975902714,5.352922975902714,42.82338380722171,417.5279921204117,0.150054931640625,0.150054931640625,0.0,894,28.03233528973389,149.50578821191408,False,LS,long,26.360613405590215,64.23507571083256,False
112,512,14.378082112646485,10413.018725881522,10.413018725881523,83.30414980705218,812.2154606187587,0.14971923828125,0.14971923828125,0.0,892,14.378082112646483,76.85503981289062,False,LL,long,31.37371208525652,124.95622471057828,False
112,1024,7.207690197436523,20679.003603055826,20.679003603055826,165.4320288244466,1612.9622810383544,0.1490478515625,0.1490478515625,0.0,888,7.207690197436523,38.44101438632812,True,LL,long,41.545702821805826,248.1480432366699,False
