start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,6913.115872068641,initial,A,151.64366123046875,8,8
0.0,6913.115872068641,initial,B,240.05766052246094,24,24
0.0,6913.115872068641,A,A,895.0068993661854,109,97
0.0,6913.115872068641,A,B,1390.6001625063398,261,191
0.0,6913.115872068641,B,A,0.0,267,0
0.0,6913.115872068641,B,B,0.0,483,0
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,312.12537033551826,40,35
2000.0,4000.0,A,B,486.89923291400146,74,61
2000.0,4000.0,B,A,0.0,83,0
2000.0,4000.0,B,B,0.0,140,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,755.6621428631229,82,76
2000.0,6000.0,A,B,1045.7359462686309,149,126
2000.0,6000.0,B,A,0.0,154,0
2000.0,6000.0,B,B,0.0,282,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,443.5367725276046,42,41
4000.0,6000.0,A,B,558.8367133546294,75,65
4000.0,6000.0,B,A,0.0,71,0
4000.0,6000.0,B,B,0.0,142,0
