label,order,npu,queue_requests,pure_C_ms,short_C_ms,long_C_ms,short_C_fraction,long_C_fraction,fast_short_nql1024_C_ms,fast_short_C_fraction,bridge_nql4096_C_ms,bridge_C_fraction,count_S32_nql1024,count_S48_nql1024,count_S64_nql1024,count_bridge32_nql4096,count_Long176_nql1024,cycle_repetitions,ordered_cycle_profile_indices,first24_actual_profiles,original_id_queue_sha256
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,0,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",4c87e5547461ed34ec2d63a82a2f9a983e26e68a319077e3267040024bd89c6c
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,1,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",c077e70ba26c27b6ea9f46f0b5487ac66a9a9bd79a50e631d35fd1a8da432e26
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,2,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",a940090efb99d804190b6ebe93f2e3e2776ea128ddc6fe2bc85ca610181a541e
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,3,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",c017aa2e4b7f4bedd35e574956aded3f0ee9c446484c908b550e93613c5dc24e
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,4,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",dba7d30c75c385c7606ae6622db64666515908957895734c2f3e34873a95cd0b
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,5,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",da42a3e70530c8e192ac5aed8d646a0737a3726de33b206fd40c3a67e190c5fb
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,6,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",9495eef4ade57a492711b2596388e9b91d17435ca69cf8f76a743a67a2be078e
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,7,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",f0785caf6d100a8778fc7f4ad285e571fc0b8884f0dc865834ac828d56a41f96
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,8,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",49b03e0f3c9f7a431a9d8b3acb8fdd2c75fe2fb0305972ebf6be0b7ac83310fc
sustained16_l176_12l_s64_bridge_24s1l_ordered_seed7,ordered,9,266,63568.803335311655,6265.254978958373,57303.548356353276,0.09855864276554824,0.9014413572344516,1919.1429955844937,0.03019001294489422,4346.111983373879,0.06836862982065402,0,0,19,19,228,19,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 3]","176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,64:1024,32:4096,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024,176:1024",ea46df3ca7ce0c81225b77653ba04279c7a4f48297966e0a17a768cf35bbf253
