case,npu_utilization_pct,delta_vs_baseline_pp,high_v_utilization_pct,low_v_utilization_pct,ssd_utilization_pct,compute_area_npu_ms,ttft_over_ideal_max,ttft_over_ideal_gt8_count,request_count,all_invariants_pass,no_backlog_exhaustion,elapsed_wall_s
baseline,92.90896447948799,0.0,99.6233149551678,45.90851114972937,93.4504185674182,118923.47453374465,12.824389234307562,2,275,True,True,419.6272918940522
vb_catalog,93.28558288153678,0.3766184020487895,99.80027162071656,47.68276170727834,93.16415357888907,119405.54608836707,9.474589378975368,1,269,True,True,724.6002313271165
vb_duration_aware,91.43739538905164,-1.4715690904363532,97.75341380473932,47.22526647923807,92.8535630881783,117039.86609798612,10.230399483148256,1,273,True,True,747.3676262591034
vb_ll36,93.00236605204609,0.09340157255808279,99.99879330845316,44.02737525719645,92.90334769296079,119043.02854661897,8.176000969380095,1,275,True,True,726.2965863109566
vb_split_aware,93.00998360923765,0.10101912974965765,99.99874647869831,44.08864352301309,92.9892766920036,119052.77901982419,7.9353860174992,0,277,True,True,726.0009207748808
