label,family,seed,strategy,input_fingerprint,window_start_ms,window_end_ms,npu_id,utilization,active_ms,stall_ms,idle_ms
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,26,0.7218300691363785,1000.0,278.1699308636215,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,27,0.7769368725000286,1000.0,223.06312749997142,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,28,0.7533730105452086,1000.0,246.62698945479144,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,29,0.7709138349500866,1000.0,229.08616504991346,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,30,0.7399712843140347,1000.0,260.02871568596527,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,31,0.6869894388642043,1000.0,313.0105611357957,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,0,0.827600634832151,1000.0,172.39936516784906,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,1,0.8105434761273131,1000.0,189.45652387268683,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,2,0.8204774699629989,1000.0,179.52253003700116,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,3,0.8021014405871267,1000.0,197.89855941287328,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,4,0.8104538535894297,1000.0,189.54614641057037,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,5,0.7859100328505704,1000.0,214.08996714942964,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,6,0.8605423628263213,1000.0,139.45763717367868,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,7,0.807514802721894,1000.0,192.48519727810594,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,8,0.7896523417486407,1000.0,210.34765825135923,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,9,0.8031303776701577,1000.0,196.8696223298423,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,10,0.7967574152259813,1000.0,203.24258477401872,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,11,0.8059060970495777,1000.0,194.09390295042226,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,12,0.786124248451627,1000.0,213.87575154837305,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,13,0.798174127019286,1000.0,201.82587298071394,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,14,0.7884236191579994,1000.0,211.57638084200062,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,15,0.8029659568582656,1000.0,197.0340431417344,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,16,0.7664558144662041,1000.0,233.54418553379583,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,17,0.8169951535045246,1000.0,183.00484649547548,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,18,0.7969111389486612,1000.0,203.08886105133888,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,19,0.7889264877261828,1000.0,211.0735122738172,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,20,0.7938073164532554,1000.0,206.19268354674455,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,21,0.8105706561563182,1000.0,189.42934384368186,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,22,0.7798222969154858,1000.0,220.17770308451418,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,23,0.784360080675664,1000.0,215.639919324336,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,24,0.7854244721892765,1000.0,214.57552781072354,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,25,0.7846793930103957,1000.0,215.32060698960436,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,26,0.7873443218382882,1000.0,212.65567816171188,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,27,0.8510096634298046,1000.0,148.9903365701955,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,28,0.772156630925082,1000.0,227.84336907491797,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,29,0.7724645949197881,1000.0,227.53540508021183,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,30,0.8109145947477894,1000.0,189.08540525221065,0.0
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,2000,3000,31,0.8378160817923672,1000.0,162.18391820763281,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,0,0.8903009412449894,1000.0,109.69905875501058,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,1,0.9210551883855619,1000.0,78.9448116144381,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,2,0.9169629209156896,1000.0,83.03707908431034,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,3,0.9788273233560116,1000.0,21.172676643988325,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,4,0.9401224511007735,1000.0,59.87754889922644,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,5,1.0,1000.0,0.0,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,6,0.9057534413110029,1000.0,94.24655868899708,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,7,0.8302484543954174,1000.0,169.7515456045826,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,8,0.9750041064335312,1000.0,24.995893566468794,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,9,0.9036883175660091,1000.0,96.31168243399088,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,10,0.9527975451564171,1000.0,47.20245484358293,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,11,0.9090330549816137,1000.0,90.96694501838635,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,12,0.88758050078059,1000.0,112.41949921941,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,13,0.8459744305350492,1000.0,154.02556946495088,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,14,0.9670089978908325,1000.0,32.99100210916754,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,15,0.9696695848726392,1000.0,30.330415127360766,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,16,0.8721234409357513,1000.0,127.87655906424868,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,17,0.883119561023408,1000.0,116.8804389765919,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,18,0.923813483544513,1000.0,76.18651645548698,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,19,0.9040554308051912,1000.0,95.94456919480876,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,20,0.8310384338705397,1000.0,168.96156612946038,0.0
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1000,2000,21,0.9128376580455149,1000.0,87.1623419544851,0.0
