label,family,seed,strategy,input_fingerprint,window_start_ms,window_end_ms,seq_len_k,nql,compute_ms,active_ms,fleet_time_compute_share,fleet_time_active_share,profile_active_compute_fraction,all_active
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,48,256,1620.4604003500172,1914.5732697593535,0.050639387510938036,0.05983041467997979,0.8463820246240542,True
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,64,512,4181.086888604064,4281.508756383809,0.13065896526887702,0.13379714863699402,0.9765452149011692,True
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,192,1024,3059.266039471833,3090.678632251689,0.0956020637334948,0.09658370725786529,0.9898363445322135,True
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,192,2048,21136.269541601912,21227.460654734394,0.6605084231750598,0.6633581454604498,0.9957040969423658,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,1000,2000,32,128,669.1187446637123,696.8808953485913,0.020909960770741007,0.021777527979643475,0.9601622732518849,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,1000,2000,48,256,1619.842789342847,1623.5233760979543,0.05062008716696397,0.05073510550306107,0.9977329634982199,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,1000,2000,64,512,3264.8284247915362,3304.3413382368635,0.10202588827473551,0.10326066681990198,0.9880421211367919,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,1000,2000,192,1024,2999.0699958165415,3081.6854333107594,0.09372093736926693,0.09630266979096123,0.9731914761314683,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,1000,2000,192,2048,22939.27763540657,23293.56895700584,0.7168524261064554,0.7279240299064325,0.9847901658070002,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,32,128,810.4818597335109,842.6030352648825,0.025327558116672214,0.026331344852027577,0.961878637760575,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,48,256,1606.930231350048,1611.0821054109015,0.050216569729689,0.05034631579409067,0.9974229283244416,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,64,512,4152.402674588226,4308.653798143594,0.12976258358088205,0.13464543119198732,0.9637355120936637,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,192,1024,3068.3683437075424,3383.340051629657,0.0958865107408607,0.10572937661342678,0.9069050987735029,True
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,2000,3000,192,2048,21299.780968949442,21854.321009550946,0.66561815527967,0.6829475315484671,0.9746256110926917,True
