label,family,seed,strategy,input_fingerprint,seq_len_k,nql,role,sim_category,compute_share_of_full_input,request_count,compute_ms,active_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,p05_request_compute_fraction,median_request_compute_fraction,mean_io_stall_ms,mean_layer0_stall_ms,mean_warm_layers_stall_ms,warm_layers_share_of_total_stall,p95_io_stall_ms,admission_slo_passed,admission_slo_pass_rate,arrival_slo_passed,arrival_slo_pass_rate,cohort_id_sha256
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,128,short,SS,0.19842403316227472,6240,26353.209530196145,39726.005000481025,0.6633742690682601,0.7323714687129436,0.1295238258200807,0.40070826783419505,0.7483329330407898,2.143076197160232,0.24059642080222793,1.9024797763579984,0.887733146809691,6.316244197997347,3973,0.6366987179487179,10,0.0016025641025641025,8edabe9caa80ab1cf668b5c893d34c839f64309ded172ce86ecd0352067b33bf
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,256,short,SS,0.26207225977587617,6240,34806.49528113082,46729.642901375184,0.7448483044176337,0.7947963626087231,0.14971575466728643,0.48927217128276773,0.8194849981745256,1.9107608365780586,0.22210811420776638,1.6886527223702932,0.8837593329547543,5.822570035070635,4909,0.7866987179487179,8,0.001282051282051282,8858999a1e5bb25b61b7f558ddd3c2f1730cedef5ac4da0e18644fce5642c3e6
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,384,short,SS,0.3380762659465614,6240,44900.78410204366,54983.85566985382,0.8166175972024741,0.8521316650117314,0.19211402139696257,0.5683555373807084,0.8874062774595094,1.615876853815686,0.21747593241036917,1.3984009214053188,0.8654130530449609,5.464815456766487,5555,0.8902243589743589,12,0.0019230769230769232,924c713e437f9686ca4579e50b8bedcf43edda42d28e7a33c4548dc8fd1a4945
aligned_short080_ssu6_seed7,aligned,7,baseline,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,192,256,long,LS,0.20142744111531447,384,26752.09991574931,28686.98116023215,0.9325519393736311,0.9328108556657057,0.8510071299346827,0.9064435100041032,0.9373960980971277,5.038753240840744,4.9067088129414245,0.132044427899319,0.026205773846803154,7.190519160069309,384,1.0,5,0.013020833333333334,f9efbe919a12f16bf80ad1d66ab4b23e93068d69991cf97e066f4a192fac3fa8
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,128,short,SS,0.19842403316227472,6240,26353.209530196145,26355.17553634994,0.9999254034126587,0.9999288446862563,0.9456899207438461,0.9999999999991872,1.0000000000000486,0.0003150650885166266,0.0003150650885166266,0.0,0.0,0.0,6240,1.0,10,0.0016025641025641025,8edabe9caa80ab1cf668b5c893d34c839f64309ded172ce86ecd0352067b33bf
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,256,short,SS,0.26207225977587617,6240,34806.49528113082,34808.07517915224,0.9999546111638379,0.9999562879460483,0.9514384387786523,0.9999999999997392,0.9999999999999838,0.0002531887856507912,0.0002531887856507912,0.0,0.0,0.0,6240,1.0,8,0.001282051282051282,8858999a1e5bb25b61b7f558ddd3c2f1730cedef5ac4da0e18644fce5642c3e6
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,1,384,short,SS,0.3380762659465614,6240,44900.78410204366,44902.84444156822,0.9999541156122695,0.9999552616150351,0.962480121587692,0.999999999999787,0.9999999999999766,0.00033018261640499794,0.00033018261640499794,0.0,0.0,0.0,6240,1.0,12,0.0019230769230769232,924c713e437f9686ca4579e50b8bedcf43edda42d28e7a33c4548dc8fd1a4945
aligned_short080_ssu6_seed7,aligned,7,new_once,4d2fc8f78a881b92ecca84b6bf0764276f986c9bf1727a1309774176f9f5089a,192,256,long,LS,0.20142744111531447,384,26752.09991574931,34324.79428396033,0.7793812162262639,0.8036783397294417,0.4958874989951757,0.5848791553393874,0.8457993971976661,19.72055825054945,7.620045713367936,12.10051253718151,0.6135988841413438,49.44644487648752,297,0.7734375,5,0.013020833333333334,f9efbe919a12f16bf80ad1d66ab4b23e93068d69991cf97e066f4a192fac3fa8
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,32,128,short,SS,0.023586635177825558,576,5428.343618680296,12369.721482999168,0.4388412161212329,0.5489705563845974,0.13919578674191158,0.19478998559309355,0.5444331512469786,12.051003236664764,0.8040031141330808,11.247000122531672,0.9332833044400037,38.9574913887771,178,0.3090277777777778,0,0.0,cc8a9e50e523d29bb748d56e9bc140b395191ad596e13c4ff68ad48f20015e4c
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,48,256,short,SS,0.05343052654709034,576,12296.762791214062,16724.590040752595,0.73525047617016,0.7907523199692329,0.29066168791836117,0.4273079457711187,0.8372889404885546,7.687200086003622,0.848517518368937,6.838682567634686,0.8896194311484277,28.61203588957298,433,0.7517361111111112,0,0.0,2e113f289c6ed53237bccc91eaf3bdeaaf607699ec4bf3fc4a38c38213c6b457
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,64,512,short,SL,0.12787132753390432,576,29428.93293586097,31050.461174778116,0.9477776439522163,0.9564793870981467,0.6284673809484046,0.7073090447301443,0.9882128560527499,2.8151531925640643,1.255542320651763,1.5596108719123019,0.5540056846752967,21.146316927627737,559,0.9704861111111112,5,0.008680555555555556,0ebf934fcf23845c1eedb7662c33118848432a8bbf8be6b7cf6067f8bc604335
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,192,1024,long,LL,0.11379527053731368,96,26189.400310814995,26499.052816559804,0.9883145821139954,0.9884269065865187,0.9576763548253775,0.9722364644254273,0.9906489018686565,3.2255469348411303,3.2255469348411303,0.0,0.0,7.790377913961606,96,1.0,3,0.03125,5779246c87d2c949895c311c721110098ff986255bc3185fed4494cb5cfd9f6b
raw_size_varied_ssu6_seed7,raw,7,baseline,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,192,2048,long,LL,0.6813162402038784,288,156801.4528961282,157692.54957197196,0.9943491516989073,0.9943751285923006,0.9783795790403023,0.9858542762731395,0.9943181453261123,3.09408568001025,3.09408568001025,0.0,0.0,7.812199258421551,288,1.0,12,0.041666666666666664,7e72bc1435052e84945e129d7c23b4fd14a3622003696e36323c3c20b6773745
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,32,128,short,SS,0.023586635177825558,576,5428.343618680296,6139.411587278617,0.8841797852302793,0.9503592286961218,0.1865750353749094,0.7602312691266486,1.0000000000000144,1.2344930010388075,0.1508062106092966,1.083686790429511,0.8778395580352458,2.9723339180677613,552,0.9583333333333334,0,0.0,cc8a9e50e523d29bb748d56e9bc140b395191ad596e13c4ff68ad48f20015e4c
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,48,256,short,SS,0.05343052654709034,576,12296.762791214062,12576.092404656894,0.9777888389767717,0.9887208100586723,0.3888502609011515,0.9824956732708332,0.999999999999878,0.48494724555971797,0.16605768818112118,0.31888955737859676,0.6575757678766476,0.38034970746457475,569,0.9878472222222222,0,0.0,2e113f289c6ed53237bccc91eaf3bdeaaf607699ec4bf3fc4a38c38213c6b457
raw_size_varied_ssu6_seed7,raw,7,new_once,d5653af784d581fb61c67501f5b105a93d790fb506a1fa88ecbc51aad1b84195,64,512,short,SL,0.12787132753390432,576,29428.93293586097,33464.03653449286,0.8794196989812413,0.9269005610311805,0.36263926338326663,0.4512556302436262,0.9963543445276632,7.005388192068787,1.8624623530343902,5.142925839034397,0.734138594183404,62.1314722211641,520,0.9027777777777778,0,0.0,0ebf934fcf23845c1eedb7662c33118848432a8bbf8be6b7cf6067f8bc604335
