policy,window,U_percent,SLO_1p5_percent,cohort_count,all32active,mixed_cards,strict_underload,any_disk_overload_percent,max_disk_demand_GiB_s
od_baseline,"[2,4)",79.01388566483844,66.66666666666667,96,True,32,False,22.910159934589068,314.68405813972777
od_baseline,"[4,8)",79.07398465144988,71.42857142857143,224,True,32,False,22.638510213208225,314.68405813972777
od_baseline,"[8,12)",84.54649340961612,67.87564766839378,193,True,32,False,17.43065160709248,314.68405813972777
od_baseline,"[12,16)",88.93230812672203,73.5,200,True,32,False,16.808945914546122,277.94962308202514
od_baseline,"[16,18)",93.36940148217049,82.14285714285714,112,True,32,False,15.891219920750519,202.350119430704
od_baseline,"[2,18)",84.68610744032311,72.0,825,True,32,False,19.069699415629156,314.68405813972777
od_baseline,"[12,20)",91.86902986756176,79.39814814814815,432,True,32,False,15.62790260119393,277.94962308202514
od_baseline,full,84.4194056387368,71.96180555555556,1152,False,32,False,17.850930915741543,314.68405813972777
once,"[2,4)",88.34503426071285,81.35593220338983,118,True,32,False,33.21401938423632,261.1475331029297
once,"[4,8)",98.24232784781049,92.27272727272727,220,True,32,False,14.068291416066348,111.08988497296141
once,"[8,12)",98.96860268736911,99.60474308300395,253,True,32,False,17.326362081408025,73.1470022912302
once,"[12,16)",99.03095179864958,99.14163090128756,233,True,32,False,14.07087763892837,67.19392721574685
once,"[16,18)",99.26951668859435,100.0,123,True,32,False,14.190049492771777,67.19392721574685
once,"[2,18)",97.5122894521207,95.5649419218585,947,True,32,False,17.291891393726697,261.1475331029297
once,"[12,20)",94.34581844629906,99.53161592505855,427,False,32,False,12.736267180975528,67.19392721574685
once,full,93.51541964963941,90.97222222222223,1152,False,32,False,17.6741746927361,314.68405813972777
