num_ssu,regime,seed,strategy,request_id,npu_id,arrival_ms,admission_ms,completion_ms,ideal_compute_ms,io_count,slo_threshold_ms,admission_latency_ms,arrival_latency_ms,admission_passed,arrival_passed
5,near,20260906,baseline,0,0,0.0,0.0,105.24314611780835,51.09189745809175,4064,76.63784618713763,105.24314611780835,105.24314611780835,False,False
5,near,20260906,baseline,1,0,0.0,105.24314611780835,288.9465686551854,136.99125041335824,12256,205.48687562003738,183.70342253737704,288.9465686551854,True,False
5,near,20260906,baseline,2,0,0.0,288.9465686551854,833.3960578778555,544.44948922267,12160,816.674233834005,544.4494892226701,833.3960578778555,True,False
5,near,20260906,baseline,3,0,0.0,833.3960578778555,1377.8455471005257,544.44948922267,12160,816.674233834005,544.4494892226702,1377.8455471005257,True,False
5,near,20260906,baseline,4,0,544.4494892226701,1377.8455471005257,1417.9462786439524,15.979837567787547,2032,23.96975635168132,40.10073154342672,873.4967894212823,False,False
5,near,20260906,baseline,5,0,560.4293267904577,1417.9462786439524,1486.5378555691548,51.09189745809175,4064,76.63784618713763,68.59157692520239,926.1085287786971,True,False
5,near,20260906,baseline,6,0,611.5212242485495,1486.5378555691548,2031.8321318038998,544.44948922267,12160,816.674233834005,545.294276234745,1420.3109075553502,True,False
5,near,20260906,baseline,7,0,1155.9707134712196,2031.8321318038998,2078.610511526973,9.424207671320028,2040,14.136311506980043,46.77837972307316,922.6397980557533,False,False
5,near,20260906,baseline,8,0,1165.3949211425397,2078.610511526973,2222.5726922802432,136.99125041335824,12256,205.48687562003738,143.96218075327033,1057.1777711377035,True,False
5,near,20260906,baseline,9,0,1302.386171555898,2222.5726922802432,2238.5525298480325,15.979837567787547,2032,23.96975635168132,15.979837567789218,936.1663582921344,True,False
5,near,20260906,baseline,10,0,1318.3660091236854,2238.5525298480325,2786.1113746042197,544.44948922267,12160,816.674233834005,547.5588447561872,1467.7453654805342,True,False
5,near,20260906,baseline,11,0,1862.8154983463553,2786.1113746042197,2923.102625017577,136.99125041335824,12256,205.48687562003738,136.9912504133572,1060.2871266712216,True,False
5,near,20260906,baseline,12,0,1999.8067487597134,2923.102625017577,2939.3502496472515,9.424207671320028,2040,14.136311506980043,16.247624629674647,939.5435008875381,False,False
5,near,20260906,baseline,13,0,2009.2309564310333,2939.3502496472515,3488.8992787313177,544.44948922267,12160,816.674233834005,549.5490290840662,1479.6683223002844,True,False
5,near,20260906,baseline,14,0,2553.680445653703,3488.8992787313177,4033.348767953986,544.44948922267,12160,816.674233834005,544.4494892226685,1479.6683223002833,True,False
5,near,20260906,baseline,15,0,3098.129934876373,4033.348767953986,4109.123023775601,72.56673439628396,6112,108.85010159442595,75.77425582161459,1010.9930888992276,True,False
5,near,20260906,baseline,16,0,3170.6966692726573,4109.123023775601,4156.619229777584,9.424207671320028,2040,14.136311506980043,47.49620600198341,985.9225605049269,False,False
5,near,20260906,baseline,17,0,3180.1208769439772,4156.619229777584,4213.384976847897,9.424207671320028,2040,14.136311506980043,56.7657470703125,1033.2640999039195,False,False
5,near,20260906,baseline,18,0,3189.545084615297,4213.384976847897,4763.86125883724,544.44948922267,12160,816.674233834005,550.4762819893431,1574.3161742219427,True,False
5,near,20260906,baseline,19,0,3733.9945738379665,4763.86125883724,5308.310748059912,544.44948922267,12160,816.674233834005,544.4494892226721,1574.3161742219454,True,False
5,near,20260906,baseline,20,0,4278.444063060637,5308.310748059912,5389.532533577016,72.56673439628396,6112,108.85010159442595,81.22178551710385,1111.088470516379,True,False
5,near,20260906,baseline,21,0,4351.010797456921,5389.532533577016,5526.523783990377,136.99125041335824,12256,205.48687562003738,136.99125041336083,1175.5129865334557,True,False
5,near,20260906,baseline,1000000,1,0.0,0.0,88.65468001164938,9.424207671320028,2040,14.136311506980043,88.65468001164938,88.65468001164938,False,False
5,near,20260906,baseline,1000001,1,0.0,88.65468001164938,208.20029943812085,51.09189745809175,4064,76.63784618713763,119.54561942647148,208.20029943812085,False,False
5,near,20260906,baseline,1000002,1,0.0,208.20029943812085,234.4463059882119,9.424207671320028,2040,14.136311506980043,26.24600655009104,234.4463059882119,False,False
5,near,20260906,baseline,1000003,1,0.0,234.4463059882119,785.7066071967411,544.44948922267,12160,816.674233834005,551.2603012085292,785.7066071967411,True,True
5,near,20260906,baseline,1000004,1,544.44948922267,785.7066071967411,888.8499423658571,15.979837567787547,2032,23.96975635168132,103.14333516911609,344.4004531431872,False,False
5,near,20260906,baseline,1000005,1,560.4293267904575,888.8499423658571,1035.551018991445,136.99125041335824,12256,205.48687562003738,146.70107662558792,475.1216922009876,True,False
5,near,20260906,baseline,1000006,1,697.4205772038157,1035.551018991445,1049.8204204339102,9.424207671320028,2040,14.136311506980043,14.269401442465096,352.39984323009446,False,False
5,near,20260906,baseline,1000007,1,706.8447848751357,1049.8204204339102,1076.4169409505082,9.424207671320028,2040,14.136311506980043,26.596520516598048,369.5721560753725,False,False
5,near,20260906,baseline,1000008,1,716.2689925464557,1076.4169409505082,1218.3777399543399,136.99125041335824,12256,205.48687562003738,141.96079900383165,502.10874740788415,True,False
5,near,20260906,baseline,1000009,1,853.2602429598139,1218.3777399543399,1253.3458776163718,15.979837567787547,2032,23.96975635168132,34.96813766203195,400.0856346565579,False,False
5,near,20260906,baseline,1000010,1,869.2400805276014,1253.3458776163718,1803.797459896975,544.44948922267,12160,816.674233834005,550.4515822806031,934.5573793693735,True,False
5,near,20260906,baseline,1000011,1,1413.6895697502714,1803.797459896975,1940.788710310334,136.99125041335824,12256,205.48687562003738,136.991250413359,527.0991405600626,True,False
5,near,20260906,baseline,1000012,1,1550.6808201636297,1940.788710310334,2485.238199533003,544.44948922267,12160,816.674233834005,544.449489222669,934.5573793693732,True,False
5,near,20260906,baseline,1000013,1,2095.1303093863,2485.238199533003,2622.22944994636,136.99125041335824,12256,205.48687562003738,136.9912504133572,527.0991405600603,True,False
5,near,20260906,baseline,1000014,1,2232.121559799658,2622.22944994636,2686.2178177214355,51.09189745809175,4064,76.63784618713763,63.9883677750754,454.0962579217776,True,False
5,near,20260906,baseline,1000015,1,2283.2134572577497,2686.2178177214355,3232.807510069815,544.44948922267,12160,816.674233834005,546.5896923483797,949.5940528120655,True,False
5,near,20260906,baseline,1000016,1,2827.6629464804196,3232.807510069815,3777.2569992924837,544.44948922267,12160,816.674233834005,544.4494892226685,949.5940528120641,True,False
5,near,20260906,baseline,1000017,1,3372.1124357030894,3777.2569992924837,3849.8237336887687,72.56673439628396,6112,108.85010159442595,72.56673439628503,477.71129798567927,True,False
5,near,20260906,baseline,1000018,1,3444.6791700993736,3849.8237336887687,3933.198340173869,72.56673439628396,6112,108.85010159442595,83.37460648510023,488.5191700744954,True,False
5,near,20260906,baseline,1000019,1,3517.2459044956577,3933.198340173869,4484.484656664387,544.44948922267,12160,816.674233834005,551.2863164905184,967.2387521687297,True,False
5,near,20260906,baseline,1000020,1,4061.695393718328,4484.484656664387,5028.9341458870595,544.44948922267,12160,816.674233834005,544.4494892226721,967.2387521687315,True,False
5,near,20260906,baseline,1000021,1,4606.144882940998,5028.9341458870595,5573.383635109732,544.44948922267,12160,816.674233834005,544.4494892226721,967.2387521687333,True,False
5,near,20260906,baseline,2000000,2,0.0,0.0,576.1003376113418,544.44948922267,12160,816.674233834005,576.1003376113418,576.1003376113418,True,True
5,near,20260906,baseline,2000001,2,0.0,576.1003376113418,1120.549826834012,544.44948922267,12160,816.674233834005,544.4494892226702,1120.549826834012,True,False
5,near,20260906,baseline,2000002,2,0.0,1120.549826834012,1257.541077247371,136.99125041335824,12256,205.48687562003738,136.991250413359,1257.541077247371,True,False
5,near,20260906,baseline,2000003,2,0.0,1257.541077247371,1288.3217305578855,9.424207671320028,2040,14.136311506980043,30.78065331051448,1288.3217305578855,False,False
5,near,20260906,baseline,2000004,2,9.424207671320119,1288.3217305578855,1429.2819734449467,136.99125041335824,12256,205.48687562003738,140.9602428870612,1419.8577657736266,True,False
5,near,20260906,baseline,2000005,2,146.41545808467845,1429.2819734449467,1566.338747979579,136.99125041335824,12256,205.48687562003738,137.05677453463227,1419.9232898949006,True,False
5,near,20260906,baseline,2000006,2,283.4067084980368,1566.338747979579,1645.770265855812,72.56673439628396,6112,108.85010159442595,79.4315178762331,1362.3635573577753,True,False
5,near,20260906,baseline,2000007,2,355.97344289432067,1645.770265855812,1713.8859462663295,51.09189745809175,4064,76.63784618713763,68.11568041051737,1357.9125033720088,True,False
5,near,20260906,baseline,2000008,2,407.0653403524125,1713.8859462663295,1773.6432393819198,51.09189745809175,4064,76.63784618713763,59.7572931155903,1366.5778990295073,True,False
5,near,20260906,baseline,2000009,2,458.1572378105043,1773.6432393819198,2318.5224773725563,544.44948922267,12160,816.674233834005,544.8792379906365,1860.365239562052,True,False
5,near,20260906,baseline,2000010,2,1002.6067270331741,2318.5224773725563,2359.7986373998056,9.424207671320028,2040,14.136311506980043,41.27616002724926,1357.1919103666314,False,False
5,near,20260906,baseline,2000011,2,1012.030934704494,2359.7986373998056,2909.732974613755,544.44948922267,12160,816.674233834005,549.9343372139492,1897.7020399092607,True,False
5,near,20260906,baseline,2000012,2,1556.4804239271639,2909.732974613755,3454.1824638364233,544.44948922267,12160,816.674233834005,544.4494892226685,1897.7020399092594,True,False
5,near,20260906,baseline,2000013,2,2100.9299131498337,3454.1824638364233,3591.1737142497805,136.99125041335824,12256,205.48687562003738,136.9912504133572,1490.2438010999467,True,False
5,near,20260906,baseline,2000014,2,2237.921163563192,3591.1737142497805,3612.8433523483495,15.979837567787547,2032,23.96975635168132,21.669638098569067,1374.9221887851577,True,False
5,near,20260906,baseline,2000015,2,2253.9010011309792,3612.8433523483495,4160.848769272506,544.44948922267,12160,816.674233834005,548.0054169241562,1906.9477681415265,True,False
5,near,20260906,baseline,2000016,2,2798.350490353649,4160.848769272506,4218.441358073483,9.424207671320028,2040,14.136311506980043,57.592588800976955,1420.0908677198336,False,False
5,near,20260906,baseline,2000017,2,2807.774698024969,4218.441358073483,4276.151242717037,9.424207671320028,2040,14.136311506980043,57.70988464355469,1468.3765446920684,False,False
5,near,20260906,baseline,2000018,2,2817.198905696289,4276.151242717037,4825.559659562988,544.44948922267,12160,816.674233834005,549.4084168459503,2008.3607538666988,True,False
5,near,20260906,baseline,2000019,2,3361.648394918959,4825.559659562988,5370.00914878566,544.44948922267,12160,816.674233834005,544.4494892226721,2008.3607538667006,True,False
5,near,20260906,baseline,2000020,2,3906.0978841416295,5370.00914878566,5446.0975533580595,72.56673439628396,6112,108.85010159442595,76.08840457239967,1539.99966921643,True,False
5,near,20260906,baseline,2000021,2,3978.6646185379136,5446.0975533580595,5500.118144450238,15.979837567787547,2032,23.96975635168132,54.02059109217862,1521.4535259123245,False,False
5,near,20260906,baseline,3000000,3,0.0,0.0,89.07010054387594,9.424207671320028,2040,14.136311506980043,89.07010054387594,89.07010054387594,False,False
5,near,20260906,baseline,3000001,3,0.0,89.07010054387594,165.4250689303782,15.979837567787547,2032,23.96975635168132,76.35496838650225,165.4250689303782,False,False
5,near,20260906,baseline,3000002,3,0.0,165.4250689303782,717.0499749188712,544.44948922267,12160,816.674233834005,551.624905988493,717.0499749188712,True,True
5,near,20260906,baseline,3000003,3,0.0,717.0499749188712,819.9153110182009,15.979837567787547,2032,23.96975635168132,102.86533609932974,819.9153110182009,False,False
