npu_id,request_id,layer,io_release_time_ms,io_ready_time_ms,io_duration_ms,comparison_deadline_ms,read_exceeds_compute_window,overrun_ms,previous_compute_end_ms,compute_start_time_ms,compute_end_time_ms,compute_duration_ms,actual_io_barrier_wait_ms
0,0,0,0.0,4.732637133789062,4.732637133789062,5.044309980560046,False,0.0,0.0,4.732637133789062,9.776947114349108,5.044309980560046,4.732637133789062
0,0,1,4.732637133789062,6.3050212890625,1.5723841552734381,9.776947114349108,False,0.0,9.776947114349108,9.776947114349108,14.821257094909154,5.044309980560046,0.0
0,0,2,9.776947114349108,11.337582002044421,1.5606348876953131,14.821257094909154,False,0.0,14.821257094909154,14.821257094909154,19.8655670754692,5.044309980560046,0.0
1,1,0,0.0,5.07312666015625,5.07312666015625,5.044309980560046,True,0.028816679596204153,0.0,5.07312666015625,10.117436640716296,5.044309980560046,5.07312666015625
1,1,1,5.07312666015625,10.016211376953125,4.943084716796875,10.117436640716296,False,0.0,10.117436640716296,10.117436640716296,15.161746621276341,5.044309980560046,0.0
1,1,2,10.117436640716296,14.980276928710937,4.862840287994642,15.161746621276341,False,0.0,15.161746621276341,15.161746621276341,20.206056601836387,5.044309980560046,0.0
2,2,0,0.0,5.043753491210937,5.043753491210937,5.044309980560046,False,0.0,0.0,5.043753491210937,10.088063471770983,5.044309980560046,5.043753491210937
2,2,1,5.043753491210937,9.172781811523437,4.1290283203125,10.088063471770983,False,0.0,10.088063471770983,10.088063471770983,15.132373452331029,5.044309980560046,0.0
2,2,2,10.088063471770983,14.250143872070312,4.162080400299329,15.132373452331029,False,0.0,15.132373452331029,15.132373452331029,20.176683432891075,5.044309980560046,0.0
3,3,0,0.0,4.665598461914063,4.665598461914063,5.044309980560046,False,0.0,0.0,4.665598461914063,9.70990844247411,5.044309980560046,4.665598461914063
3,3,1,4.665598461914063,6.017164233398438,1.351565771484375,9.70990844247411,False,0.0,9.70990844247411,9.70990844247411,14.754218423034155,5.044309980560046,0.0
3,3,2,9.70990844247411,11.061374213958484,1.3514657714843743,14.754218423034155,False,0.0,14.754218423034155,14.754218423034155,19.7985284035942,5.044309980560046,0.0
4,4,0,0.0,4.997595654296875,4.997595654296875,5.044309980560046,False,0.0,0.0,4.997595654296875,10.04190563485692,5.044309980560046,4.997595654296875
4,4,1,4.997595654296875,8.835070751953124,3.837475097656249,10.04190563485692,False,0.0,10.04190563485692,10.04190563485692,15.086215615416966,5.044309980560046,0.0
4,4,2,10.04190563485692,13.854003730560045,3.8120980957031243,15.086215615416966,False,0.0,15.086215615416966,15.086215615416966,20.130525595977012,5.044309980560046,0.0
5,5,0,0.0,4.841737475585937,4.841737475585937,5.044309980560046,False,0.0,0.0,4.841737475585937,9.886047456145983,5.044309980560046,4.841737475585937
5,5,1,4.841737475585937,7.211393359375,2.369655883789063,9.886047456145983,False,0.0,9.886047456145983,9.886047456145983,14.930357436706029,5.044309980560046,0.0
5,5,2,9.886047456145983,12.248989472747546,2.362942016601563,14.930357436706029,False,0.0,14.930357436706029,14.930357436706029,19.974667417266076,5.044309980560046,0.0
6,6,0,0.0,4.8627183105468745,4.8627183105468745,5.044309980560046,False,0.0,0.0,4.8627183105468745,9.90702829110692,5.044309980560046,4.8627183105468745
6,6,1,4.8627183105468745,7.8084275390624995,2.945709228515625,9.90702829110692,False,0.0,9.90702829110692,9.90702829110692,14.951338271666966,5.044309980560046,0.0
6,6,2,9.90702829110692,12.684973583984375,2.7779452928774546,14.951338271666966,False,0.0,14.951338271666966,14.951338271666966,19.995648252227014,5.044309980560046,0.0
7,7,0,0.0,4.875306811523437,4.875306811523437,5.044309980560046,False,0.0,0.0,4.875306811523437,9.919616792083483,5.044309980560046,4.875306811523437
7,7,1,4.875306811523437,8.089570727539062,3.214263916015625,9.919616792083483,False,0.0,9.919616792083483,9.919616792083483,14.963926772643529,5.044309980560046,0.0
7,7,2,9.919616792083483,13.087805615234375,3.168188823150892,14.963926772643529,False,0.0,14.963926772643529,14.963926772643529,20.008236753203576,5.044309980560046,0.0
8,8,0,0.0,4.858622143554688,4.858622143554688,5.044309980560046,False,0.0,0.0,4.858622143554688,9.902932124114734,5.044309980560046,4.858622143554688
8,8,1,4.858622143554688,7.716211865234375,2.8575897216796875,9.902932124114734,False,0.0,9.902932124114734,9.902932124114734,14.94724210467478,5.044309980560046,0.0
8,8,2,9.902932124114734,12.634619580078125,2.7316874559633906,14.94724210467478,False,0.0,14.94724210467478,14.94724210467478,19.991552085234826,5.044309980560046,0.0
9,9,0,0.0,4.858522143554687,4.858522143554687,5.044309980560046,False,0.0,0.0,4.858522143554687,9.902832124114733,5.044309980560046,4.858522143554687
9,9,1,4.858522143554687,7.678446362304688,2.8199242187500007,9.902832124114733,False,0.0,9.902832124114733,9.902832124114733,14.947142104674779,5.044309980560046,0.0
9,9,2,9.902832124114733,12.731131420898437,2.8282992967837046,14.947142104674779,False,0.0,14.947142104674779,14.947142104674779,19.991452085234826,5.044309980560046,0.0
10,10,0,0.0,4.875906811523437,4.875906811523437,5.044309980560046,False,0.0,0.0,4.875906811523437,9.920216792083483,5.044309980560046,4.875906811523437
10,10,1,4.875906811523437,8.1105515625,3.234644750976562,9.920216792083483,False,0.0,9.920216792083483,9.920216792083483,14.964526772643529,5.044309980560046,0.0
10,10,2,9.920216792083483,13.125571118164062,3.2053543260805792,14.964526772643529,False,0.0,14.964526772643529,14.964526772643529,20.008836753203575,5.044309980560046,0.0
11,11,0,0.0,4.862818310546875,4.862818310546875,5.044309980560046,False,0.0,0.0,4.862818310546875,9.907128291106922,5.044309980560046,4.862818310546875
11,11,1,4.862818310546875,7.854685375976563,2.9918670654296875,9.907128291106922,False,0.0,9.907128291106922,9.907128291106922,14.951438271666968,5.044309980560046,0.0
11,11,2,9.907128291106922,12.7772892578125,2.870160966705578,14.951438271666968,False,0.0,14.951438271666968,14.951438271666968,19.995748252227013,5.044309980560046,0.0
12,12,0,0.0,4.884299145507812,4.884299145507812,5.044309980560046,False,0.0,0.0,4.884299145507812,9.928609126067858,5.044309980560046,4.884299145507812
12,12,1,4.884299145507812,8.236236572265625,3.3519374267578126,9.928609126067858,False,0.0,9.928609126067858,9.928609126067858,14.972919106627904,5.044309980560046,0.0
12,12,2,9.928609126067858,13.230892548919421,3.3022834228515627,14.972919106627904,False,0.0,14.972919106627904,14.972919106627904,20.01722908718795,5.044309980560046,0.0
13,13,0,0.0,4.8544259765625,4.8544259765625,5.044309980560046,False,0.0,0.0,4.8544259765625,9.898735957122547,5.044309980560046,4.8544259765625
13,13,1,4.8544259765625,7.527384350585938,2.6729583740234375,9.898735957122547,False,0.0,9.898735957122547,9.898735957122547,14.943045937682593,5.044309980560046,0.0
13,13,2,9.898735957122547,12.59265791015625,2.693921953033703,14.943045937682593,False,0.0,14.943045937682593,14.943045937682593,19.98735591824264,5.044309980560046,0.0
14,14,0,0.0,5.060538159179687,5.060538159179687,5.044309980560046,True,0.016228178619641653,0.0,5.060538159179687,10.104848139739733,5.044309980560046,5.060538159179687
14,14,1,5.060538159179687,9.676321850585937,4.61578369140625,10.104848139739733,False,0.0,10.104848139739733,10.104848139739733,15.149158120299779,5.044309980560046,0.0
14,14,2,10.104848139739733,14.69074140625,4.585893266510267,15.149158120299779,False,0.0,15.149158120299779,15.149158120299779,20.193468100859825,5.044309980560046,0.0
15,15,0,0.0,4.732197900390625,4.732197900390625,5.044309980560046,False,0.0,0.0,4.732197900390625,9.776507880950671,5.044309980560046,4.732197900390625
15,15,1,4.732197900390625,6.300825122070313,1.5686272216796873,9.776507880950671,False,0.0,9.776507880950671,9.776507880950671,14.820817861510717,5.044309980560046,0.0
15,15,2,9.776507880950671,11.333385835052233,1.5568779541015623,14.820817861510717,False,0.0,14.820817861510717,14.820817861510717,19.865127842070763,5.044309980560046,0.0
16,16,0,0.0,4.75341796875,4.75341796875,5.044309980560046,False,0.0,0.0,4.75341796875,9.797727949310046,5.044309980560046,4.75341796875
16,16,1,4.75341796875,6.549198974609373,1.7957810058593733,9.797727949310046,False,0.0,9.797727949310046,9.797727949310046,14.842037929870092,5.044309980560046,0.0
16,16,2,9.797727949310046,11.575746264648437,1.7780183153383913,14.842037929870092,False,0.0,14.842037929870092,14.842037929870092,19.88634791043014,5.044309980560046,0.0
17,17,0,0.0,5.081518994140625,5.081518994140625,5.044309980560046,True,0.03720901358057915,0.0,5.081518994140625,10.12582897470067,5.044309980560046,5.081518994140625
17,17,1,5.081518994140625,10.1588810546875,5.077362060546875,10.12582897470067,True,0.03305207998682924,10.12582897470067,10.1588810546875,15.203191035247546,5.044309980560046,0.03305207998682924
17,17,2,10.1588810546875,15.236243115234375,5.077362060546875,15.203191035247546,True,0.03305207998682924,15.203191035247546,15.236243115234375,20.28055309579442,5.044309980560046,0.03305207998682924
18,18,0,0.0,5.014380322265625,5.014380322265625,5.044309980560046,False,0.0,0.0,5.014380322265625,10.05869030282567,5.044309980560046,5.014380322265625
18,18,1,5.014380322265625,8.983554296874999,3.969173974609374,10.05869030282567,False,0.0,10.05869030282567,10.05869030282567,15.103000283385716,5.044309980560046,0.0
18,18,2,10.05869030282567,13.981567207122545,3.9228769042968743,15.103000283385716,False,0.0,15.103000283385716,15.103000283385716,20.147310263945762,5.044309980560046,0.0
19,19,0,0.0,5.0563419921875,5.0563419921875,5.044309980560046,True,0.012032011627454153,0.0,5.0563419921875,10.100651972747546,5.044309980560046,5.0563419921875
19,19,1,5.0563419921875,9.542044506835937,4.4857025146484375,10.100651972747546,False,0.0,10.100651972747546,10.100651972747546,15.144961953307591,5.044309980560046,0.0
