policy,window,U_percent,admission_SLO_1p5_percent,SLO_count,all_npus_active,mixed_cards,strict_underload,any_disk_overload_percent,maximum_disk_demand_GiB_s,stall_initial_L0_card_ms,stall_cross_request_L0_card_ms,stall_internal_L1_to_L7_card_ms
od_baseline,"[2,4)",91.00195186927449,100.0,192,True,32,False,0.03797031127928676,40.0726537791278,0.0,5744.569452835146,14.18135082918343
od_baseline,"[4,6)",93.28699043082561,100.0,195,True,32,True,0.0,39.832680350563315,0.0,4295.852871293095,0.47325297851602954
od_baseline,"[6,8)",96.39317000093389,100.0,198,True,32,False,5.536034548770476,40.68543009654251,0.0,2308.3711994023024,0.0
od_baseline,"[4,8)",94.84008021587977,100.0,393,True,32,False,2.768017274385238,40.68543009654251,0.0,6604.224070695397,0.47325297851602954
od_baseline,"[8,10)",98.44593689163639,100.0,203,True,32,True,0.0,39.76986163923406,0.0,994.6003893527104,0.0
od_baseline,full,91.88764934520741,100.0,1024,False,32,False,1.0456110632583542,40.68543009654251,109.4676298583985,20110.802674140643,21.744120003018907
once,"[2,4)",98.15957236722514,100.0,210,True,32,True,0.0,39.99198757784487,0.0,1177.8736849759152,0.0
once,"[4,6)",98.5684137984926,100.0,201,True,32,False,5.782973467012607,40.65582727210107,0.0,916.2151689647271,0.0
once,"[6,8)",98.79314049615343,100.0,197,True,32,False,1.8271129432498128,40.223245931479795,0.0,772.3900824618131,0.0
once,"[4,8)",98.68077714732301,100.0,398,True,32,False,3.80504320513121,40.65582727210107,0.0,1688.6052514265402,0.0
once,"[8,10)",98.91828702971377,100.0,193,True,32,True,0.0,39.85261536902927,0.0,692.2963009831847,0.0
once,full,95.35299905289939,100.0,1024,False,32,False,1.615921498922892,40.727078398735145,121.06573542480476,6707.902979363981,39.259981902357595
