target_ratio,is_current_formal_target,num_ssu,case,seed,measurement_ms,mean_npu_utilization_pct,alpha_1p5_equal_npu_slo_pct,alpha_1p5_request_weighted_slo_pct,alpha_2_equal_npu_slo_pct,alpha_2_request_weighted_slo_pct,measurement_request_count,measurement_requests_per_npu_min,measurement_requests_per_npu_median,measurement_requests_per_npu_max,measurement_control_evaluations,measurement_cir_path_writes,measurement_cir_write_transactions,measurement_cir_commits,measurement_cir_path_write_rate_hz,delta_alpha_1p5_attainment_vs_default,delta_utilization_vs_default,qualified_challenger,selected_by_preregistered_rule,measurement_cohort_fingerprint,input_simulator_fingerprint,source_fingerprint,config_fingerprint,definition_fingerprint,all_invariants_passed,source_artifact
0.68,False,16,adaptive_a1p5_t0_i25ms,43,4000.0,73.93354490227506,83.01513698974637,82.01663201663202,86.82410579871518,85.96673596673597,962,1,8.0,16,160,325632,2544,159,81408.0,-0.027701595279720267,-0.0026259367536970047,False,False,87d1fea2b317c2da951029361fa4dff644a4e51775077a512a69f209763c8a97,8cbc779450b77185d74b44a1569dde18a6f01fc0176ed7b0be3730eaf8e068c6,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,fd9557ab90aac0c6258ccf7e16ff32d15a274c07fe88d3ba55afec821f3169e0,b3a74eb21c0ea953b06fd95e6c61bd1233b19714f8a0f523edf422a4604ae191,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0680_ssu16.json
0.68,False,20,adaptive_a1p5_t0_i25ms,43,4000.0,92.69799044386228,88.19652318624358,86.4655172413793,90.99983047608458,89.82758620689654,1160,1,9.0,24,160,402169,3200,160,100542.25,-0.0006681695765963979,-0.0021513623291039606,False,False,0ccd588bf2f29e7f7a60b729f05f60e8537ca371c3812824d2e37c7b324a71f3,da334337bd50ea48b47a282dc524d17516c293108877e68529fbed46fd0c81a3,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,fd9557ab90aac0c6258ccf7e16ff32d15a274c07fe88d3ba55afec821f3169e0,b3a74eb21c0ea953b06fd95e6c61bd1233b19714f8a0f523edf422a4604ae191,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0680_ssu20.json
0.68,False,24,adaptive_a1p5_t0_i25ms,43,4000.0,97.95881722081651,88.97032774989673,86.91437802907916,95.52231707115124,94.58804523424878,1238,2,9.0,21,160,318428,3840,160,79607.0,0.001927750679080873,0.0010682802888521792,False,False,27708d742718c4910d76a9e4f03c6f7f1c69914364c4012a57dbcd77cf63dce2,6462514e5a7c1272573a10e24c87d0b6b05571ea5de55c4ab86d00e13e777e45,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,fd9557ab90aac0c6258ccf7e16ff32d15a274c07fe88d3ba55afec821f3169e0,b3a74eb21c0ea953b06fd95e6c61bd1233b19714f8a0f523edf422a4604ae191,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0680_ssu24.json
0.6866666666666666,True,16,adaptive_a1p5_t0_i25ms,43,4000.0,74.19613857764476,85.7852965177184,84.6234309623431,88.39789008734321,87.34309623430963,956,1,8.0,16,160,327664,2560,160,81916.0,0.0,0.0,,True,34cf5dbe43b171202eb68a59731159e3b5c70a70217c44fa2fb921d474c9f493,8cbc779450b77185d74b44a1569dde18a6f01fc0176ed7b0be3730eaf8e068c6,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,12cc0bed2c88b08b1b76c5b205189971480a07821a78af2b75388eef8893ac74,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0686667_ssu16.json
0.6866666666666666,True,20,adaptive_a1p5_t0_i25ms,43,4000.0,92.91312667677268,88.26334014390322,86.56330749354005,91.39196627997906,90.35314384151593,1161,1,9.0,24,160,399100,3200,160,99775.0,0.0,0.0,,True,18ea7ef57dfc5e1faf79d26e23d1d709234a3f04ec5b578212615e33bab78f92,da334337bd50ea48b47a282dc524d17516c293108877e68529fbed46fd0c81a3,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,12cc0bed2c88b08b1b76c5b205189971480a07821a78af2b75388eef8893ac74,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0686667_ssu20.json
0.6866666666666666,True,24,adaptive_a1p5_t0_i25ms,43,4000.0,97.8519891919313,88.77755268198864,86.88259109311741,95.43794048873383,94.49392712550608,1235,2,9.0,21,160,301894,3840,160,75473.5,0.0,0.0,,True,15315476a9db958d807b5c6f807271f4ca24c47c8380afc8995e615a83c6f2cc,6462514e5a7c1272573a10e24c87d0b6b05571ea5de55c4ab86d00e13e777e45,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,12cc0bed2c88b08b1b76c5b205189971480a07821a78af2b75388eef8893ac74,d2535e6b4860ed6e1a574236ae3caa85476d6ee9f35350dd9668ed2cd0525266,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0686667_ssu24.json
0.7,False,16,adaptive_a1p5_t0_i25ms,43,4000.0,74.02207056278239,83.38157935814185,82.13166144200626,86.35613301628928,85.37095088819227,957,1,8.0,16,160,327664,2560,160,81916.0,-0.024037171595765443,-0.00174068014862371,False,False,5ea649042a6e962bc6cdfe6ba3e6cdd418f123acb22ad7835328ea39ea06dca1,8cbc779450b77185d74b44a1569dde18a6f01fc0176ed7b0be3730eaf8e068c6,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,c34cfd42c4c2c6ff510a90ca86d766591d9a20bdc316e0dd66f455562e53eca2,3aa89bc0eb82c553951ee056e84f68fa050f1cdec030425b20c82f6a8fffa497,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0700_ssu16.json
0.7,False,20,adaptive_a1p5_t0_i25ms,43,4000.0,92.95268994350421,88.08705733883616,86.54012079378775,90.3040752550907,89.12855910267471,1159,1,9.0,23,160,404340,3200,160,101085.0,-0.0017628280506706063,0.00039563266731533985,False,False,7e665c4f1f82556f92ece28823596d4db33a3da0e7cf058189a3e857b4926edf,da334337bd50ea48b47a282dc524d17516c293108877e68529fbed46fd0c81a3,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,c34cfd42c4c2c6ff510a90ca86d766591d9a20bdc316e0dd66f455562e53eca2,3aa89bc0eb82c553951ee056e84f68fa050f1cdec030425b20c82f6a8fffa497,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0700_ssu20.json
0.7,False,24,adaptive_a1p5_t0_i25ms,43,4000.0,97.87158946936012,88.54743399619923,86.81229773462783,95.31848544888526,94.41747572815534,1236,2,9.0,21,160,314926,3840,160,78731.5,-0.0023011868578940663,0.00019600277428821755,False,False,ae29f4de7cba9a193a194924c7ec9af1dd0f1ac8434497969e3a03d0ed9f33d6,6462514e5a7c1272573a10e24c87d0b6b05571ea5de55c4ab86d00e13e777e45,7fc63b4110c9a7161be79945e03fa06c037f883ead61379b96cb51c7cc3ec900,c34cfd42c4c2c6ff510a90ca86d766591d9a20bdc316e0dd66f455562e53eca2,3aa89bc0eb82c553951ee056e84f68fa050f1cdec030425b20c82f6a8fffa497,True,results/ms_scale_control/selected128_alpha1p5_calibration_v2_raw/cal_t0700_ssu24.json
