A_miss,B_miss,C_A_ms,C_B_ms,C_A_over_C_B,U_A_4_12_percent,U_B_4_12_percent,estimated_q_for_10_A
3302,2448,113.9663405997554,17.147176718561678,6.646361816309257,100.0,68.54601765863949,45.55816344264415
3302,2464,113.9663405997554,17.258299682419143,6.603567135634559,100.0,68.41144349683684,45.175955997703234
3302,2496,113.9663405997554,17.480545610134076,6.519610036295731,100.0,68.09036903848309,44.39226533583745
3302,2560,113.9663405997554,17.925037465563946,6.357941556256036,100.0,67.36152711111166,42.82806525126045
3310,2448,114.24210329677996,17.147176718561678,6.662443921343263,100.0,68.77625411960426,45.821793619191695
3330,2448,114.93151003934132,17.147176718561678,6.702649183928274,100.0,69.48300296725063,46.57201931353282
3370,2448,116.31032352446402,17.147176718561678,6.7830597090982945,100.0,71.09029634056645,48.22097248155543
3430,2448,118.3785437521481,17.147176718561678,6.903675496853328,100.0,72.26343736140196,49.8883321830306
3478,2448,120.03311993429537,17.147176718561678,7.000168127057355,100.0,71.40086761867695,49.9818077748504
3540,2448,122.1702808362356,17.147176718561678,7.124804441070889,100.0,69.95683731370323,49.84287851759465
