name,A_miss,B_miss,q,U_2_4,U_2_60,U_20_40,U_40_60,U_20_60,warm_all16_AB,pure_compute_min_s,any_mix_D_upper_GB_s
A3302_B2464_q45_periodic,3302,2464,45,89.49831977733943,97.52598231267928,97.56680682950538,97.5348428782073,97.55082485385634,True,96.78795893819238,39.830593139267144
A3310_B2448_q46_periodic,3310,2448,46,89.75446822812773,97.22467193383963,98.24378859272484,97.04243075150869,97.64310967211675,True,97.49664746238868,39.83448536228154
A3302_B2448_q45_periodic,3302,2448,45,89.60175778472866,97.45657668987346,98.36576063006703,97.59359150716747,97.97967606861725,True,96.53459858059735,39.83448536228154
A3430_B2448_q45_periodic,3430,2448,45,89.46572985502742,97.18443940630169,97.52262103700244,98.875690480945,98.19915575897372,True,98.75834896940326,39.83448536228154
A3330_B2448_q47_periodic,3330,2448,47,89.43078404208012,97.49473680699026,97.94689302010366,98.45407050506289,98.20048176258328,True,98.66717294313057,39.83448536228154
A3430_B2448_q47_periodic,3430,2448,47,89.46572985502742,97.70661133544053,99.48666907726931,97.9023656995626,98.69451738841595,True,100.4044779343852,39.83448536228154
A3302_B2448_q46_periodic,3302,2448,46,89.60175778472866,98.01029859692686,98.65049191402349,98.95278605604429,98.8016389850339,True,97.3576630630883,39.83448536228154
A3302_B2496_q44_periodic,3302,2496,44,89.52224477449707,98.51216975908453,98.30650850987941,99.40185821126117,98.85418336057029,True,96.45561346409598,39.830593139267144
A3430_B2448_q50_periodic,3430,2448,50,89.46572985502742,97.77695174805298,99.17342937669245,98.57454743112336,98.8739884039079,True,102.87367138185806,39.83448536228154
A3540_B2448_q50_periodic,3540,2448,50,88.58856799866686,97.72768070997452,98.84004707999836,98.92704282608219,98.88354495304026,True,104.78470687223817,39.83448536228154
A3370_B2448_q48_periodic,3370,2448,48,89.52920783876921,98.40272547172087,99.40709322577781,98.4141670425034,98.9106301341406,True,100.18515942212336,39.83448536228154
A3478_B2448_q50_periodic,3478,2448,50,89.23221750723516,97.89602248539924,98.8112207148809,99.21535693345525,99.01328882416809,True,103.70757777766029,39.83448536228154
A3302_B2560_q43_periodic,3302,2560,43,88.72347957582906,98.46616516900252,99.549884516116,98.57073273576665,99.06030862594133,True,96.58731748706838,39.830593139267144
A3430_B2448_q46_periodic,3430,2448,46,89.46572985502742,97.9587138320675,99.58780682658941,98.57273994484575,99.08027338571758,True,99.58141345189424,39.83448536228154
A3430_B2448_q44_periodic,3430,2448,44,89.46572985502742,98.0670319280726,99.23710491460035,99.04219474645673,99.13964983052854,True,97.93528448691231,39.83448536228154
