seed,order,strategy,label,status,path,file_sha256,error,audit_passed,main_window_valid,full_run_nominal_capacity_satisfied,all_study_conditions_met,input_fingerprint,device_utilization_percent,makespan_ms,warm_count,warm_completion_after_4000ms_count,warm_admission_passed,warm_admission_slo_percent,warm_arrival_passed,warm_arrival_slo_percent,warm_short_count,warm_short_admission_passed,warm_short_admission_slo_percent,warm_short_arrival_passed,warm_short_arrival_slo_percent,warm_long_count,warm_long_admission_passed,warm_long_admission_slo_percent,warm_long_arrival_passed,warm_long_arrival_slo_percent,warm_arrivals_count,warm_arrivals_completion_after_4000ms_count,warm_arrivals_admission_passed,warm_arrivals_admission_slo_percent,warm_arrivals_arrival_passed,warm_arrivals_arrival_slo_percent,warm_arrivals_short_count,warm_arrivals_short_admission_passed,warm_arrivals_short_admission_slo_percent,warm_arrivals_short_arrival_passed,warm_arrivals_short_arrival_slo_percent,warm_arrivals_long_count,warm_arrivals_long_admission_passed,warm_arrivals_long_admission_slo_percent,warm_arrivals_long_arrival_passed,warm_arrivals_long_arrival_slo_percent,full_count,full_completion_after_4000ms_count,full_admission_passed,full_admission_slo_percent,full_arrival_passed,full_arrival_slo_percent,full_short_count,full_short_admission_passed,full_short_admission_slo_percent,full_short_arrival_passed,full_short_arrival_slo_percent,full_long_count,full_long_admission_passed,full_long_admission_slo_percent,full_long_arrival_passed,full_long_arrival_slo_percent,nominal_full_max_ssu_gib_s,nominal_full_any_ssu_over_capacity_ms,nominal_full_max_npu_link_gib_s,max_fourth_completion_ms,all_32_active_whole_window,each_npu_has_short_and_long_compute,min_per_npu_short_compute_ms,min_per_npu_long_compute_ms
43,ordered,baseline,concurrency_l768_seed43__exact_cohort4_p1,complete,runs/concurrency_l768_seed43__exact_cohort4_p1/baseline/concurrency_l768_seed43__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,834f8667e63d4133dcaa87f4410781229a2acfca13c9522bea7d634a976b7095,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,85.51168053550062,5992.60887030334,6614,32,5381,81.35772603568189,0,0.0,6526,5293,81.10634385534784,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,6422,15512,79.72861842105263,8,0.041118421052631575,19200,15256,79.45833333333333,0,0.0,256,256,100.0,8,3.125,34.105709988622074,0.0,10.026627010029689,245.6786091287597,True,True,1098.894540808215,453.21768069872905
43,ordered,once,concurrency_l768_seed43__exact_cohort4_p1,complete,runs/concurrency_l768_seed43__exact_cohort4_p1/once/concurrency_l768_seed43__exact_cohort4_p1_6dd2d87260e7_once_dc98615fa8.json.gz,652184e3b474cf268773251da9c0a0ec5e5ead20e644cc3248f54791dfb367ed,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,98.50978699188103,5146.06752145349,7631,32,7590,99.462717861355,0,0.0,7534,7493,99.45580037164852,0,0.0,97,97,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,4237,19388,99.65049342105263,32,0.1644736842105263,19200,19132,99.64583333333333,24,0.125,256,256,100.0,8,3.125,33.501990496027275,0.0,10.026627010029689,233.10704401853016,True,True,1274.7654917474392,614.6962554765269
67,random,baseline,concurrency_l768_seed67,complete,runs/concurrency_l768_seed67/baseline/concurrency_l768_seed67_6744749626ca_baseline_104671470b.json.gz,38d044e95509ec9acf29c951655160cb6879df68964c656715f444b24ffc991f,,True,True,True,True,6744749626ca459fb4c1bd9ea046146577d3f2eb0e70493075bb9e456d47850f,91.47692167005923,5546.16461916371,6850,32,6398,93.4014598540146,0,0.0,6749,6297,93.30271151281671,0,0.0,101,101,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,5224,18444,94.7985197368421,40,0.20559210526315788,19200,18188,94.72916666666666,32,0.16666666666666669,256,256,100.0,8,3.125,32.39371532103448,0.0,10.026627010029689,232.23832847169234,True,True,700.1844800477811,204.89875182550895
67,random,once,concurrency_l768_seed67,complete,runs/concurrency_l768_seed67/once/concurrency_l768_seed67_6744749626ca_once_dc98615fa8.json.gz,6ce8013597de0f3f5e19c10b5210abe8fc6050bb23f00ecda754fdf8e433692f,,True,True,True,True,6744749626ca459fb4c1bd9ea046146577d3f2eb0e70493075bb9e456d47850f,98.73930117404882,5123.615154626291,7250,32,7242,99.8896551724138,0,0.0,7137,7129,99.8879080846294,0,0.0,113,113,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,4384,19413,99.7789884868421,40,0.20559210526315788,19200,19157,99.77604166666667,32,0.16666666666666669,256,256,100.0,8,3.125,34.25558393493626,0.0,10.026627010029689,227.70013715002372,True,True,789.0154601878173,204.89875182550895
67,ordered,baseline,concurrency_l768_seed67__exact_cohort4_p1,complete,runs/concurrency_l768_seed67__exact_cohort4_p1/baseline/concurrency_l768_seed67__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,ee9246452ce16a3f164b2fce78df278e82233961d3bdde7bf22b397e6c0882c5,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,84.37069301940336,6056.289940022492,6510,32,5361,82.35023041474653,0,0.0,6422,5273,82.10837745250701,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,6516,15365,78.97306743421053,8,0.041118421052631575,19200,15109,78.69270833333334,0,0.0,256,256,100.0,8,3.125,34.368383943242115,0.0,10.026627010029689,245.69455456333,True,True,1075.4403946449709,418.2502715123387
67,ordered,once,concurrency_l768_seed67__exact_cohort4_p1,complete,runs/concurrency_l768_seed67__exact_cohort4_p1/once/concurrency_l768_seed67__exact_cohort4_p1_6dd2d87260e7_once_dc98615fa8.json.gz,cdf11fd3754d1166cea3dc8fb6ecba83a867d31361043c7c36382c678e31efad,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,98.76257239704057,5137.693183801399,7658,32,7652,99.92165056150431,0,0.0,7562,7556,99.92065591113463,0,0.0,96,96,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,4247,19384,99.62993421052632,32,0.1644736842105263,19200,19128,99.625,24,0.125,256,256,100.0,8,3.125,33.44787161143264,0.0,10.026627010029689,232.59930781247547,True,True,1274.7654917474392,614.6962554765269
101,random,baseline,concurrency_l768_seed101,complete,runs/concurrency_l768_seed101/baseline/concurrency_l768_seed101_9a779ca6b58c_baseline_104671470b.json.gz,aaafabec5347a7c16a4c539e30646c4a720e76da7c65a1d66ce0d6c820576e54,,True,True,True,True,9a779ca6b58c1b1e9cd3727153845b38e6d3b3adc2bf367a74a8009c9afefbbb,92.80939850286691,5483.801266469915,7133,32,6836,95.83625403056217,0,0.0,7038,6741,95.78005115089513,0,0.0,95,95,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,5146,18616,95.68256578947368,37,0.19017269736842105,19200,18360,95.625,32,0.16666666666666669,256,256,100.0,5,1.953125,30.14991100324196,0.0,10.026627010029689,228.81581900107435,True,True,869.6077432366601,238.1929148470888
101,random,once,concurrency_l768_seed101,complete,runs/concurrency_l768_seed101/once/concurrency_l768_seed101_9a779ca6b58c_once_dc98615fa8.json.gz,6dafd0d84d14470b8e9ebfb18772b1d96202a4a185c402aea4b88bc4c79686bc,,True,True,True,True,9a779ca6b58c1b1e9cd3727153845b38e6d3b3adc2bf367a74a8009c9afefbbb,98.56872344125607,5126.002674216028,7611,32,7578,99.5664170279858,0,0.0,7511,7478,99.56064438823059,0,0.0,100,100,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,4269,19383,99.62479440789474,37,0.19017269736842105,19200,19127,99.61979166666667,32,0.16666666666666669,256,256,100.0,5,1.953125,31.75366790164028,0.0,10.026627010029689,227.5409828043206,True,True,759.3441731081828,204.89875182550895
101,ordered,baseline,concurrency_l768_seed101__exact_cohort4_p1,complete,runs/concurrency_l768_seed101__exact_cohort4_p1/baseline/concurrency_l768_seed101__exact_cohort4_p1_6dd2d87260e7_baseline_104671470b.json.gz,bd6404c16830a6f5e48bb38530f74fe16bf0ec3c1f21f9468105796f70c832b5,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,87.30957690289014,5965.554892577721,6711,32,5703,84.97988377291014,0,0.0,6623,5615,84.78031103729428,0,0.0,88,88,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,6423,15830,81.36307565789474,8,0.041118421052631575,19200,15574,81.11458333333333,0,0.0,256,256,100.0,8,3.125,34.21394775781135,0.0,10.026627010029689,245.68458376254875,True,True,1106.0272824235428,467.2248757837083
101,ordered,once,concurrency_l768_seed101__exact_cohort4_p1,complete,runs/concurrency_l768_seed101__exact_cohort4_p1/once/concurrency_l768_seed101__exact_cohort4_p1_6dd2d87260e7_once_dc98615fa8.json.gz,fd1c4e4ac495654805c9b3893abf517907b89693e4f71f2bb1eba54bd2ea51f2,,True,True,True,True,6dd2d87260e70579fdc68f768bd715507c436ca2ab8ee263e2671ff5099cacb0,98.91452108092781,5139.027726657928,7667,32,7666,99.98695708882222,0,0.0,7568,7567,99.98678646934461,0,0.0,99,99,100.0,0,0.0,0,0,0,,0,,0,0,,0,,0,0,,0,,19456,4215,19431,99.87150493421053,32,0.1644736842105263,19200,19175,99.86979166666666,24,0.125,256,256,100.0,8,3.125,33.76581794128665,0.0,10.026627010029689,232.9496992829149,True,True,1274.7654917474392,614.6962554765269
