group,strategy,category,count,SLO_full_1p5_percent,p50,p95,p99,maximum
XY12_32,asu_baseline,all,1248,100.0,1.000000000000001,1.0655018360186097,1.1647311163764442,1.3815725972970176
XY12_32,asu_baseline,A,96,100.0,1.0000000000000036,1.0124445029772624,1.0185231694623345,1.0185231694623345
XY12_32,asu_baseline,B,1152,100.0,1.000000000000001,1.0729485421896616,1.1647311163764442,1.3815725972970176
XY12_32,od_baseline,all,1248,100.0,0.9999999999999957,1.0055957779683127,1.1073810283822954,1.1075201030733415
XY12_32,od_baseline,A,96,100.0,1.0043599946740918,1.030996629006836,1.03729654659038,1.03729654659038
XY12_32,od_baseline,B,1152,100.0,0.9999999999999624,1.0000000000000067,1.1074157970550569,1.1075201030733415
XY12_32,once,all,1248,100.0,0.9999999999999957,1.0065444117388809,1.2059378423840956,1.263425911202278
XY12_32,once,A,96,100.0,1.0012656501077748,1.0149083170322963,1.0254962493458553,1.0254962493458553
XY12_32,once,B,1152,100.0,0.9999999999999624,1.0000000000000067,1.2299913252919386,1.263425911202278
XY12_24,asu_baseline,all,1560,100.0,1.0008921371286625,1.1878943411652407,1.3303615474807078,1.4753144839711727
XY12_24,asu_baseline,A,120,100.0,1.0000000000000009,1.013314388717326,1.0175869176406775,1.0192498993713637
XY12_24,asu_baseline,B,1440,100.0,1.002535331870752,1.1977379247153541,1.3377193745319766,1.4753144839711727
XY12_24,od_baseline,all,1560,100.0,1.0000000000000053,1.0156710988683064,1.1073312650865754,1.1075711800868981
XY12_24,od_baseline,A,120,100.0,1.0138260069832281,1.0398016230759146,1.047499601699183,1.0475057690681893
XY12_24,od_baseline,B,1440,100.0,1.0000000000000053,1.0000000000000053,1.1073312650865754,1.1075711800868981
XY12_24,once,all,1560,100.0,1.0000000000000053,1.059186839094103,1.1918275938749574,1.3776741866788134
XY12_24,once,A,120,100.0,1.007958603672355,1.0272721017588877,1.0334419116515237,1.0397779202219224
XY12_24,once,B,1440,100.0,1.0000000000000053,1.0702209474312725,1.2028035264475423,1.3776741866788134
XY12_20,asu_baseline,all,1560,99.1025641025641,1.0300231296050948,1.3420603589672022,1.4970181123324293,1.7697191512693828
XY12_20,asu_baseline,A,120,100.0,1.0035421751183158,1.0196374550606877,1.027983549467889,1.0283202737003427
XY12_20,asu_baseline,B,1440,99.02777777777779,1.0363844167873022,1.3524883329759168,1.4979663023561678,1.7697191512693828
XY12_20,od_baseline,all,1560,100.0,0.9999999999999928,1.0256445306694888,1.1074008692784574,1.1075545313809165
XY12_20,od_baseline,A,120,100.0,1.024078681954604,1.0508472971258798,1.0596566842232025,1.0613447225822774
XY12_20,od_baseline,B,1440,100.0,0.9999999999999928,1.0000000000000289,1.1074008692784574,1.1075545313809165
XY12_20,once,all,1560,100.0,1.0000000000000289,1.0839323349272858,1.241105330780401,1.4522525021182333
XY12_20,once,A,120,100.0,1.0143547714625452,1.035498932258181,1.0442735676541437,1.0752877522031452
XY12_20,once,B,1440,100.0,1.0000000000000018,1.0894942512368473,1.2426196737520268,1.4522525021182333
XY12_16,asu_baseline,all,1872,93.42948717948718,1.140015539636768,1.5285750254781951,1.88621232766475,2.3744682889750055
XY12_16,asu_baseline,A,144,100.0,1.0063883819824537,1.029481769015951,1.037652492100276,1.0503157699461514
XY12_16,asu_baseline,B,1728,92.88194444444444,1.1574381363943698,1.557523420289472,1.88621232766475,2.3744682889750055
