group,strategy,category,count,SLO_full_1p5_percent,p50,p95,p99,maximum
XY12_16,od_baseline,all,1872,100.0,0.9999999999999971,1.0465677490515037,1.1073537131121889,1.1075122207683303
XY12_16,od_baseline,A,144,100.0,1.0465677490515037,1.075148784464304,1.083729000747721,1.0848932909329174
XY12_16,od_baseline,B,1728,100.0,0.9999999999999971,1.0000000000000882,1.1073801310548792,1.1075122207683303
XY12_16,once,all,1872,99.67948717948718,1.0000000000000882,1.125541658967541,1.2893550527084308,1.6286923357511967
XY12_16,once,A,144,100.0,1.0284675795878158,1.0622628746760667,1.0905387625258443,1.1024712774331251
XY12_16,once,B,1728,99.65277777777779,1.0000000000000882,1.1287253371517691,1.3032695465733308,1.6286923357511967
X16,asu_baseline,all,1872,95.88675213675214,1.1043963473856235,1.465051904128956,1.7293963473846092,1.9781450252624977
X16,asu_baseline,A,144,100.0,1.0037882642580251,1.019241115951185,1.0309028310746193,1.0318521142172197
X16,asu_baseline,B,1728,95.54398148148148,1.1243947668509087,1.4707891023318753,1.73487887660181,1.9781450252624977
X16,od_baseline,all,1872,100.0,0.9999999999999971,1.024544005309891,1.1073537131121889,1.1075122207683303
X16,od_baseline,A,144,100.0,1.024544005309891,1.0577259190362678,1.0614325844760455,1.0635976011202013
X16,od_baseline,B,1728,100.0,0.9999999999999971,1.0000000000000882,1.1073801310548792,1.1075122207683303
X16,once,all,1872,99.73290598290599,1.0000000000000882,1.1096260813498204,1.2967968530688005,1.5294423781565705
X16,once,A,144,100.0,1.0183937398668972,1.0531214712450423,1.0696440267058287,1.0736947138099702
X16,once,B,1728,99.71064814814815,1.0000000000000882,1.1194211135482661,1.3078407312568316,1.5294423781565705
sensitivity20k_076,asu_baseline,all,392,98.72448979591837,1.07166371538596,1.349717585913745,1.5171539894756063,1.6046341496256478
sensitivity20k_076,asu_baseline,A,56,100.0,1.0019526317085343,1.0173450204823196,1.0196394591977596,1.0196394591977596
sensitivity20k_076,asu_baseline,B,336,98.51190476190477,1.105476060850282,1.38874417324424,1.5171539894756063,1.6046341496256478
sensitivity20k_076,od_baseline,all,392,100.0,1.0,1.0384935238571047,1.1090192987544707,1.110204297923628
sensitivity20k_076,od_baseline,A,56,100.0,1.0169378228423456,1.0540632060230228,1.058604816965525,1.058604816965525
sensitivity20k_076,od_baseline,B,336,100.0,1.0,1.0,1.1090192987544707,1.110204297923628
sensitivity20k_076,once,all,392,100.0,1.0,1.0325714713395628,1.4246384791689723,1.4569060002542105
sensitivity20k_076,once,A,56,100.0,1.0093148664699574,1.0320671810872872,1.0497821219184476,1.0497821219184476
sensitivity20k_076,once,B,336,100.0,1.0,1.0411737417696971,1.4246384791689723,1.4569060002542105
