group,seed,strategy,U_warm_percent,U_full_percent,SLO_full_1p5_percent,SLO_full_1p5_passed,SLO_full_count,SLO_warm_1p5_percent,SLO_warm_1p5_passed,SLO_warm_count,U_A_warm_percent,U_B_warm_percent,capacity,input_fingerprint
XY12_20,43,once,98.28019590231636,97.67490345989765,100.0,520,520,100.0,150,150,97.66497857784326,99.10611143397003,40 GB/s (decimal),39dfc30dcde49008d37d1c37b83451caa00095e0a69cd205cd6b0e8a5da623e1
XY12_16,7,asu_baseline,91.05022476872121,89.10830472492025,94.07051282051282,587,624,96.13526570048309,199,207,99.32389309090524,84.74309512446564,40 GB/s (decimal),1cb9369e6a25335464400bc0b7800416d004d4399d339f0f0a1c06d3d9308985
XY12_16,7,od_baseline,98.29602029633509,97.13868992675046,100.0,624,624,100.0,236,236,96.22778241036791,100.0,40 GB/s (decimal),1cb9369e6a25335464400bc0b7800416d004d4399d339f0f0a1c06d3d9308985
XY12_16,7,once,97.66237538163838,97.03104823770838,99.83974358974359,623,624,100.0,233,233,97.61253004405457,97.70236059707184,40 GB/s (decimal),1cb9369e6a25335464400bc0b7800416d004d4399d339f0f0a1c06d3d9308985
XY12_16,19,asu_baseline,91.0313794717702,89.65868697108591,91.98717948717949,574,624,96.56862745098039,197,204,99.2778962344853,84.50868719225866,40 GB/s (decimal),0d0a8908c435afdd56778e68c69c70529570d92517a6a883fe337805591a0c6d
XY12_16,19,od_baseline,98.12492404323007,97.04580883169601,100.0,624,624,100.0,210,210,96.34644534447044,100.0,40 GB/s (decimal),0d0a8908c435afdd56778e68c69c70529570d92517a6a883fe337805591a0c6d
XY12_16,19,once,97.39933454916513,96.59348738724215,99.51923076923077,621,624,100.0,210,210,97.16857334487327,97.62933399685267,40 GB/s (decimal),0d0a8908c435afdd56778e68c69c70529570d92517a6a883fe337805591a0c6d
XY12_16,43,asu_baseline,90.40609350729274,89.72271254824255,94.23076923076923,588,624,91.89189189189189,170,185,99.07879160739719,82.17556301131543,40 GB/s (decimal),5975e2cff919a91d48cc460b3b16b94d4ad5487d07894c201d3f7d042e18e83c
XY12_16,43,od_baseline,97.73024251311766,97.20299661950142,100.0,624,624,100.0,193,193,95.95104659986492,100.0,40 GB/s (decimal),5975e2cff919a91d48cc460b3b16b94d4ad5487d07894c201d3f7d042e18e83c
XY12_16,43,once,98.00528763240995,96.84175306601821,99.67948717948718,622,624,100.0,194,194,97.24299074777124,98.96126449689115,40 GB/s (decimal),5975e2cff919a91d48cc460b3b16b94d4ad5487d07894c201d3f7d042e18e83c
X16,7,asu_baseline,93.26040435110946,92.43650478008793,96.7948717948718,604,624,96.82539682539682,183,189,99.1005283603549,87.33661980024837,40 GB/s (decimal),da985bf712227edc738c064f07f77b4aad4b4146c8a2393b8e6db3e1ee1ec6aa
X16,7,od_baseline,98.9252115281286,97.91658081610196,100.0,624,624,100.0,207,207,97.94905346834456,100.0,40 GB/s (decimal),da985bf712227edc738c064f07f77b4aad4b4146c8a2393b8e6db3e1ee1ec6aa
X16,7,once,98.634559740449,97.97841858154925,99.83974358974359,623,624,100.0,204,204,98.17984535716751,99.13109289539194,40 GB/s (decimal),da985bf712227edc738c064f07f77b4aad4b4146c8a2393b8e6db3e1ee1ec6aa
X16,19,asu_baseline,92.47295436457806,91.26393402022286,94.07051282051282,587,624,92.81767955801105,168,181,99.49409453439887,85.25640719287784,40 GB/s (decimal),a5827b7b4720f2b02a4a74804fae7d3556872aae0959f6cd796ecab369cdcf0d
X16,19,od_baseline,98.74856408947358,97.88777357392001,100.0,624,624,100.0,191,191,97.75426393941947,100.0,40 GB/s (decimal),a5827b7b4720f2b02a4a74804fae7d3556872aae0959f6cd796ecab369cdcf0d
X16,19,once,97.66692159385875,96.4934147756343,99.67948717948718,622,624,100.0,192,192,97.68332577089784,97.64699918272741,40 GB/s (decimal),a5827b7b4720f2b02a4a74804fae7d3556872aae0959f6cd796ecab369cdcf0d
X16,43,asu_baseline,91.93401684544257,91.1712215157298,96.7948717948718,604,624,95.75757575757575,158,165,99.43867393737202,82.9731437273919,40 GB/s (decimal),51dbf299d9ca8b3643ad6c2d86770176ea8837c40af2819b4f1e178d8c1b3a76
X16,43,od_baseline,98.63835130059485,97.8935104558373,100.0,624,624,100.0,174,174,97.73042939964895,100.0,40 GB/s (decimal),51dbf299d9ca8b3643ad6c2d86770176ea8837c40af2819b4f1e178d8c1b3a76
X16,43,once,98.67431794764772,97.16373660250834,99.67948717948718,622,624,100.0,173,173,98.28450529557009,99.26761652912953,40 GB/s (decimal),51dbf299d9ca8b3643ad6c2d86770176ea8837c40af2819b4f1e178d8c1b3a76
sensitivity20k_076,7,asu_baseline,94.61473519238639,94.7616931950709,98.72448979591837,387,392,98.4375,126,128,99.44637933832449,86.70218765886248,40 GiB/s,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076,7,od_baseline,98.57985774851211,97.96892395958525,100.0,392,392,100.0,137,137,97.8260178004113,100.00000000000001,40 GiB/s,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
sensitivity20k_076,7,once,99.25667980495008,98.37062524585355,100.0,392,392,100.0,137,137,98.94653219483115,99.8374518217091,40 GiB/s,be0c836adce2d3435fd82ca2edf1d803d96437e079a203eaf4f9a8be0b85eca2
