npu,request_id,next_request_id,role,compute_layer,read_layer,start_ms,end_ms,D_ms,C_ms,deadline_ms,clipped_start_ms,clipped_end_ms,window_ms,actual_window_compute_ms,group,same_request,complete_cycle,V_GiB,B_GiB_s,mean_b_GiB_s,r
0,10,10,B,5,6,1983.6192814688695,2012.2121234647502,28.59284199588069,28.59284199588069,2012.2121234647502,2000.0,2012.2121234647502,12.21212346475022,12.21212346475022,gray,True,False,0.03759765625,1.3149324665039108,,
0,10,10,B,6,7,2012.2121234647502,2040.804965460631,28.59284199588069,28.59284199588069,2040.804965460631,2012.2121234647502,2040.804965460631,28.59284199588069,28.59284199588069,B,True,True,0.03759765625,1.3149324665039108,1.3149324665039108,1.0
0,10,10,B,7,8,2040.804965460631,2069.3978074565116,28.59284199588069,28.59284199588069,2069.3978074565116,2040.804965460631,2069.3978074565116,28.59284199588069,28.59284199588069,B,True,True,0.03759765625,1.3149324665039108,1.3149324665039108,1.0
0,10,11,B,8,1,2069.3978074565116,2097.9906494523925,28.592841995880917,28.592841995880917,2097.9906494523925,2069.3978074565116,2097.9906494523925,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
0,11,11,A,1,2,2097.9906494523925,2112.8169442470653,14.826294794672776,6.024011548588987,2104.0146610009815,2097.9906494523925,2112.8169442470653,14.826294794672776,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,11.569937669272612,0.4063059336142075
0,11,11,A,2,3,2112.8169442470653,2128.329334383784,15.51239013671875,6.024011548588987,2118.8409557956543,2112.8169442470653,2128.329334383784,15.51239013671875,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,11.058212508115126,0.3883354850861953
0,11,11,A,3,4,2128.329334383784,2144.633960848628,16.30462646484375,6.024011548588987,2134.353345932373,2128.329334383784,2144.633960848628,16.30462646484375,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,10.520897673460984,0.3694663941905103
0,11,11,A,4,5,2144.633960848628,2157.734394198237,13.100433349609375,6.024011548588987,2150.657972397217,2144.633960848628,2157.734394198237,13.100433349609375,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,13.094170403587444,0.45983299848387155
0,11,11,A,5,6,2157.734394198237,2170.0669289882762,12.332534790039062,6.024011548588987,2163.758405746826,2157.734394198237,2170.0669289882762,12.332534790039062,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,13.90949302483838,0.48846499532720206
0,11,11,A,6,7,2170.0669289882762,2181.7784310634715,11.711502075195312,6.024011548588987,2176.090940536865,2170.0669289882762,2181.7784310634715,11.711502075195312,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,14.647079899677536,0.514367116182962
0,11,11,A,7,8,2181.7784310634715,2196.655521517573,14.877090454101562,6.024011548588987,2187.8024426120605,2181.7784310634715,2196.655521517573,14.877090454101562,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,11.530433801545664,0.40491866115717456
0,11,12,A,8,1,2196.655521517573,2203.4541512783153,6.7986297607421875,6.024011548588987,2202.679533066162,2196.655521517573,2203.4541512783153,6.7986297607421875,6.024011548588987,gray,False,True,0.171539306640625,28.475925926935663,,
0,12,12,B,1,2,2203.4541512783153,2232.046993274196,28.592841995880917,28.592841995880917,2232.046993274196,2203.4541512783153,2232.046993274196,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,2,3,2232.046993274196,2260.639835270077,28.592841995880917,28.592841995880917,2260.639835270077,2232.046993274196,2260.639835270077,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,3,4,2260.639835270077,2289.232677265958,28.592841995880917,28.592841995880917,2289.232677265958,2260.639835270077,2289.232677265958,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,4,5,2289.232677265958,2317.825519261839,28.592841995880917,28.592841995880917,2317.825519261839,2289.232677265958,2317.825519261839,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,5,6,2317.825519261839,2346.41836125772,28.592841995880917,28.592841995880917,2346.41836125772,2317.825519261839,2346.41836125772,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,6,7,2346.41836125772,2375.011203253601,28.592841995880917,28.592841995880917,2375.011203253601,2346.41836125772,2375.011203253601,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,12,B,7,8,2375.011203253601,2403.6040452494817,28.592841995880917,28.592841995880917,2403.6040452494817,2375.011203253601,2403.6040452494817,28.592841995880917,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0
0,12,13,B,8,1,2403.6040452494817,2432.1968872453626,28.592841995880917,28.592841995880917,2432.1968872453626,2403.6040452494817,2432.1968872453626,28.592841995880917,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,
0,13,13,A,1,2,2432.1968872453626,2441.559065889665,9.362178644302276,6.024011548588987,2438.2208987939516,2432.1968872453626,2441.559065889665,9.362178644302276,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,18.32258421441488,0.6434412093017621
0,13,13,A,2,3,2441.559065889665,2451.9746915976725,10.41562570800761,6.024011548588987,2447.583077438254,2441.559065889665,2451.9746915976725,10.41562570800761,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,16.46941926002048,0.5783629056445146
0,13,13,A,3,4,2451.9746915976725,2460.9964506308756,9.021759033203125,6.024011548588987,2457.9987031462615,2451.9746915976725,2460.9964506308756,9.021759033203125,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,19.013953488372092,0.667720288961231
0,13,13,A,4,5,2460.9964506308756,2470.6509916465006,9.654541015625,6.024011548588987,2467.0204621794646,2460.9964506308756,2470.6509916465006,9.654541015625,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,17.767732962447845,0.6239562853210392
0,13,13,A,5,6,2470.6509916465006,2480.131811348649,9.480819702148438,6.024011548588987,2476.6750031950896,2470.6509916465006,2480.131811348649,9.480819702148438,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,18.093299105957335,0.6353893163081556
0,13,13,A,6,7,2480.131811348649,2488.842214791032,8.710403442382812,6.024011548588987,2486.155822897238,2480.131811348649,2488.842214791032,8.710403442382812,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,19.69361210135851,0.6915881208529948
0,13,13,A,7,8,2488.842214791032,2502.156652657243,13.314437866210938,6.024011548588987,2494.866226339621,2488.842214791032,2502.156652657243,13.314437866210938,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,12.883706271667192,0.45244204893370527
