label,family,seed,strategy,policy_strategy,assignment,input_fingerprint,status,path,sha256,every_core_and_policy_hash_matches_current_frozen_source,stress_runner_sha256,submit_seed,makespan_ms,reassigned_request_count,assigned_ideal_compute_ms_by_npu,assigned_mean_hottest_ssu_rho,assigned_mean_largest_link_rho,execution_input_fingerprint,policy_config,input_and_execution_placement_fingerprint,fleet_full_run_utilization
raw_strict_ss_rho095_seed7,raw,7,baseline,baseline,fixed,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,complete,results/baseline_npu32_investigation/mixed_strict_ss/local/runs/raw_strict_ss_rho095_seed7/baseline/raw_strict_ss_rho095_seed7_a996716d5cab_baseline_ffe76c7072.json.gz,e1e92c7fc72edd08c8effc5d81bbe265e2469b66bf8d42641f65ef42185c6faa,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,7519.959645329614,0,"[6948.737278241645, 6948.737278241648, 6948.737278241642, 6948.737278241649, 6948.73727824164, 6948.7372782416405, 6948.737278241645, 6948.737278241646, 6948.737278241646, 6948.737278241639, 6948.737278241646, 6948.737278241646, 6948.737278241643, 6948.737278241643, 6948.737278241648, 6948.737278241648, 6948.737278241645, 6948.737278241641, 6948.737278241647, 6948.737278241643, 6948.737278241647, 6948.737278241641, 6948.737278241643, 6948.737278241644, 6948.737278241643, 6948.737278241642, 6948.737278241644, 6948.737278241645, 6948.737278241643, 6948.737278241646, 6948.737278241646, 6948.737278241646]",0.9518998471616961,0.1903799694323393,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",0a26c64f3485da76f99c10a9200ef761f468a917d9794622dab85dafbd0a35b9,0.924039171215144
raw_strict_ss_rho095_seed7,raw,7,once,once,fixed,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,complete,results/baseline_npu32_investigation/mixed_strict_ss/local/runs/raw_strict_ss_rho095_seed7/once/raw_strict_ss_rho095_seed7_a996716d5cab_once_d8f13cde8c.json.gz,690bd5a3d880345d24913e8fa7668a46ae13573c8f8b3ff8a43dda358be9def8,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,7434.959461368764,0,"[6948.737278241645, 6948.737278241648, 6948.737278241642, 6948.737278241649, 6948.73727824164, 6948.7372782416405, 6948.737278241645, 6948.737278241646, 6948.737278241646, 6948.737278241639, 6948.737278241646, 6948.737278241646, 6948.737278241643, 6948.737278241643, 6948.737278241648, 6948.737278241648, 6948.737278241645, 6948.737278241641, 6948.737278241647, 6948.737278241643, 6948.737278241647, 6948.737278241641, 6948.737278241643, 6948.737278241644, 6948.737278241643, 6948.737278241642, 6948.737278241644, 6948.737278241645, 6948.737278241643, 6948.737278241646, 6948.737278241646, 6948.737278241646]",0.9518998471616961,0.1903799694323393,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",0a26c64f3485da76f99c10a9200ef761f468a917d9794622dab85dafbd0a35b9,0.9346032502727936
raw_strict_ss_rho095_seed7,raw,7,new_once,new_once,fixed,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,complete,results/baseline_npu32_investigation/mixed_strict_ss/local/runs/raw_strict_ss_rho095_seed7/new_once/raw_strict_ss_rho095_seed7_a996716d5cab_new_once_d6233f2cac.json.gz,415758ab05f7947f5c4b83815292c74efced42fa5ee02647cf6dd82097498988,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,7461.439927539369,0,"[6948.737278241645, 6948.737278241648, 6948.737278241642, 6948.737278241649, 6948.73727824164, 6948.7372782416405, 6948.737278241645, 6948.737278241646, 6948.737278241646, 6948.737278241639, 6948.737278241646, 6948.737278241646, 6948.737278241643, 6948.737278241643, 6948.737278241648, 6948.737278241648, 6948.737278241645, 6948.737278241641, 6948.737278241647, 6948.737278241643, 6948.737278241647, 6948.737278241641, 6948.737278241643, 6948.737278241644, 6948.737278241643, 6948.737278241642, 6948.737278241644, 6948.737278241645, 6948.737278241643, 6948.737278241646, 6948.737278241646, 6948.737278241646]",0.9518998471616961,0.1903799694323393,a996716d5cabcf348b80efbd2187876e4c93c38ccff60c62949724cf6009f8f0,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",0a26c64f3485da76f99c10a9200ef761f468a917d9794622dab85dafbd0a35b9,0.9312863664015663
raw_strict_ss_rho095_seed123,raw,123,baseline,baseline,fixed,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,complete,results/baseline_npu32_investigation/mixed_strict_ss/remote/runs/raw_strict_ss_rho095_seed123/baseline/raw_strict_ss_rho095_seed123_366bb03e8b6c_baseline_ffe76c7072.json.gz,803a337de553ed187d4d8ef75a65b3c3b1004458e2475072f86c85bdd1ceae6d,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,123,7613.859547355807,0,"[6948.737278241645, 6948.737278241647, 6948.737278241645, 6948.737278241646, 6948.737278241645, 6948.737278241643, 6948.737278241644, 6948.737278241645, 6948.737278241644, 6948.73727824165, 6948.737278241643, 6948.737278241648, 6948.737278241649, 6948.737278241644, 6948.737278241643, 6948.737278241644, 6948.737278241642, 6948.737278241646, 6948.737278241641, 6948.737278241643, 6948.737278241642, 6948.737278241643, 6948.737278241649, 6948.737278241647, 6948.737278241646, 6948.737278241645, 6948.737278241644, 6948.737278241647, 6948.737278241649, 6948.7372782416405, 6948.737278241649, 6948.737278241642]",0.9518998471616957,0.1903799694323393,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",b9c7b8938eeedf0f799f8ac0a589c60002026aabe543fcef241f264ca9941d68,0.912643217939962
raw_strict_ss_rho095_seed123,raw,123,once,once,fixed,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,complete,results/baseline_npu32_investigation/mixed_strict_ss/remote/runs/raw_strict_ss_rho095_seed123/once/raw_strict_ss_rho095_seed123_366bb03e8b6c_once_d8f13cde8c.json.gz,4fc111462d644fe7101249198165117db99b5809c47aa3bbbf61b911eb57eefe,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,123,7541.352772608075,0,"[6948.737278241645, 6948.737278241647, 6948.737278241645, 6948.737278241646, 6948.737278241645, 6948.737278241643, 6948.737278241644, 6948.737278241645, 6948.737278241644, 6948.73727824165, 6948.737278241643, 6948.737278241648, 6948.737278241649, 6948.737278241644, 6948.737278241643, 6948.737278241644, 6948.737278241642, 6948.737278241646, 6948.737278241641, 6948.737278241643, 6948.737278241642, 6948.737278241643, 6948.737278241649, 6948.737278241647, 6948.737278241646, 6948.737278241645, 6948.737278241644, 6948.737278241647, 6948.737278241649, 6948.7372782416405, 6948.737278241649, 6948.737278241642]",0.9518998471616957,0.1903799694323393,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",b9c7b8938eeedf0f799f8ac0a589c60002026aabe543fcef241f264ca9941d68,0.9214178792273339
raw_strict_ss_rho095_seed123,raw,123,new_once,new_once,fixed,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,complete,results/baseline_npu32_investigation/mixed_strict_ss/remote/runs/raw_strict_ss_rho095_seed123/new_once/raw_strict_ss_rho095_seed123_366bb03e8b6c_new_once_d6233f2cac.json.gz,a54e2590639d57423bb057affc93b86d105ed86bfa6e7f64c4a8dfd925965cec,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,123,7585.642333369534,0,"[6948.737278241645, 6948.737278241647, 6948.737278241645, 6948.737278241646, 6948.737278241645, 6948.737278241643, 6948.737278241644, 6948.737278241645, 6948.737278241644, 6948.73727824165, 6948.737278241643, 6948.737278241648, 6948.737278241649, 6948.737278241644, 6948.737278241643, 6948.737278241644, 6948.737278241642, 6948.737278241646, 6948.737278241641, 6948.737278241643, 6948.737278241642, 6948.737278241643, 6948.737278241649, 6948.737278241647, 6948.737278241646, 6948.737278241645, 6948.737278241644, 6948.737278241647, 6948.737278241649, 6948.7372782416405, 6948.737278241649, 6948.737278241642]",0.9518998471616957,0.1903799694323393,366bb03e8b6c4f34099e926377e68dee6d9bceedda1c218ba70722c59ef1a2c8,"{'assignment': 'pipeline', 'joint_rule': 'urgent_short', 'queue_window_ms': 1.0}",b9c7b8938eeedf0f799f8ac0a589c60002026aabe543fcef241f264ca9941d68,0.9160380852223868
