mode,strategy,start_ms,end_ms,U_percent,all_active
random,baseline,2000,4000,99.9804804905828,True
random,baseline,4000,6000,99.99233906546016,True
random,baseline,6000,8000,99.99562633270283,True
random,baseline,8000,10000,99.99657962134953,True
random,baseline,10000,12000,99.99894139347795,True
random,baseline,12000,14000,99.9986702015985,True
random,baseline,14000,16000,100.0,True
random,baseline,16000,18000,99.99761634215093,True
random,baseline,18000,20000,99.99908377986088,True
random,baseline,20000,22000,99.99371326592006,True
random,baseline,22000,24000,99.9986946331205,True
random,baseline,24000,26000,100.0,True
random,baseline,26000,28000,100.0,True
random,baseline,28000,30000,100.0,True
random,baseline,30000,32000,100.0,True
random,baseline,32000,34000,99.9990734841128,True
random,baseline,34000,36000,99.99836509879313,True
random,baseline,36000,38000,99.99742276262332,True
random,baseline,38000,40000,99.9953580737867,True
random,baseline,40000,42000,100.0,True
random,baseline,42000,44000,99.99968662847557,True
random,baseline,44000,46000,100.0,True
random,baseline,46000,48000,99.99988441752154,True
random,baseline,48000,50000,99.99968084658263,True
random,baseline,50000,52000,99.99864362940194,True
random,baseline,52000,54000,100.0,True
random,baseline,54000,56000,100.0,True
random,baseline,56000,58000,99.99963577746843,True
random,baseline,58000,60000,99.99865551154824,True
random,once,2000,4000,99.97354885455675,True
random,once,4000,6000,99.91356585926347,True
random,once,6000,8000,99.99880534249715,True
random,once,8000,10000,99.99803898568189,True
random,once,10000,12000,100.0,True
random,once,12000,14000,99.99146202532727,True
random,once,14000,16000,99.99912136902356,True
random,once,16000,18000,99.99769735198758,True
random,once,18000,20000,99.98532382002888,True
random,once,20000,22000,99.9892051536737,True
random,once,22000,24000,99.95374923402792,True
random,once,24000,26000,99.99296916479977,True
random,once,26000,28000,99.96496145086282,True
random,once,28000,30000,99.98777100282514,True
random,once,30000,32000,99.99171230578182,True
random,once,32000,34000,99.99578670722497,True
random,once,34000,36000,99.99880174007333,True
random,once,36000,38000,99.98968053151201,True
random,once,38000,40000,99.99081398940397,True
random,once,40000,42000,99.99789870740261,True
random,once,42000,44000,99.99499311322762,True
random,once,44000,46000,99.97799531113073,True
random,once,46000,48000,100.0,True
random,once,48000,50000,99.99916436759676,True
random,once,50000,52000,99.97033867545491,True
random,once,52000,54000,99.99696131797137,True
random,once,54000,56000,100.0,True
random,once,56000,58000,99.98011471199311,True
random,once,58000,60000,99.99864058704932,True
ordered,baseline,2000,4000,89.80437116045407,True
ordered,baseline,4000,6000,89.89143551851446,True
ordered,baseline,6000,8000,89.78010775572918,True
ordered,baseline,8000,10000,89.82278145286467,True
ordered,baseline,10000,12000,89.67401999796454,True
ordered,baseline,12000,14000,89.76764631620676,True
ordered,baseline,14000,16000,89.76816558918979,True
ordered,baseline,16000,18000,89.89706357918075,True
ordered,baseline,18000,20000,90.55577540820508,True
ordered,baseline,20000,22000,90.89787931102936,True
ordered,baseline,22000,24000,90.00472764971369,True
ordered,baseline,24000,26000,89.89759922584642,True
ordered,baseline,26000,28000,89.8818809299157,True
ordered,baseline,28000,30000,89.9397311507272,True
ordered,baseline,30000,32000,89.70571687707162,True
ordered,baseline,32000,34000,89.83220031037379,True
ordered,baseline,34000,36000,89.77276258387037,True
ordered,baseline,36000,38000,89.84659432265394,True
ordered,baseline,38000,40000,89.71727235326482,True
ordered,baseline,40000,42000,90.40244991698258,True
ordered,baseline,42000,44000,90.61686768709994,True
ordered,baseline,44000,46000,90.58853559562147,True
ordered,baseline,46000,48000,89.60982070358693,True
ordered,baseline,48000,50000,89.9877968630838,True
ordered,baseline,50000,52000,89.7009305542351,True
ordered,baseline,52000,54000,90.1009585170468,True
ordered,baseline,54000,56000,89.74070274133486,True
ordered,baseline,56000,58000,90.07645230060065,True
ordered,baseline,58000,60000,89.69542173382361,True
ordered,once,2000,4000,99.9620694729837,True
ordered,once,4000,6000,99.95947818739728,True
ordered,once,6000,8000,99.96439597990997,True
ordered,once,8000,10000,99.98167118675757,True
ordered,once,10000,12000,99.96952280779324,True
ordered,once,12000,14000,99.9815309838374,True
ordered,once,14000,16000,99.98801832932752,True
ordered,once,16000,18000,99.94291697978699,True
ordered,once,18000,20000,99.92019174479518,True
ordered,once,20000,22000,99.95642235642457,True
ordered,once,22000,24000,99.9467762683253,True
ordered,once,24000,26000,99.92259066192842,True
ordered,once,26000,28000,99.97114255313002,True
ordered,once,28000,30000,99.933175849912,True
ordered,once,30000,32000,99.97900534836019,True
ordered,once,32000,34000,99.98648753509711,True
ordered,once,34000,36000,99.94820758193597,True
ordered,once,36000,38000,99.97079799533165,True
ordered,once,38000,40000,99.96979553072916,True
ordered,once,40000,42000,99.97390449925854,True
ordered,once,42000,44000,99.9551395747537,True
ordered,once,44000,46000,99.92930176348118,True
ordered,once,46000,48000,99.95003058850217,True
ordered,once,48000,50000,99.96060933415653,True
ordered,once,50000,52000,99.97363268147753,True
ordered,once,52000,54000,99.96821755894486,True
ordered,once,54000,56000,99.96593128284668,True
ordered,once,56000,58000,99.9579150197187,True
ordered,once,58000,60000,99.9833513809312,True
