label,mode,strategy,seed,start_ms,end_ms,width_ms,U_percent,stall_percent,idle_percent,processing_only_U_percent,compute_npu_ms,stall_npu_ms,idle_npu_ms,all_32_active,cards_with_exhaustion,warm_mixed_cards,mean_long_cards,mean_short_cards,min_card_role_compute_ms,first_card_done_ms,last_card_done_ms,admission_slo_count,admission_slo_passed
raw176_three_l20_fixed_seed7,fixed,baseline,7,0,4000,4000,90.8045932195987,9.195406780401305,0.0,90.8045932195987,116229.87932108634,11770.12067891367,0.0,True,0,0,19.999999999999993,11.999999999999991,0.0,5300.675170871964,6538.958288929429,786,721
raw176_three_l20_fixed_seed7,fixed,baseline,7,1000,4000,3000,91.30518236329087,8.694817636709127,0.0,91.30518236329087,87652.97506875923,8347.024931240761,0.0,True,0,0,19.999999999999996,11.999999999999998,0.0,5300.675170871964,6538.958288929429,587,545
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,4000,2000,91.32329819150895,8.676701808491053,0.0,91.32329819150895,58446.910842565725,5553.089157434274,0.0,True,0,0,19.999999999999993,11.999999999999991,0.0,5300.675170871964,6538.958288929429,392,361
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,4250,2250,91.26682507825424,8.733174921745755,0.0,91.26682507825424,65712.11405634305,6287.885943656944,0.0,True,0,0,19.999999999999993,11.999999999999996,0.0,5300.675170871964,6538.958288929429,441,404
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,4500,2500,91.33898336332511,8.661016636674853,0.0,91.33898336332511,73071.18669066009,6928.813309339882,0.0,True,0,0,19.999999999999993,12.0,0.0,5300.675170871964,6538.958288929429,491,452
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,5000,3000,91.31100922886588,8.688990771134112,0.0,91.31100922886588,87658.56885971125,8341.431140288747,0.0,True,0,0,19.999999999999996,12.0,0.0,5300.675170871964,6538.958288929429,587,537
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,6000,4000,81.93797669823256,7.135381281509735,10.926642020257692,91.98932043952748,104880.61017373769,9133.288040332462,13986.101785929844,False,20,0,16.503474553517535,12.000000000000004,0.0,5300.675170871964,6538.958288929429,751,699
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,8000,6000,57.69067194211805,4.756920854339824,37.55240720354212,92.3825392760221,110766.09012886666,9133.288040332462,72100.62183080087,False,32,0,11.002316369011691,8.980913325854837,0.0,5300.675170871964,6538.958288929429,818,766
raw176_three_l20_fixed_seed7,fixed,baseline,7,2000,4350,2350,91.25191524596607,8.74808475403392,0.0,91.25191524596607,68621.44026496648,6578.559735033508,0.0,True,0,0,19.999999999999993,11.999999999999995,0.0,5300.675170871964,6538.958288929429,473,435
raw176_three_l20_fixed_seed7,fixed,once,7,0,4000,4000,99.4293433448869,0.5706566551130922,0.0,99.4293433448869,127269.55948145523,730.440518544758,0.0,True,0,0,20.0,12.000000000000172,0.0,5255.307850887601,5310.419209861222,928,928
