label,group,seed,strategy,start_ms,end_ms,device_U_percent,occupied_percent,tail_idle_percent,exposed_stall_percent,occupied_compute_fraction_percent,all_32_active,compute_ms,occupied_ms,tail_idle_ms,l0_stall_ms,l1_7_stall_ms
raw176_three_l20_fixed_seed7,fixed,7,baseline,2000,4000,91.32329819150895,100.0,0.0,8.676701808491053,91.32329819150895,True,58446.910842565725,64000.0,0.0,743.0332223390747,4810.055935095199
raw176_three_l20_fixed_seed7,fixed,7,baseline,1000,4000,91.30518236329088,100.0,0.0,8.694817636709125,91.30518236329088,True,87652.97506875925,96000.0,0.0,1098.1705610672159,7248.854370173543
raw176_three_l20_fixed_seed7,fixed,7,baseline,0,4000,90.80459321959869,100.0,0.0,9.195406780401305,90.80459321959869,True,116229.87932108632,128000.0,0.0,1979.3806596892505,9790.74001922442
raw176_three_l20_fixed_seed7,fixed,7,baseline,2000,4250,91.26682507825424,100.0,0.0,8.733174921745755,91.26682507825424,True,65712.11405634305,72000.0,0.0,829.9528139221256,5457.933129734818
raw176_three_l20_fixed_seed7,fixed,7,baseline,2000,5000,91.31100922886588,100.0,0.0,8.688990771134112,91.31100922886588,True,87658.56885971125,96000.0,0.0,1030.18470486134,7311.246435427407
raw176_three_l20_fixed_seed7,fixed,7,baseline,2000,6000,81.93797669823256,89.0733579797423,10.926642020257699,7.135381281509735,91.98932043952749,False,104880.61017373769,114013.89821407014,13986.101785929855,1120.4550471956627,8012.832993136799
raw176_three_l20_fixed_seed7,fixed,7,baseline,2000,8000,57.69067194211806,62.44759279645789,37.55240720354211,4.756920854339824,92.3825392760221,False,110766.09012886668,119899.37816919915,72100.62183080085,1120.4550471956627,8012.832993136799
raw176_three_l20_fixed_seed19,fixed,19,baseline,2000,4000,91.05636162512047,100.0,0.0,8.943638374879527,91.05636162512047,True,58276.0714400771,64000.0,0.0,688.6181410555678,5035.31041886733
raw176_three_l20_fixed_seed19,fixed,19,baseline,1000,4000,91.14980759392725,100.0,0.0,8.850192406072738,91.14980759392725,True,87503.81529017017,96000.0,0.0,999.61703428078,7496.567675549048
raw176_three_l20_fixed_seed19,fixed,19,baseline,0,4000,90.69922459438368,100.0,0.0,9.300775405616319,90.69922459438368,True,116095.00748081111,128000.0,0.0,1871.8361586684894,10033.1563605204
