start_ms,end_ms,D0_GiB_s,D1_GiB_s,D2_GiB_s,active_npus,A_active_npus,B_active_npus
2000.0,2006.1607906629854,33.44934077531433,36.04173702794495,35.139057949182124,32,12,20
2006.1607906629854,2008.4197022890799,33.75000733282471,35.879839650823975,35.00028876879272,32,12,20
2008.4197022890799,2009.6617677187674,33.68062274263001,35.717942273703,35.231570736108395,32,12,20
2009.6617677187674,2009.8002412295095,33.472468972045895,35.97235243775024,35.18531434264526,32,12,20
2009.8002412295095,2014.8817994570486,33.564981758972166,35.99548063448181,35.06967335898742,32,12,20
2014.8817994570486,2017.3197724795095,33.63436634916687,35.741070470434565,35.254698932839965,32,12,20
2017.3197724795095,2018.0121400332205,33.495597168777465,35.764198667166134,35.3703399164978,32,12,20
2018.0121400332205,2019.6949029970876,33.495597168777465,35.60230129004516,35.53223729361877,32,12,20
2019.6949029970876,2030.8270555595439,33.42621257858276,35.833583257360836,35.3703399164978,32,12,20
2030.8270555595439,2034.0099089892094,32.986776840682985,36.11112161813965,35.53223729361877,32,12,20
2034.0099089892094,2059.38405232315,33.05616143087769,36.06486522467651,35.50910909688721,32,12,20
2059.38405232315,2062.1262082186363,32.6861102831726,36.06486522467651,35.879160244592285,32,12,20
2062.1262082186363,2064.218643295623,32.82487946356201,35.67168588023986,36.13357040863953,32,12,20
2064.218643295623,2067.7617604891443,32.75549487336731,35.879839650823975,35.99480122825012,32,12,20
2067.7617604891443,2068.3723204882335,32.82487946356201,36.01860883121338,35.786647457666014,32,12,20
2068.3723204882335,2069.4988736239097,32.91739225048828,35.787326863897704,35.92541663805542,32,12,20
2069.4988736239097,2072.9396520896867,32.91739225048828,35.46353210965576,36.24921139229736,32,12,20
2072.9396520896867,2075.3776251121476,32.59359749624634,35.67168588023986,36.3648523759552,32,12,20
2075.3776251121476,2076.424708010607,32.10790536488342,35.879839650823975,36.64239073673401,32,12,20
2076.424708010607,2078.3758256619744,32.246674545272825,35.949224241018676,36.4342369661499,32,12,20
2078.3758256619744,2088.884908192182,32.154161758346554,36.20363440506591,36.27233958902893,32,12,20
2088.884908192182,2092.067761621848,31.0050091124176,34.83059242618103,34.8487725383789,32,11,21
2092.067761621848,2120.6411392234763,29.81025981763,33.408499970077514,33.51985261380615,32,10,22
2120.6411392234763,2122.3907623914015,28.775273560812376,31.988541853124996,32.02903531211243,32,9,23
2122.3907623914015,2124.7994622449173,27.388610697079464,30.566779269323728,30.891699084182736,32,8,24
2124.7994622449173,2126.4301731208725,26.27046385988159,29.35497492295532,29.275888592285156,32,7,25
2126.4301731208725,2127.432496266423,24.930057389611815,28.013423730441282,28.0120845796051,32,6,26
2127.432496266423,2131.462975428511,23.70857096439514,26.63824741240539,26.662985647393796,32,5,27
2131.462975428511,2134.4107435066144,22.390303073950193,25.49287846713867,25.1808608076416,32,4,28
2134.4107435066144,2135.6128845837843,21.364339151376342,24.22251633166809,23.531425190222166,32,3,29
2135.6128845837843,2139.771464540859,19.929945299633786,22.939193055953975,22.303380642214965,32,2,30
2139.771464540859,2143.5331890154466,19.327836657925413,21.40178948849487,20.497131175918575,32,1,31
2143.5331890154466,2449.951813218278,18.106020360406493,19.800414731387328,19.374560555081175,32,0,32
2449.951813218278,2451.673639769081,19.512532359475706,20.8626230962738,20.851601866589352,32,1,31
2451.673639769081,2452.903216697792,20.94479187206726,22.003238385598753,22.224488740136717,32,2,30
2452.903216697792,2454.3424019761123,22.312265345068358,23.39498477757568,23.411030550622556,32,3,29
2454.3424019761123,2454.556406492714,23.601002021328732,24.601375723397823,24.861664604003902,32,4,28
2454.556406492714,2456.6712746567764,25.196148527947997,25.97441770228271,25.83923779396362,32,5,27
2456.6712746567764,2457.0069680161514,26.58461585852966,27.24297537090454,27.127974470223997,32,6,26
2457.0069680161514,2457.2797188706436,27.990797985296627,28.711324220471187,28.199205169354247,32,7,25
