request_id,npu_id,role,profile,C_ms,V_per_ssu_GiB,B_per_ssu_GiB_s,original_request_id,matches_raw_data,layer,compute_start_ms,compute_end_ms,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,barrier_budget_end_ms,full_io_stall_ms,warm_io_stall_ms,warm_compute_ms,warm_queue_ms,kind
4000008,4,A,32:1024,7.257231579079756,"[0.0129241943359375,0.0147705078125,0.0139312744140625]","[1.7808711483306885,2.0352813123779296,1.9196403287200927]",4000006,True,7,2001.1624707100002,2008.4197022890799,1992.989100942326,2001.1624707100002,,2000.2463325214057,0.9161381885944593,0.9161381885944593,7.257231579079644,0.0,internal_L1_to_L7
9000008,9,A,32:1024,7.257231579079756,"[0.0147705078125,0.0135955810546875,0.0132598876953125]","[2.0352813123779296,1.873383935256958,1.8271275417938233]",9000006,True,7,2002.4045361396877,2009.6617677187674,1994.2017932030683,2002.4045361396877,,2001.459024782148,0.9455113575397718,0.9455113575397718,7.257231579079644,0.0,internal_L1_to_L7
6000008,6,A,32:1024,7.257231579079756,"[0.0125885009765625,0.015777587890625,0.0132598876953125]","[1.7346147548675537,2.174050492767334,1.8271275417938233]",6000006,True,7,2002.54300965043,2009.8002412295095,1994.7597834130293,2002.54300965043,,2002.017014992109,0.5259946583209967,0.5259946583209967,7.257231579079644,0.0,internal_L1_to_L7
10000008,10,A,32:1024,7.257231579079756,"[0.0132598876953125,0.01409912109375,0.0142669677734375]","[1.8271275417938233,1.9427685254516602,1.9658967221832275]",10000006,True,7,2007.624567877969,2014.8817994570486,1999.8114049385158,2007.624567877969,,2007.0686365175955,0.5559313603735063,0.5559313603735063,7.257231579079644,0.0,internal_L1_to_L7
8,0,A,32:1024,7.257231579079756,"[0.013092041015625,0.0139312744140625,0.0146026611328125]","[1.8039993450622558,1.9196403287200927,2.0121531156463623]",6,True,6,2001.6786992500392,2008.935930829119,1993.0708654325824,2001.6786992500392,,2000.328097011662,1.3506022383771779,1.3506022383771779,7.257231579079644,0.0,internal_L1_to_L7
8,0,A,32:1024,7.257231579079756,"[0.013092041015625,0.0139312744140625,0.0146026611328125]","[1.8039993450622558,1.9196403287200927,2.0121531156463623]",6,True,7,2010.06254090043,2017.3197724795095,2001.6786992500392,2010.06254090043,,2008.935930829119,1.1266100713110063,1.1266100713110063,7.257231579079644,0.0,internal_L1_to_L7
3000008,3,A,32:1024,7.257231579079756,"[0.013763427734375,0.0142669677734375,0.0135955810546875]","[1.8965121319885254,1.9658967221832275,1.873383935256958]",3000006,True,6,2002.6730908271877,2009.9303224062674,1994.7578245634418,2002.6730908271877,,2002.0150561425214,0.6580346846662906,0.6580346846662906,7.257231579079644,0.0,internal_L1_to_L7
3000008,3,A,32:1024,7.257231579079756,"[0.013763427734375,0.0142669677734375,0.0135955810546875]","[1.8965121319885254,1.9658967221832275,1.873383935256958]",3000006,True,7,2010.7549084541408,2018.0121400332205,2002.6730908271877,2010.7549084541408,,2009.9303224062674,0.8245860478734812,0.8245860478734812,7.257231579079644,0.0,internal_L1_to_L7
11000008,11,A,32:1024,7.257231579079756,"[0.0139312744140625,0.0125885009765625,0.015106201171875]","[1.9196403287200927,1.7346147548675537,2.0815377058410642]",11000006,True,6,2004.0495336006252,2011.3067651797048,1995.660000466762,2004.0495336006252,,2002.9172320458417,1.132301554783453,1.132301554783453,7.257231579079644,0.0,internal_L1_to_L7
11000008,11,A,32:1024,7.257231579079756,"[0.0139312744140625,0.0125885009765625,0.015106201171875]","[1.9196403287200927,1.7346147548675537,2.0815377058410642]",11000006,True,7,2012.437671418008,2019.6949029970876,2004.0495336006252,2012.437671418008,,2011.3067651797048,1.1309062383031687,1.1309062383031687,7.257231579079644,0.0,internal_L1_to_L7
