npu_id,compute_ms,active_ms,io_stall_ms,compute_queue_ms,role_compute_ms,role_active_ms,role_requests_computing,U_percent,idle_ms,A_and_B_actually_computing
0,1967.5825844685992,2000.0,32.41741553140082,0.0,"{""A"":479.3053812309322,""B"":1488.277203237667}","{""A"":488.2659379571601,""B"":1511.73406204284}","{""A"":9,""B"":2}",98.37912922342996,0.0,True
1,1953.7310274396232,2000.0,46.268972560376824,0.0,"{""A"":464.1692218248213,""B"":1489.5618056148019}","{""A"":468.98825501931015,""B"":1531.0117449806899}","{""A"":8,""B"":3}",97.68655137198115,0.0,True
2,1941.2019578662403,2000.0,58.798042133759736,0.0,"{""A"":436.189865386204,""B"":1505.0120924800362}","{""A"":437.23202398801595,""B"":1562.767976011984}","{""A"":8,""B"":3}",97.06009789331202,0.0,True
3,1968.7855792911116,2000.0,31.214420708888383,0.0,"{""A"":480.50837605344464,""B"":1488.277203237667}","{""A"":489.6192909614433,""B"":1510.3807090385567}","{""A"":9,""B"":2}",98.43927896455557,0.0,True
4,1966.4670793262026,2000.0,33.532920673797435,0.0,"{""A"":471.966385161596,""B"":1494.5006941646066}","{""A"":478.7835637987155,""B"":1521.2164362012845}","{""A"":9,""B"":3}",98.32335396631012,0.0,True
5,1961.9729844775698,2000.0,38.02701552243025,0.0,"{""A"":470.623611724096,""B"":1491.3493727534737}","{""A"":470.788377072568,""B"":1529.211622927432}","{""A"":9,""B"":3}",98.09864922387848,0.0,True
6,1962.0142708699661,2000.0,37.98572913003386,0.0,"{""A"":473.73706763229916,""B"":1488.277203237667}","{""A"":475.66908005006417,""B"":1524.3309199499358}","{""A"":9,""B"":2}",98.1007135434983,0.0,True
7,1944.9951928271782,2000.0,55.00480717282176,0.0,"{""A"":440.318793706517,""B"":1504.6763991206612}","{""A"":440.41487741768196,""B"":1559.585122582318}","{""A"":8,""B"":3}",97.2497596413589,0.0,True
8,1952.7400242987774,2000.0,47.25997570122263,0.0,"{""A"":464.4628210611104,""B"":1488.277203237667}","{""A"":474.44376388489445,""B"":1525.5562361151055}","{""A"":8,""B"":2}",97.63700121493886,0.0,True
9,1961.456280660005,2000.0,38.54371933999505,0.0,"{""A"":473.17907742233797,""B"":1488.277203237667}","{""A"":479.9429470369332,""B"":1520.0570529630668}","{""A"":9,""B"":2}",98.07281403300026,0.0,True
10,1967.065892395453,2000.0,32.93410760454708,0.0,"{""A"":478.78868915778594,""B"":1488.277203237667}","{""A"":483.64480555743967,""B"":1516.3551944425603}","{""A"":9,""B"":2}",98.35329461977264,0.0,True
11,1965.1244628243367,2000.0,34.87553717566334,0.0,"{""A"":476.8472595866697,""B"":1488.277203237667}","{""A"":491.9439674751152,""B"":1508.0560325248848}","{""A"":9,""B"":2}",98.25622314121684,0.0,True
12,1991.3729725377161,2000.0,8.627027462283877,0.0,"{""B"":1643.0258567418823,""A"":348.3471157958338}","{""B"":1649.222216922547,""A"":350.777783077453}","{""B"":3,""A"":6}",99.56864862688582,0.0,True
13,1985.1397626403636,2000.0,14.860237359636358,0.0,"{""B"":1636.7926468445298,""A"":348.3471157958338}","{""B"":1650.0951335281889,""A"":349.90486647181115}","{""B"":3,""A"":6}",99.2569881320182,0.0,True
14,1987.9133290221998,2000.0,12.086670977800168,0.0,"{""B"":1639.566213226366,""A"":348.3471157958338}","{""B"":1651.257203358528,""A"":348.74279664147207}","{""B"":3,""A"":6}",99.39566645110999,0.0,True
15,1995.374617764257,2000.0,4.625382235743018,0.0,"{""B"":1647.0275019684232,""A"":348.3471157958338}","{""B"":1650.8283330943132,""A"":349.17166690568683}","{""B"":3,""A"":6}",99.76873088821286,0.0,True
16,1991.5393211333976,2000.0,8.460678866602393,0.0,"{""B"":1643.1922053375638,""A"":348.3471157958338}","{""B"":1651.1344999691814,""A"":348.86550003081857}","{""B"":3,""A"":6}",99.57696605666989,0.0,True
17,1993.0163719146476,2000.0,6.983628085352393,0.0,"{""B"":1644.6692561188138,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",99.65081859573239,0.0,True
18,2000.0,2000.0,0.0,0.0,"{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",100.0,0.0,True
19,1992.5338892633895,2000.0,7.466110736610517,0.0,"{""B"":1644.1867734675557,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",99.62669446316949,0.0,True
20,1990.712172405989,2000.0,9.287827594011105,0.0,"{""B"":1642.365056610155,""A"":348.3471157958338}","{""B"":1648.6390635819002,""A"":351.36093641809975}","{""B"":3,""A"":6}",99.53560862029944,0.0,True
21,1987.3384541442701,2000.0,12.661545855729855,0.0,"{""B"":1638.9913383484363,""A"":348.3471157958338}","{""B"":1651.4206969355896,""A"":348.5793030644104}","{""B"":3,""A"":6}",99.3669227072135,0.0,True
22,1989.6253651550123,2000.0,10.374634844987668,0.0,"{""B"":1641.2782493591785,""A"":348.3471157958338}","{""B"":1651.0178649043396,""A"":348.9821350956604}","{""B"":3,""A"":6}",99.48126825775061,0.0,True
23,1989.730269329817,2000.0,10.26973067018298,0.0,"{""B"":1641.3831535339832,""A"":348.3471157958338}","{""B"":1650.5062578934235,""A"":349.4937421065765}","{""B"":3,""A"":6}",99.48651346649085,0.0,True
24,1971.5917944422304,2000.0,28.408205557769634,0.0,"{""B"":1623.2446786463966,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",98.57958972211152,0.0,True
25,1977.3587259735023,2000.0,22.64127402649774,0.0,"{""B"":1629.0116101776684,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",98.8679362986751,0.0,True
26,1976.972678610221,2000.0,23.02732138977899,0.0,"{""B"":1628.6255628143872,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",98.84863393051104,0.0,True
27,1974.66898293151,2000.0,25.331017068489928,0.0,"{""B"":1626.3218671356763,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",98.7334491465755,0.0,True
28,1986.4560160125648,2000.0,13.54398398743524,0.0,"{""B"":1638.108900216731,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",99.32280080062823,0.0,True
29,1989.3849405731112,2000.0,10.61505942688882,0.0,"{""B"":1641.0378247772774,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",99.46924702865556,0.0,True
30,1982.9438242401038,2000.0,17.056175759896178,0.0,"{""B"":1634.59670844427,""A"":348.3471157958338}","{""B"":1651.6528842041662,""A"":348.3471157958338}","{""B"":3,""A"":6}",99.14719121200518,0.0,True
