scenario,policy,latency_ratio,macro_cdf
semi,baseline,0.9999999999999648,0.00196078431372549
semi,baseline,0.9999999999999932,0.0038334434897554525
semi,baseline,0.9999999999999943,0.023921512852047373
semi,baseline,0.999999999999995,0.025882297165772866
semi,baseline,0.9999999999999952,0.05340020804225545
semi,baseline,0.9999999999999961,0.05550991268360566
semi,baseline,0.9999999999999963,0.07357640254224289
semi,baseline,0.9999999999999966,0.07740984603199834
semi,baseline,0.9999999999999969,0.10439287078791125
semi,baseline,0.999999999999997,0.10650257542926145
semi,baseline,0.9999999999999973,0.10837523460529142
semi,baseline,0.9999999999999978,0.15187726064682736
semi,baseline,0.999999999999998,0.20064113826443677
semi,baseline,0.9999999999999982,0.20456270689188774
semi,baseline,0.9999999999999986,0.22215510581988449
semi,baseline,0.9999999999999988,0.22411589013361
semi,baseline,0.9999999999999989,0.23561622060287635
semi,baseline,0.999999999999999,0.23772592524422653
semi,baseline,0.9999999999999994,0.2829243601864014
semi,baseline,0.9999999999999999,0.28488514450012686
semi,baseline,1.0,0.28880671312757783
semi,baseline,1.0000000000000002,0.29067937230360785
semi,baseline,1.0000000000000004,0.3028908391688349
semi,baseline,1.0000000000000007,0.3269004771585779
semi,baseline,1.000000000000001,0.45479180436219435
semi,baseline,1.0000000000000016,0.49779240952532344
semi,baseline,1.0000000000000022,0.523437661225776
semi,baseline,1.0000000000000024,0.5253984455395014
semi,baseline,1.0000000000000027,0.5272711047155315
semi,baseline,1.000000000000003,0.5564246293027238
semi,baseline,1.0000000000000033,0.582158006140872
semi,baseline,1.0000000000000038,0.5840306653169018
semi,baseline,1.0000000000000042,0.5859033244929318
semi,baseline,1.0000000000000047,0.639452452862812
semi,baseline,1.000000000000005,0.6431977712148719
semi,baseline,1.00000000000001,0.6764825799470692
semi,baseline,1.000000000000016,0.6937498082720501
semi,baseline,1.0000000000000586,0.6956224674480801
semi,baseline,1.0000862084827575,0.69749512662411
semi,baseline,1.0000981251847914,0.69936778580014
semi,baseline,1.0004022520649507,0.7014774904414902
semi,baseline,1.0007891455589355,0.7035871950828404
semi,baseline,1.0008824602729405,0.7055479793965659
semi,baseline,1.0011715672744257,0.7075087637102914
semi,baseline,1.0012188446252244,0.7096184683516417
semi,baseline,1.0016434646144161,0.7115792526653671
semi,baseline,1.002582020920717,0.7135400369790926
semi,baseline,1.0029428550506643,0.7155008212928181
semi,baseline,1.0031140961218699,0.7176105259341683
semi,baseline,1.0033987248730367,0.7197202305755185
semi,baseline,1.0036794606064614,0.7218299352168688
semi,baseline,1.0039324839660264,0.7237907195305943
semi,baseline,1.0041998550085158,0.7256633787066242
semi,baseline,1.0042981827725865,0.7275360378826541
semi,baseline,1.0043137653813503,0.7294968221963796
semi,baseline,1.0045547847104561,0.7316065268377298
semi,baseline,1.0045571998093474,0.73371623147908
semi,baseline,1.0049060833020482,0.73558889065511
semi,baseline,1.005124044545399,0.73746154983114
semi,baseline,1.0051734305960833,0.7393342090071698
semi,baseline,1.0053348388955572,0.7412068681831999
semi,baseline,1.0056391371022988,0.7431676524969254
semi,baseline,1.0064730794274872,0.7451284368106509
semi,baseline,1.0064761059119753,0.7470010959866809
semi,baseline,1.0070845449322363,0.749110800628031
semi,baseline,1.008003723695166,0.7510715849417565
semi,baseline,1.0080865230298253,0.7529442441177866
semi,baseline,1.0084188995102326,0.7550539487591368
semi,baseline,1.00843164789251,0.7570147330728623
semi,baseline,1.008644971165936,0.7591244377142125
