case,window_kind,start_s,end_s,U_percent,all_npus_active,mixed_npus,strict_nominal_underload,disk0_mean_GiB_s,disk1_mean_GiB_s,disk2_mean_GiB_s,disk0_peak_GiB_s,disk1_peak_GiB_s,disk2_peak_GiB_s,disk0_overload_percent,disk1_overload_percent,disk2_overload_percent,internal_layer_stall_card_ms,layer_zero_stall_card_ms,SLO_1p5_percent,SLO_count
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,0.0,2.0,77.4938760480659,True,32,False,81.15919813253073,88.78320340970858,86.12077494926582,290.33184751336665,324.0460063896789,307.2167898927429,23.376260453351087,23.376260453351087,23.376260453351087,11583.44743333857,2820.4718958992466,50.0,128
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,2.0,4.0,53.99219440851266,True,32,False,153.8041939683562,170.4022142139135,166.0654853903288,287.5734163325775,323.0708034469757,310.56034283915403,52.83964849321899,52.83964849321899,52.83964849321899,25597.63273372523,3847.362844826668,50.0,128
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,4.0,6.0,100.0,True,0,True,18.04684438411687,19.888861484828695,19.34528977792945,18.288271512130734,20.101760695129393,19.495459833947752,0.0,0.0,0.0,0.0,0.0,100.0,70
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,6.0,8.0,100.0,True,0,True,17.94500891922949,19.98842334714267,19.347563380502827,18.13128289628906,20.284011846853634,19.632599314453124,0.0,0.0,0.0,0.0,0.0,100.0,90
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,8.0,10.0,56.91372409172916,True,32,False,151.6782047790387,167.20723307308342,163.47710764121916,289.3287816294433,320.11733167764584,312.4271599009002,51.450799089265,51.450799089265,51.450799089265,24765.909488330966,2809.3070929623736,24.62686567164179,134
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,10.0,12.0,79.72219147455928,True,32,False,76.5107893387556,84.70393270590527,81.15096196819515,287.9634975096588,320.11733167764584,306.91029753932185,25.73925002454134,25.73925002454134,25.73925002454134,10819.82744997353,2157.9700063085293,77.19298245614036,114
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,12.0,14.0,100.0,True,0,True,17.922924815182025,19.92579319165479,19.432277640038183,18.059104222338863,20.36701732189636,19.879811272732542,0.0,0.0,0.0,0.0,0.0,100.0,73
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,14.0,16.0,100.0,True,0,True,18.07226068446751,19.70956117484429,19.499173787563187,18.351427851837155,20.025973087481688,19.811241532479855,0.0,0.0,0.0,0.0,0.0,100.0,95
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,16.0,18.0,42.99557116506346,True,32,False,193.65942189174442,212.62210567560692,207.624734672054,281.9957361198761,308.7389588804901,303.0020059843597,80.23742624322931,80.23742624322931,80.23742624322931,31957.604029455,4525.230424904385,25.609756097560975,164
a128_group4_8_prefix2_60s_od_baseline_full,continuous_2s,18.0,20.0,100.0,True,0,True,17.89354434139154,19.989365635119007,19.398085670364434,18.098802493011473,20.19017957071838,19.610945712268062,0.0,0.0,0.0,0.0,0.0,100.0,68
