npu_id,cycle_index,start_ms,end_ms,duration_ms,pure_compute_ms,U_percent,ends_before_first_npu_finishes
0,0,1533.8594260404002,8978.69657314634,7444.83714710594,6145.877182505515,82.55220444808018,True
0,1,8978.69657314634,16385.906590833336,7407.210017686995,6145.877182505515,82.97155295759592,True
0,2,16385.906590833336,23694.30768138211,7308.401090548774,6145.877182505515,84.09332091055272,True
0,3,23694.30768138211,30599.08627575504,6904.778594372929,6145.877182505515,89.00904060144835,True
0,4,30599.08627575504,36755.77466673654,6156.688390981504,6145.877182505515,99.82439896597941,True
0,5,36755.77466673654,42924.049092879664,6168.274426143122,6145.877182505515,99.63689612215241,True
0,6,42924.049092879664,49078.23916374775,6154.190070868084,6145.877182505515,99.86492311308486,True
0,7,49078.23916374775,55231.85839278966,6153.619229041913,6145.877182505515,99.87418710439769,True
0,8,55231.85839278966,61388.8230354686,6156.96464267894,6145.877182505515,99.8199200285061,True
0,9,61388.8230354686,67549.53397085157,6160.7109353829655,6145.877182505515,99.75922011220726,True
1,0,1536.0162558743846,9009.777582057473,7473.761326183088,6145.877182505515,82.23271943371337,True
1,1,9009.777582057473,16411.864079847008,7402.086497789534,6145.877182505515,83.02898357565589,True
1,2,16411.864079847008,23758.24048167508,7346.376401828071,6145.877182505515,83.65862088112142,True
1,3,23758.24048167508,30978.17219799625,7219.931716321171,6145.877182505515,85.123757730455,True
1,4,30978.17219799625,37863.1549215336,6884.982723537349,6145.877182505515,89.26496157346786,True
1,5,37863.1549215336,44065.67662974321,6202.521708209613,6145.877182505515,99.08675006120295,True
1,6,44065.67662974321,50256.24586554604,6190.569235802832,6145.877182505515,99.27806229774731,True
1,7,50256.24586554604,56445.36202650008,6189.116160954036,6145.877182505515,99.30137070747989,True
1,8,56445.36202650008,62631.33420527042,6185.972178770338,6145.877182505515,99.35184001631262,True
1,9,62631.33420527042,68825.05352019364,6193.719314923226,6145.877182505515,99.22757022097466,False
2,0,1534.4426932523143,9010.151040919778,7475.708347667463,6145.877182505515,82.21130221623913,True
2,1,9010.151040919778,16447.959508313805,7437.808467394027,6145.877182505515,82.63021573421662,True
2,2,16447.959508313805,23813.306781113555,7365.3472727997505,6145.877182505515,83.44314198465914,True
2,3,23813.306781113555,31074.579134641757,7261.272353528202,6145.877182505515,84.63912222655132,True
2,4,31074.579134641757,38214.69720363809,7140.118068996333,6145.877182505515,86.07528787502844,True
2,5,38214.69720363809,45117.316456262226,6902.619252624136,6145.877182505515,89.03688523989015,True
2,6,45117.316456262226,51512.95999529729,6395.643539035067,6145.877182505515,96.0947423819803,True
2,7,51512.95999529729,57662.768120118504,6149.808124821211,6145.877182505515,99.93608024452291,True
2,8,57662.768120118504,63815.12028975645,6152.352169637947,6145.877182505515,99.8947559087338,True
2,9,63815.12028975645,69965.83918300153,6150.718893245081,6145.877182505515,99.92128219768126,False
3,0,1532.6300491116892,9032.113778956887,7499.4837298451985,6145.877182505515,81.9506702581029,True
3,1,9032.113778956887,16476.124181165367,7444.01040220848,6145.877182505515,82.56137284120618,True
3,2,16476.124181165367,23847.832843125274,7371.708661959907,6145.877182505515,83.37113502897873,True
3,3,23847.832843125274,31144.801989256015,7296.969146130741,6145.877182505515,84.22506741397422,True
3,4,31144.801989256015,38315.069518091215,7170.2675288352,6145.877182505515,85.71335947773073,True
3,5,38315.069518091215,45354.794331018085,7039.72481292687,6145.877182505515,87.30280438263716,True
3,6,45354.794331018085,52281.454410580496,6926.660079562411,6145.877182505515,88.72785890907727,True
3,7,52281.454410580496,59070.86097903454,6789.406568454047,6145.877182505515,90.52156651011894,True
3,8,59070.86097903454,65739.78300464191,6668.922025607368,6145.877182505515,92.15698067703504,True
3,9,65739.78300464191,72176.37354194178,6436.590537299868,6145.877182505515,95.48342630916667,False
4,0,1532.6636184476267,9007.301843532083,7474.638225084456,6145.877182505515,82.22307217331675,True
4,1,9007.301843532083,16457.77014674154,7450.468303209456,6145.877182505515,82.4898104708135,True
4,2,16457.77014674154,23801.964541733672,7344.194394992133,6145.877182505515,83.68347638913632,True
4,3,23801.964541733672,31083.302965818515,7281.338424084843,6145.877182505515,84.40587189542644,True
4,4,31083.302965818515,38199.108443262114,7115.805477443599,6145.877182505515,86.36938154067504,True
4,5,38199.108443262114,45045.859928552265,6846.751485290151,6145.877182505515,89.7634037938952,True
4,6,45045.859928552265,51234.78349688421,6188.923568331942,6145.877182505515,99.304460858966,True
4,7,51234.78349688421,57382.9456761831,6148.162179298895,6145.877182505515,99.9628344743235,True
4,8,57382.9456761831,63534.007445723146,6151.061769540043,6145.877182505515,99.91571232368041,True
4,9,63534.007445723146,69689.33847692572,6155.331031202579,6145.877182505515,99.8464120183116,False
5,0,1534.6315207669627,9033.61600674009,7498.984485973127,6145.877182505515,81.95612611282763,True
5,1,9033.61600674009,16465.709294690758,7432.093287950667,6145.877182505515,82.69375725503286,True
5,2,16465.709294690758,23852.553530991485,7386.844236300727,6145.877182505515,83.20030835770434,True
5,3,23852.553530991485,31154.071322141757,7301.517791150272,6145.877182505515,84.17259751054172,True
5,4,31154.071322141757,38302.66564846231,7148.594326320552,6145.877182505515,85.97322637090886,True
5,5,38302.66564846231,45359.418507043476,7056.752858581167,6145.877182505515,87.09214146605677,True
5,6,45359.418507043476,52317.78062823186,6958.362121188387,6145.877182505515,88.32361805073589,True
5,7,52317.78062823186,59162.42553897107,6844.644910739204,6145.877182505515,89.79103025290141,True
5,8,59162.42553897107,65873.46700459383,6711.041465622759,6145.877182505515,91.57859050622334,True
5,9,65873.46700459383,72428.05963813319,6554.59263353936,6145.877182505515,93.76444160782047,False
6,0,1533.8887992093455,9041.164911159036,7507.27611194969,6145.877182505515,81.8656073235781,True
6,1,9041.164911159036,16462.629308118492,7421.464396959456,6145.877182505515,82.81218980210234,True
6,2,16462.629308118492,23850.68623667996,7388.056928561469,6145.877182505515,83.18665167218981,True
6,3,23850.68623667996,31125.16812389957,7274.481887219608,6145.877182505515,84.48542834786741,True
6,4,31125.16812389957,38237.322936059965,7112.1548121603955,6145.877182505515,86.41371489829307,True
6,5,38237.322936059965,45235.06929439699,6997.746358337026,6145.877182505515,87.82652110823358,True
6,6,45235.06929439699,52072.514667538504,6837.445373141512,6145.877182505515,89.88557636814798,True
6,7,52072.514667538504,58605.52704043591,6533.012372897407,6145.877182505515,94.07417025570095,True
6,8,58605.52704043591,64809.709904149815,6204.182863713904,6145.877182505515,99.06021981477369,True
6,9,64809.709904149815,71006.50018766808,6196.790283518261,6145.877182505515,99.17839560993114,False
7,0,1533.2341971585643,9006.726968654153,7473.492771495588,6145.877182505515,82.2356744084414,True
7,1,9006.726968654153,16460.296239270836,7453.569270616683,6145.877182505515,82.45549158218296,True
7,2,16460.296239270836,23875.569506943633,7415.273267672797,6145.877182505515,82.88133101309604,True
7,3,23875.569506943633,31165.715685545078,7290.146178601444,6145.877182505515,84.30389503773368,True
7,4,31165.715685545078,38327.364287378325,7161.648601833247,6145.877182505515,85.81651410447988,True
