request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,layer,io_release_ms,io_ready_ms,compute_start_ms,compute_end_ms,io_elapsed_ms,exposed_stall_ms
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,0,0.0,5.068628787994385,5.068628787994385,10.890170753984563,5.068628787994385,5.068628787994385
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,1,5.068628787994385,15.192438960075378,15.192438960075378,21.013980926065557,10.123810172080994,4.302268206090815
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,2,15.192438960075378,23.43864142894745,23.43864142894745,29.260183394937627,8.24620246887207,2.424660502881892
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,3,23.43864142894745,27.875792980194092,29.260183394937627,35.081725360927805,4.437151551246643,0.0
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,4,29.260183394937627,32.312944531440735,35.081725360927805,40.903267326917984,3.0527611365031078,0.0
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,5,35.081725360927805,36.75009608268738,40.903267326917984,46.72480929290816,1.6683707217595725,0.0
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,6,40.903267326917984,41.883154844981455,46.72480929290816,52.54635125889834,0.979887518063471,0.0
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,7,46.72480929290816,47.819216298715304,52.54635125889834,58.36789322488852,1.0944070058071418,0.0
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,0,0.0,5.071402192115784,5.071402192115784,10.833194860152743,5.071402192115784,5.071402192115784
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,1,5.071402192115784,15.524395108222961,15.524395108222961,21.286187776259922,10.452992916107178,4.691200248070219
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,2,15.524395108222961,26.608439087867737,26.608439087867737,32.3702317559047,11.084043979644775,5.322251311607815
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,3,26.608439087867737,31.04559063911438,32.3702317559047,38.13202442394166,4.437151551246643,0.0
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,4,32.3702317559047,35.48274219036102,38.13202442394166,43.89381709197862,3.1125104344563255,0.0
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,5,38.13202442394166,39.919893741607666,43.89381709197862,49.65560976001558,1.7878693176660079,0.0
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,6,43.89381709197862,44.53142466644151,49.65560976001558,55.41740242805254,0.6376075744628906,0.0
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,7,49.65560976001558,50.356081175462435,55.41740242805254,61.1791950960895,0.7004714154468559,0.0
2000000,2,S,SL,short,fifo,20.0,1173,25.9249267578125,5.985852535361533,4.229524723063889,0.6329327821731567,True,0,0.0,5.0707268714904785,5.0707268714904785,11.056579406852013,5.0707268714904785,5.0707268714904785
2000000,2,S,SL,short,fifo,20.0,1173,25.9249267578125,5.985852535361533,4.229524723063889,0.6329327821731567,True,1,5.0707268714904785,15.493841767311096,15.493841767311096,21.47969430267263,10.423114895820618,4.4372623604590835
