request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
0,0,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,0.0,79.87417885567663,79.87417885567663,79.87417885567663,107.42228521266458,True
1000000,1,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,0.0,80.7009922805208,80.7009922805208,80.7009922805208,108.67241879444985,True
2000000,2,S,SL,g0,fifo,32.0,1278,42.283935546875,9.02130896671012,4.57726322863696,1.032322645187378,False,0.0,80.42959708558679,80.42959708558679,80.42959708558679,108.25570760052143,True
3000000,3,S,SL,g0,fifo,32.0,1269,42.2960205078125,8.958802287620854,4.610516696437749,1.0326176881790161,False,0.0,79.93189088378392,79.93189088378392,79.93189088378392,107.50562745145024,True
4000000,4,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,0.0,80.68433874277055,80.68433874277055,80.68433874277055,108.67241879444985,True
5000000,5,S,SL,g0,fifo,32.0,1281,42.2799072265625,9.04214452640654,4.566280906079333,1.0322242975234985,False,0.0,80.57743159424793,80.57743159424793,80.57743159424793,108.50573431687849,True
6000000,6,S,SL,g0,fifo,32.0,1268,42.29736328125,8.951857101055381,4.614240192068741,1.0326504707336426,False,0.0,79.8749984195423,79.8749984195423,79.8749984195423,107.42228521266458,True
7000000,7,S,SL,g0,fifo,32.0,1256,42.3134765625,8.868514862269695,4.659377031814665,1.0330438613891602,False,0.0,79.20736226726002,79.20736226726002,79.20736226726002,106.42217834723633,True
7000001,7,S,SL,g0,fifo,32.0,1271,42.2933349609375,8.972692660751802,4.603086997892327,1.0325521230697632,False,79.20736226726002,150.9889035532744,71.78154128601439,150.9889035532744,107.67231192902162,True
1,0,S,SL,g0,fifo,32.0,1283,42.2772216796875,9.056034899537488,4.558987432643222,1.0321587324142456,False,79.87417885567663,152.32245805197655,72.44827919629992,152.32245805197655,108.67241879444985,True
6000001,6,S,SL,g0,fifo,32.0,1302,42.251708984375,9.187993444281492,4.490799302946214,1.0315358638763428,False,79.8749984195423,153.3789459737942,73.50394755425191,153.3789459737942,110.2559213313779,True
3000001,3,S,SL,g0,fifo,32.0,1271,42.2933349609375,8.972692660751802,4.603086997892327,1.0325521230697632,False,79.93189088378392,151.71343216979832,71.7815412860144,151.71343216979832,107.67231192902162,True
2000001,2,S,SL,g0,fifo,32.0,1302,42.251708984375,9.187993444281492,4.490799302946214,1.0315358638763428,False,80.42959708558679,153.93354463983871,73.50394755425192,153.93354463983871,110.2559213313779,True
5000001,5,S,SL,g0,fifo,32.0,1296,42.259765625,9.146322324888649,4.512119833767884,1.0317325592041016,False,80.57743159424793,153.7480101933571,73.17057859910916,153.7480101933571,109.7558678986638,True
4000001,4,S,SL,g0,fifo,32.0,1297,42.2584228515625,9.153267511454121,4.508552930889159,1.031699776649475,False,80.68433874277055,153.9104788344035,73.22614009163296,153.9104788344035,109.83921013744947,True
1000001,1,S,SL,g0,fifo,32.0,1281,42.2799072265625,9.04214452640654,4.566280906079333,1.0322242975234985,False,80.7009922805208,153.03814849177311,72.33715621125232,153.03814849177311,108.50573431687849,True
7000002,7,S,SL,g0,fifo,32.0,1264,42.302734375,8.924076354793485,4.6291921310036726,1.0327816009521484,False,150.9889035532744,235.54152520147466,84.55262164820024,235.54152520147466,107.0889162575218,True
3000002,3,S,SL,g0,fifo,32.0,1258,42.310791015625,8.882405235400642,4.651795404078137,1.0329782962799072,False,151.71343216979832,236.32443744233194,84.61100527253362,236.32443744233194,106.5888628248077,True
2,0,S,SL,g0,fifo,32.0,1262,42.305419921875,8.910185981662536,4.636703064052919,1.0328471660614014,False,152.32245805197655,237.52399531200842,85.20153726003187,237.52399531200842,106.92223177995044,True
1000002,1,S,SL,g0,fifo,32.0,1274,42.289306640625,8.993528220448225,4.591985481552991,1.0324537754058838,False,153.03814849177311,239.05658119825938,86.01843270648627,239.05658119825938,107.9223386453787,True
6000002,6,S,SL,g0,fifo,32.0,1269,42.2960205078125,8.958802287620854,4.610516696437749,1.0326176881790161,False,153.3789459737942,239.88081050691954,86.50186453312534,239.88081050691954,107.50562745145024,True
5000002,5,L,LL,g1,fifo,200.0,2302,271.908935546875,79.49600347168737,3.340244267305415,6.638401746749878,False,153.7480101933571,790.5039159474012,636.7559057540441,790.5039159474012,953.9520416602485,True
4000002,4,L,LL,g1,fifo,200.0,2300,271.91162109375,79.42706279743123,3.3431765335649937,6.638467311859131,False,153.9104788344035,796.9084552544327,642.9979764200292,796.9084552544327,953.1247535691748,True
