request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
0,0,S,SL,short,fifo,20.0,1140,25.96923828125,5.821541965990178,4.3563345256619925,0.6340146064758301,True,0.0,58.36789322488852,58.36789322488852,58.36789322488852,69.85850359188214,True
1000000,1,S,SL,short,fifo,20.0,1128,25.9853515625,5.761792668036959,4.404240372276292,0.6344079971313477,True,0.0,61.1791950960895,61.1791950960895,61.1791950960895,69.1415120164435,True
2000000,2,S,SL,short,fifo,20.0,1173,25.9249267578125,5.985852535361533,4.229524723063889,0.6329327821731567,True,0.0,61.88875291225006,61.88875291225006,61.88875291225006,71.8302304243384,True
3000000,3,S,SL,short,fifo,20.0,1130,25.982666015625,5.771750884362495,4.396187186392466,0.6343424320220947,True,0.0,60.18718169396185,60.18718169396185,60.18718169396185,69.26101061234995,True
4000000,4,S,SL,short,fifo,20.0,1163,25.9383544921875,5.936061453733851,4.267210591771035,0.6332606077194214,True,0.0,58.420785736525104,58.420785736525104,58.420785736525104,71.2327374448062,True
5000000,5,L,LL,long,fifo,200.0,2043,272.2567138671875,70.56818634260537,3.7676424875808867,6.646892428398132,False,0.0,575.6328588715269,575.6328588715269,575.6328588715269,846.8182361112645,True
6000000,6,S,SL,short,fifo,20.0,1144,25.9638671875,5.841458398641253,4.34058368988654,0.6338834762573242,True,0.0,59.12130152309598,59.12130152309598,59.12130152309598,70.09750078369503,True
7000000,7,S,SL,short,fifo,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,0.0,59.36715550122548,59.36715550122548,59.36715550122548,69.32075991030317,True
1,0,L,LL,long,fifo,200.0,2053,272.2432861328125,70.91288952679844,3.7491432923996637,6.646564602851868,False,58.36789322488852,627.0717110749908,568.7038178501023,627.0717110749908,850.9546743215811,True
4000001,4,S,SL,short,fifo,20.0,1138,25.971923828125,5.811583749664643,4.3642504274100675,0.634080171585083,True,58.420785736525104,124.91955550574677,66.49876976922167,124.91955550574677,69.73900499597572,True
6000001,6,S,SL,short,fifo,20.0,1138,25.971923828125,5.811583749664643,4.3642504274100675,0.634080171585083,True,59.12130152309598,125.55363567733185,66.43233415423587,125.55363567733185,69.73900499597572,True
7000001,7,S,SL,short,fifo,20.0,1147,25.9598388671875,5.856395723129558,4.3288408677053045,0.6337851285934448,True,59.36715550122548,126.41153968184814,67.04438418062266,126.41153968184814,70.2767486775547,True
3000001,3,L,LL,long,fifo,200.0,2042,272.258056640625,70.53371604289484,3.769502350853288,6.646925210952759,False,60.18718169396185,631.9532055060465,571.7660238120847,631.9532055060465,846.404592514738,True
1000001,1,S,SL,short,fifo,20.0,1145,25.9625244140625,5.846437506804022,4.336662748656966,0.6338506937026978,True,61.1791950960895,129.67345865283903,68.49426355674953,129.67345865283903,70.15725008164826,True
2000001,2,S,SL,short,fifo,20.0,1178,25.918212890625,6.010748076175374,4.210915921817531,0.6327688694000244,True,61.88875291225006,131.29146806992927,69.40271515767921,131.29146806992927,72.12897691410448,True
