request_id,npu_id,role,category,group,policy,total_k,nql,read_mib_per_layer,compute_ms_per_layer,demand_gib_s,pure_single40_gib_s_read_ms,compute_extrapolated,admission_ms,completion_ms,execution_ttft_ms,arrival_ttft_ms,slo15_ms,slo15_met
4,0,S,SL,short,once,20.0,1129,25.9840087890625,5.766771776199728,4.400210302719981,0.6343752145767212,True,726.608949117172,772.7431233267694,46.134174209597404,772.7431233267694,69.20126131439675,True
3000004,3,S,SL,short,once,20.0,1151,25.9544677734375,5.87631215578063,4.313276637297783,0.633653998374939,True,737.223418106674,784.233915352919,47.010497246244995,784.233915352919,70.51574586936756,True
4000004,4,S,SL,short,once,20.0,1129,25.9840087890625,5.766771776199728,4.400210302719981,0.6343752145767212,True,742.4200092425915,788.5541834521889,46.134174209597404,788.5541834521889,69.20126131439675,True
6000004,6,S,SL,short,once,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,752.1003758848262,798.3142158250282,46.21383994020198,798.3142158250282,69.32075991030317,True
5,0,L,LL,long,once,200.0,2047,272.2513427734375,70.70606754144755,3.7602211687325573,6.6467612981796265,False,772.7431233267694,1349.1613617309365,576.4182384041671,1349.1613617309365,848.4728104973707,True
3000005,3,S,SL,short,once,20.0,1177,25.9195556640625,6.005768968012607,4.214625339902502,0.6328016519546509,True,784.233915352919,832.2800670970198,48.046151744100825,832.2800670970198,72.06922761615128,True
4000005,4,S,SL,short,once,20.0,1156,25.94775390625,5.90120769659447,4.293969086818534,0.6334900856018066,True,788.5541834521889,835.7638450249449,47.20966157275598,835.7638450249449,70.81449235913364,True
6000005,6,S,SL,short,once,20.0,1176,25.9208984375,6.000789859849838,4.2183409137084045,0.6328344345092773,True,798.3142158250282,846.3205347038272,48.00631887879899,846.3205347038272,72.00947831819806,True
3000006,3,S,SL,short,once,20.0,1150,25.955810546875,5.8713330476178625,4.317157795616224,0.6336867809295654,True,832.2800670970198,879.250731477963,46.97066438094316,879.250731477963,70.45599657141435,True
7000006,7,L,LL,long,once,200.0,2054,272.241943359375,70.9473598639265,3.7473032586666837,6.646531820297241,False,833.8690089216569,1401.447887833069,567.5788789114121,1401.447887833069,851.368318367118,True
4000006,4,S,SL,short,once,20.0,1131,25.9813232421875,5.776729992525263,4.392171005314261,0.6343096494674683,True,835.7638450249449,881.9776849651469,46.21383994020198,881.9776849651469,69.32075991030317,True
6000006,6,L,LL,long,once,200.0,2052,272.24462890625,70.87841918967037,3.7509851158616985,6.646597385406494,False,846.3205347038272,1418.6296723040182,572.309137600191,1418.6296723040182,850.5410302760445,True
3000007,3,S,SL,short,once,20.0,1157,25.9464111328125,5.90618680475724,4.290127108996627,0.6334573030471802,True,879.250731477963,926.5002259160208,47.24949443805781,926.5002259160208,70.87424165708688,True
4000007,4,S,SL,short,once,20.0,1153,25.9517822265625,5.886270372106166,4.305534018743905,0.633588433265686,True,881.9776849651469,929.0678479419964,47.09016297684957,929.0678479419964,70.635244465274,True
