seed,start_ms,end_ms,device_U_percent,stall_percent,idle_percent,all32active,warm_mixed_card_count,cards_with_fast_short_positive_compute,mean_long_active_cards,warm_slo_percent,warm_admissions,min_per_card_fast_short_compute_fraction,min_per_card_long_compute_fraction,all32_each_true_role_at_least_5pct_compute,original_long_group_device_U_percent,original_short_group_device_U_percent
19,2000,12000,89.77423342545019,10.2257665745498,0.0,True,32,32,14.393762951029553,99.92595335061088,2701,0.05050376304169731,0.06326272749829906,True,100.0,79.54846685090041
19,2000,4000,89.67902628368762,10.320973716312377,0.0,True,25,32,14.441350104768146,99.63369963369964,546,0.05050376304169731,0.0,False,100.0,79.35805256737524
19,4000,6000,89.80820657812262,10.191793421877362,0.0,True,25,32,14.378409456349225,100.0,527,0.050503763041695494,0.0,False,100.0,79.61641315624529
19,6000,8000,89.76127987177622,10.238720128223784,0.0,True,25,32,14.36347960319939,100.0,547,0.050503763041695494,0.0,False,100.0,79.52255974355243
19,8000,10000,89.92398748800538,10.076012511994618,0.0,True,25,32,14.4471430274101,100.0,546,0.05050376304169913,0.0,False,100.0,79.84797497601076
19,10000,12000,89.69866690565914,10.301333094340857,0.0,True,25,32,14.338432563420902,100.0,535,0.05050376304169913,0.0,False,100.0,79.39733381131829
43,2000,12000,89.72795448546324,10.272045514536746,0.0,True,32,32,14.392233800448343,99.55539088551315,2699,0.05050376304169731,0.06333125270502817,True,100.0,79.4559089709265
43,2000,4000,89.72724441261346,10.272755587386543,0.0,True,25,32,14.443473024862083,99.45054945054945,546,0.05050376304169731,0.0,False,100.0,79.45448882522692
43,4000,6000,89.82511920815847,10.174880791841522,0.0,True,25,32,14.380989785919038,100.0,532,0.050503763041695494,0.0,False,100.0,79.65023841631697
43,6000,8000,89.656043893101,10.343956106899,0.0,True,25,32,14.353656840795113,100.0,544,0.050503763041695494,0.0,False,100.0,79.312087786202
43,8000,10000,89.91318687269796,10.086813127302046,0.0,True,25,32,14.452777367466323,99.8158379373849,543,0.05050376304169913,0.0,False,100.0,79.8263737453959
43,10000,12000,89.51817804074538,10.481821959254622,0.0,True,25,32,14.33027198319916,98.50187265917603,534,0.05050376304169913,0.0,False,100.0,79.03635608149075
