input,short_npu_count,long_nql,rho_ssu,capacity_feasible,strategy,start_ms,end_ms,fleet_utilization,short_utilization,long_utilization,minimum_npu_utilization,all_npus_active,mean_npu_io_stall_ms,mean_short_io_stall_ms,mean_long_io_stall_ms,full_run_utilization,makespan_ms,admission_slo_passed,total_request_count,wall_seconds,input_fingerprint
m1_long1024,1,1024,0.6197106541813622,True,baseline_native,1000.0,2000.0,0.8671241866590468,0.4684967466361871,1.0,0.4684967466361871,True,132.87581334095321,531.5032533638129,0.0,0.6632363844163135,5694.337993921516,795,906,11.506254134234041,15624d31ae7ea0373747aa234e8e47421fc5c4f349e920035c7a9628b5b93b69
m1_long1024,1,1024,0.6197106541813622,True,baseline_native,2000.0,3000.0,0.8648201737343277,0.4592806949373107,1.0,0.4592806949373107,True,135.17982626567232,540.7193050626893,0.0,0.6632363844163135,5694.337993921516,795,906,11.506254134234041,15624d31ae7ea0373747aa234e8e47421fc5c4f349e920035c7a9628b5b93b69
m1_long1024,1,1024,0.6197106541813622,True,once_native,1000.0,2000.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.9835579046357457,3839.826943520548,906,906,24.17038371320814,15624d31ae7ea0373747aa234e8e47421fc5c4f349e920035c7a9628b5b93b69
m1_long1024,1,1024,0.6197106541813622,True,once_native,2000.0,3000.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.9835579046357457,3839.826943520548,906,906,24.17038371320814,15624d31ae7ea0373747aa234e8e47421fc5c4f349e920035c7a9628b5b93b69
m1_long1536,1,1536,0.43123663215667235,True,baseline_native,1000.0,2000.0,0.9106095096905348,0.6424380387621389,1.0,0.6424380387621389,True,89.39049030946526,357.5619612378611,0.0,0.7508329888882536,5386.694391360098,879,958,8.810788918286562,3a7a29daaf0641723171917f55b73f709e300e048fdcc5eeb9b49b8ef52d37d7
m1_long1536,1,1536,0.43123663215667235,True,baseline_native,2000.0,3000.0,0.908511386964183,0.6340455478567317,1.0,0.6340455478567317,True,91.48861303581708,365.95445214326827,0.0,0.7508329888882536,5386.694391360098,879,958,8.810788918286562,3a7a29daaf0641723171917f55b73f709e300e048fdcc5eeb9b49b8ef52d37d7
m1_long1536,1,1536,0.43123663215667235,True,once_native,1000.0,2000.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.9848406879731126,4106.763560324098,958,958,18.415987133979797,3a7a29daaf0641723171917f55b73f709e300e048fdcc5eeb9b49b8ef52d37d7
m1_long1536,1,1536,0.43123663215667235,True,once_native,2000.0,3000.0,1.0,1.0,1.0,1.0,True,0.0,0.0,0.0,0.9848406879731126,4106.763560324098,958,958,18.415987133979797,3a7a29daaf0641723171917f55b73f709e300e048fdcc5eeb9b49b8ef52d37d7
m1_long256,1,256,2.273135923487542,False,baseline_native,1000.0,2000.0,0.34585988298735937,0.03273034837484284,0.45023639452486486,0.03273034837484284,True,654.1401170126406,967.2696516251572,549.7636054751351,0.31781122939736306,10278.513958403102,711,909,36.61572645511478,61418eb5996cbda794f87678ffb07c21cae9e3c14438d46dca0c588e800d5349
m1_long256,1,256,2.273135923487542,False,baseline_native,2000.0,3000.0,0.3458598829873595,0.03273034837484284,0.450236394524865,0.03273034837484284,True,654.1401170126405,967.2696516251572,549.7636054751349,0.31781122939736306,10278.513958403102,711,909,36.61572645511478,61418eb5996cbda794f87678ffb07c21cae9e3c14438d46dca0c588e800d5349
m1_long256,1,256,2.273135923487542,False,once_native,1000.0,2000.0,0.5695296681815724,1.0,0.4260395575754298,0.424698818643138,True,430.4703318184278,0.0,573.9604424245703,0.43847188899941664,7450.02642005721,768,909,109.16817093687132,61418eb5996cbda794f87678ffb07c21cae9e3c14438d46dca0c588e800d5349
m1_long256,1,256,2.273135923487542,False,once_native,2000.0,3000.0,0.5693188814961272,1.0,0.425758508661503,0.424921215493724,True,430.68111850387277,0.0,574.241491338497,0.43847188899941664,7450.02642005721,768,909,109.16817093687132,61418eb5996cbda794f87678ffb07c21cae9e3c14438d46dca0c588e800d5349
