condition,policy,seed,request_id,admission_ms,completion_ms,own_compute_ms,admission_latency_ms,raw_ratio,plotted_ratio,slo_1p5_pass
full,asu_baseline,7,4,2040.2509203956877,2606.1752231249525,565.9243027292647,565.9243027292648,1.0000000000000002,1.0,True
full,asu_baseline,7,5,2606.1752231249525,2844.395443400076,32.085964974046185,238.22022027512367,7.424436836100025,7.424436836100025,False
full,asu_baseline,7,6,2844.395443400076,3126.02585155144,101.00752608339441,281.630408151364,2.788212117172761,2.788212117172761,False
full,asu_baseline,7,7,3126.02585155144,3382.192989786795,32.085964974046185,256.16713823535474,7.983775412164296,7.983775412164296,False
full,asu_baseline,7,8,3382.192989786795,3637.349780384448,101.00752608339441,255.15679059765307,2.5261166221117928,2.5261166221117928,False
full,asu_baseline,7,9,3637.349780384448,3901.915409461038,72.35128428205302,264.5656290765901,3.6566818640732337,3.6566818640732337,False
full,asu_baseline,7,10,3901.915409461038,4193.922474280374,72.35128428205302,292.0070648193364,4.035962425780599,4.035962425780599,False
full,asu_baseline,7,1000008,2537.4033958327004,3668.0897020682332,1130.6863062355314,1130.6863062355328,1.000000000000001,1.0,True
full,asu_baseline,7,1000009,3668.0897020682332,3956.7566130614305,243.80186035081854,288.66691099319723,1.1840225935020354,1.1840225935020354,True
full,asu_baseline,7,1000010,3956.7566130614305,4218.6074582360125,15.979837567787547,261.850845174582,16.38632708647964,16.38632708647964,False
full,asu_baseline,7,2000007,2172.7591897953207,2392.8397379004455,114.952820977,220.08054810512476,1.914529336771639,1.914529336771639,False
full,asu_baseline,7,2000008,2392.8397379004455,2612.1217099449973,15.979837567787547,219.28197204455182,13.722415582407702,13.722415582407702,False
full,asu_baseline,7,2000009,2612.1217099449973,2901.493151966479,101.00752608339441,289.3714420214819,2.8648503061303514,2.8648503061303514,False
full,asu_baseline,7,2000010,2901.493151966479,3155.39286964433,58.92951067026337,253.89971767785073,4.308532597505039,4.308532597505039,False
full,asu_baseline,7,2000011,3155.39286964433,3451.9661162352586,243.80186035081854,296.57324659092865,1.2164519424264226,1.2164519424264226,True
full,asu_baseline,7,2000012,3451.9661162352586,3693.6252656213383,229.85653940820262,241.65914938607966,1.0513477232723702,1.0513477232723702,True
