condition,label,policy,seeds,mean_U_percent,min_U_percent,max_U_percent,mean_slo_1p5_percent,mean_all_disks_underload_percent,mean_all_disks_overload_percent,mean_any_disk_overload_percent,mean_total_mean_demand_GiB_s,mean_total_actual_supply_GiB_s
full,持续过载,asu_baseline,"7,19,43",60.15810657366267,56.185520922456206,63.05796619661301,38.700766784740765,0.0,100.0,100.0,375.1448359734337,115.71169112075619
full,持续过载,od_baseline,"7,19,43",60.22430751436542,59.34285884690564,61.21773759528999,34.62022128671698,0.0,100.0,100.0,393.90670242128556,115.4722678471653
under,持续欠载,asu_baseline,"7,19,43",100.0,100.0,100.0,100.0,100.0,0.0,0.0,75.37565939773226,74.9337707343824
under,持续欠载,od_baseline,"7,19,43",100.0,100.0,100.0,100.0,100.0,0.0,0.0,75.32375466840857,74.78369669417253
semi,局部欠载,asu_baseline,"7,19,43",98.73235360007972,98.3616992449969,99.37043630788132,93.20327624720774,67.52444162743902,21.532827555228202,32.47555837256098,107.07323034328736,98.51131078168454
semi,局部欠载,od_baseline,"7,19,43",98.42464334989904,98.41033790018516,98.44046450514662,93.52907085413078,66.15465402946083,24.560295134522725,33.845345970539164,110.86455403753766,98.59334238908319
