start_ms,end_ms,predecessor,target_class,L0_stall_ms,L0_compute_starts_inside,stalled_L0_intersecting_window
0.0,8317.860476288413,initial,A,334.5318426513672,16,16
0.0,8317.860476288413,initial,B,120.04950224609375,16,16
0.0,8317.860476288413,A,A,6627.57172256588,288,288
0.0,8317.860476288413,A,B,1152.8912429031034,96,89
0.0,8317.860476288413,B,A,55.30594288433821,80,24
0.0,8317.860476288413,B,B,3.155876478177561,656,3
2000.0,4000.0,initial,A,0.0,0,0
2000.0,4000.0,initial,B,0.0,0,0
2000.0,4000.0,A,A,2258.908026101082,96,96
2000.0,4000.0,A,B,383.43907595518203,32,29
2000.0,4000.0,B,A,13.503898273278537,32,5
2000.0,4000.0,B,B,0.0,128,0
2000.0,6000.0,initial,A,0.0,0,0
2000.0,6000.0,initial,B,0.0,0,0
2000.0,6000.0,A,A,3079.684670638155,131,145
2000.0,6000.0,A,B,383.43907595518203,32,29
2000.0,6000.0,B,A,27.726582599493668,64,11
2000.0,6000.0,B,B,0.0,336,0
4000.0,6000.0,initial,A,0.0,0,0
4000.0,6000.0,initial,B,0.0,0,0
4000.0,6000.0,A,A,820.7766445370726,35,49
4000.0,6000.0,A,B,0.0,0,0
4000.0,6000.0,B,A,14.22268432621513,32,6
4000.0,6000.0,B,B,0.0,208,0
6000.0,8000.0,initial,A,0.0,0,0
6000.0,8000.0,initial,B,0.0,0,0
6000.0,8000.0,A,A,1296.2635717250996,61,61
6000.0,8000.0,A,B,381.0826436287316,32,32
6000.0,8000.0,B,A,0.0,0,0
6000.0,8000.0,B,B,3.155876478177561,179,3
