policy,SLO_multiple,CDF_percent
Baseline Random,0.5,0.0
Baseline Random,0.75,0.0
Baseline Random,1.0,76.1627056983544
Baseline Random,1.000168847923851,76.35763747223355
Baseline Random,1.0004375152260798,76.55143592184595
Baseline Random,1.0007606640536961,76.75976925517928
Baseline Random,1.0007730612510737,76.96810258851262
Baseline Random,1.0010903866728251,77.17643592184595
Baseline Random,1.0011823494427534,77.3847692551793
Baseline Random,1.0012157673139703,77.5785677047917
Baseline Random,1.0014019372235208,77.78690103812504
Baseline Random,1.0017249107933466,77.98183281200416
Baseline Random,1.0021880736147348,78.1767645858833
Baseline Random,1.0029704292927253,78.38509791921665
Baseline Random,1.003109489122109,78.58002969309578
Baseline Random,1.0031594786827718,78.7738281427082
Baseline Random,1.0033872858046196,78.98216147604153
Baseline Random,1.00413311541389,79.17709324992067
Baseline Random,1.0050047560434396,79.38542658325399
Baseline Random,1.0054137094586486,79.5792250328664
Baseline Random,1.005765937271536,79.78755836619973
Baseline Random,1.0064124544747586,79.98249014007888
Baseline Random,1.0067438425746036,80.1762885896913
Baseline Random,1.0072594815120213,80.37122036357042
Baseline Random,1.007670999705364,80.56501881318283
Baseline Random,1.0077455400166968,80.77335214651615
Baseline Random,1.0081632845912722,80.98168547984949
Baseline Random,1.0084773869997845,81.19001881318283
Baseline Random,1.0084817673991882,81.38495058706198
Baseline Random,1.008831973569438,81.57874903667438
Baseline Random,1.009300431905685,81.78708237000771
Baseline Random,1.0098242114368683,81.98088081962011
Baseline Random,1.0101056687544592,82.17581259349926
Baseline Random,1.0102213394156034,82.36961104311166
Baseline Random,1.011214522394239,82.56454281699078
Baseline Random,1.0115831039848049,82.77287615032414
Baseline Random,1.0121981009124263,82.98120948365747
Baseline Random,1.0129992839824786,83.1895428169908
Baseline Random,1.0134383932097286,83.39787615032414
Baseline Random,1.0143606200960333,83.59167459993654
Baseline Random,1.0161693755889993,83.80000793326987
Baseline Random,1.0166481269963583,84.0083412666032
Baseline Random,1.0170878514044894,84.21667459993652
Baseline Random,1.0171593714557912,84.41160637381567
Baseline Random,1.017425407083454,84.60540482342807
Baseline Random,1.0182695222988394,84.81373815676142
Baseline Random,1.0184638343381058,85.00753660637382
Baseline Random,1.019432614771043,85.2013350559862
Baseline Random,1.0194790149152149,85.39513350559864
Baseline Random,1.0269989914097295,85.59006527947776
Baseline Random,1.0276064743206166,85.7983986128111
Baseline Random,1.0287464742297732,85.9921970624235
Baseline Random,1.0325956612530074,86.1859955120359
Baseline Random,1.0328749277670846,86.3797939616483
Baseline Random,1.0331590300138733,86.57359241126072
Baseline Random,1.0340156561396978,86.78192574459403
Baseline Random,1.037241552722044,86.97685751847318
Baseline Random,1.0378643051179226,87.18519085180652
Baseline Random,1.0418288838968808,87.39352418513985
Baseline Random,1.0550325542071328,87.6018575184732
Baseline Random,1.0574788347369597,87.79678929235232
Baseline Random,1.0586849265775526,87.99058774196475
Baseline Random,1.0588718292163453,88.19892107529806
Baseline Random,1.0597184114196894,88.4072544086314
Baseline Random,1.060785465013222,88.61558774196473
Baseline Random,1.0702717418231513,88.80938619157713
Baseline Random,1.075299163224768,89.01771952491048
Baseline Random,1.0760207883240247,89.2260528582438
Baseline Random,1.0778176474767296,89.42098463212295
Baseline Random,1.0858625228667635,89.61478308173535
Baseline Random,1.093315742968348,89.82311641506868
Baseline Random,1.0963504438380978,90.031449748402
Baseline Random,1.0983149878112075,90.22638152228114
Baseline Random,1.1,90.22638152228114
Baseline Random,1.1001679416344379,90.42131329616029
Baseline Random,1.1023043418639147,90.62964662949362
Baseline Random,1.1036873418069626,90.82344507910604
Baseline Random,1.111643802795809,91.01724352871842
Baseline Random,1.1158329074497144,91.21217530259757
Baseline Random,1.1174402698792578,91.40710707647672
Baseline Random,1.1263393926220715,91.60203885035587
Baseline Random,1.1349183096552802,91.8103721836892
Baseline Random,1.1508564843777163,92.00530395756834
Baseline Random,1.1539190889438498,92.21363729090166
Baseline Random,1.185444905449574,92.40743574051407
Baseline Random,1.1938165232700575,92.60236751439321
Baseline Random,1.1950067729523515,92.81070084772655
Baseline Random,1.2007702824150859,93.01903418105987
Baseline Random,1.21655419034625,93.2128326306723
Baseline Random,1.222553121582906,93.42116596400561
Baseline Random,1.2336924358830967,93.61496441361803
Baseline Random,1.2492495323815973,93.80989618749717
Baseline Random,1.25,93.80989618749717
Baseline Random,1.2702476178702349,94.0182295208305
Baseline Random,1.2752094664502975,94.2120279704429
Baseline Random,1.283265240532214,94.42036130377623
Baseline Random,1.2952442733955856,94.61529307765538
Baseline Random,1.3050212549394649,94.81022485153451
Baseline Random,1.3053320173362386,95.01855818486786
Baseline Random,1.3615190872036445,95.21235663448026
Baseline Random,1.3682493515036729,95.40615508409266
Baseline Random,1.3829810771774176,95.59995353370506
Baseline Random,1.3981011354112498,95.8082868670384
Baseline Random,1.4029273306936771,96.00321864091755
Baseline Random,1.4818619501319843,96.19815041479667
Baseline Random,1.5,96.19815041479667
Baseline Random,1.527268093542031,96.39194886440909
Baseline Random,1.6051399304831908,96.6002821977424
Baseline Random,1.6386785923262923,96.79521397162155
Baseline Random,1.6492957009810125,96.98901242123398
Baseline Random,1.6824906551922327,97.1839441951131
Baseline Random,1.75,97.1839441951131
Baseline Random,1.7589975803368034,97.39227752844644
Baseline Random,1.766966718709326,97.58720930232558
Baseline Random,1.806486822283236,97.78100775193798
Baseline Random,1.9273858624075588,97.98934108527132
Baseline Random,1.9539932059002023,98.18313953488372
Baseline Random,1.9656395751735793,98.37693798449612
Baseline Random,1.9828918091143202,98.58527131782947
Baseline Random,2.0,98.58527131782947
Baseline Random,2.1025020453006924,98.79360465116278
Baseline Random,2.4112120798069667,98.9874031007752
Baseline Random,2.4404138923294467,99.18120155038758
Baseline Random,3.052389161560024,99.38953488372094
Baseline Random,3.2413401950332696,99.58333333333333
Baseline Random,3.786695639392126,99.79166666666667
Baseline Random,4.024466084467165,100.0
Baseline Random,4.25,100.0
流量分配 Random,0.5,0.0
流量分配 Random,0.75,0.0
流量分配 Random,1.0,84.57698061411762
流量分配 Random,1.0000547330271672,84.7653045312551
流量分配 Random,1.0004738189943299,84.97761875630817
流量分配 Random,1.000581401218035,85.16594267344564
流量分配 Random,1.0008609067423235,85.35426659058312
流量分配 Random,1.0009618840721672,85.5665808156362
流量分配 Random,1.0015301986774006,85.77889504068928
流量分配 Random,1.001552806671298,85.99120926574236
流量分配 Random,1.001813038363464,86.20352349079545
流量分配 Random,1.0018280394164403,86.39399968127162
流量分配 Random,1.0018805649143945,86.6063139063247
流量分配 Random,1.0021915490864537,86.79463782346218
流量分配 Random,1.0025171264481747,87.00695204851526
流量分配 Random,1.0033020853980203,87.21926627356834
流量分配 Random,1.003331842103151,87.40974246404454
流量分配 Random,1.0037712362568878,87.60021865452072
流量分配 Random,1.0039053347923024,87.81253287957381
流量分配 Random,1.004217802809759,88.02484710462689
流量分配 Random,1.0051217838632471,88.21317102176435
流量分配 Random,1.0051569710358255,88.40149493890182
流量分配 Random,1.005490024122309,88.58981885603932
流量分配 Random,1.005656148768447,88.78029504651549
流量分配 Random,1.0057734736704498,88.97077123699168
流量分配 Random,1.0066702529684133,89.15909515412915
流量分配 Random,1.0067002777349567,89.37140937918224
流量分配 Random,1.0072171895814903,89.5597332963197
流量分配 Random,1.0074308238637513,89.75020948679591
流量分配 Random,1.008546046485844,89.9406856772721
流量分配 Random,1.0085996796263978,90.12900959440957
流量分配 Random,1.0089172561316284,90.31733351154706
流量分配 Random,1.0091977097901832,90.52964773660014
流量分配 Random,1.0099984106666569,90.72012392707633
流量分配 Random,1.0102086166600983,90.91060011755249
流量分配 Random,1.010644076222968,91.10107630802871
流量分配 Random,1.011620832481169,91.29155249850488
流量分配 Random,1.0121902524552866,91.50386672355796
流量分配 Random,1.0126814160076252,91.69434291403417
流量分配 Random,1.0128024535777205,91.90665713908723
流量分配 Random,1.014267348776326,92.11897136414032
流量分配 Random,1.016238621862482,92.30729528127779
流量分配 Random,1.0162484495693642,92.51960950633085
流量分配 Random,1.0168977284768344,92.70793342346835
流量分配 Random,1.017373792234298,92.89840961394454
流量分配 Random,1.0175360618393874,93.11072383899761
流量分配 Random,1.018320226912728,93.3230380640507
流量分配 Random,1.019095299163723,93.51136198118817
流量分配 Random,1.02089062465593,93.72367620624125
