start_ms,end_ms,SSU0_GiB_s,SSU1_GiB_s,SSU2_GiB_s
2000.0,2002.5725319531489,35.1466976041717,35.13147448392329,35.121585205197086
2002.5725319531489,2006.3095041443298,35.050581736999455,35.029488382525585,35.02546933802484
2006.3095041443298,2021.4188506849798,34.345259706692445,34.318296117993114,34.32014730771783
2021.4188506849798,2037.4227224281842,34.62148237495416,34.59451878625483,34.59636997597955
2037.4227224281842,2061.6345477667383,32.9181509106994,32.90215031566767,32.89303851172479
2061.6345477667383,2063.6664871046532,24.135933582101437,24.11324760440369,24.122694882733146
2063.6664871046532,2071.914994536301,25.615306343911737,25.575362403707885,25.602067644543446
2071.914994536301,2073.167068448917,25.615306343911737,25.575362403707885,25.602067644543446
2073.167068448917,2121.724339737292,34.21240935687557,34.179150799337734,34.20585604017329
2121.724339737292,2132.0965791191798,32.82915246223751,32.819022101431244,32.82259914553523
2132.0965791191798,2133.3235900765394,24.056762562945558,24.046632202139293,24.050209246243277
2133.3235900765394,2143.1445898952466,24.237596095376585,24.232148394992073,24.231042778674304
2143.1445898952466,2169.5565548072514,32.79888303368221,32.793435333297694,32.79232971697993
2169.5565548072514,2182.4829154201543,32.12455716327205,32.119109462887536,32.11800384656977
2182.4829154201543,2202.0741005655095,32.28563389067684,32.27612042291562,32.27501480659785
2202.0741005655095,2207.8582675585462,23.115140789236456,23.105627321475232,23.104521705157467
2207.8582675585462,2211.425769533986,23.095165832839974,23.088580667129534,23.084546748760985
2211.425769533986,2218.9475274832703,23.007940266677867,23.001355100967427,22.994392880548094
2218.9475274832703,2219.8782862203734,23.640816860916146,23.633044121401994,23.626081900982662
2219.8782862203734,2231.3152679201958,23.965443297537234,23.957670558023082,23.95070833760375
2231.3152679201958,2235.0522401113767,33.417166581784,33.39670499422297,33.40243162185052
2235.0522401113767,2247.0494000961794,34.12248861209101,34.10789725875544,34.10775365215753
2247.0494000961794,2262.4866911041463,34.33359157307734,34.319000219741774,34.31885661314386
2262.4866911041463,2263.8080337449746,34.15830468674922,34.150398716079664,34.15025510948175
2263.8080337449746,2268.8252311381643,34.14572301407771,34.1360125765594,34.13767343681024
2268.8252311381643,2288.0904539459793,33.847394486929275,33.834755747360184,33.839344909661804
2288.0904539459793,2289.758444936978,33.823415811575266,33.810777072006175,33.81812663878778
2289.758444936978,2303.6665522022486,33.833469137502995,33.822017971737615,33.82936753851922
2303.6665522022486,2315.716854887118,26.174835999847414,26.18194391635437,26.17073440086364
2315.716854887118,2329.7407283045386,25.626524929568486,25.633632846075443,25.62061886373596
2329.7407283045386,2334.831107197373,25.71124259482727,25.717162937530517,25.705336528994742
2334.831107197373,2350.1950678900143,25.71124259482727,25.717162937530517,25.705336528994742
2350.1950678900143,2371.5616248068663,26.385568465237423,26.39148880794067,26.379662399404896
2371.5616248068663,2372.1904975684934,35.27697122167969,35.25502862316284,35.27106515584717
2372.1904975684934,2377.439512081146,35.217880595672604,35.194133530307006,35.21017006299133
2377.439512081146,2383.778052115164,34.723661526351925,34.69991446098633,34.71008075944519
2383.778052115164,2394.069720159577,34.384648950210575,34.36270635169373,34.372872650152594
2394.069720159577,2404.674078285643,34.31952924293518,34.29758664441834,34.3077529428772
2404.674078285643,2405.1453937950387,33.296880833926394,33.27493823540955,33.28510453386841
2405.1453937950387,2419.7537171955782,33.94722802898254,33.9252854304657,33.93821213340454
2419.7537171955782,2449.7839281743727,25.043243599868767,25.047359475723262,25.034227704290764
2449.7839281743727,2455.2276298848033,25.254346560855094,25.25846243670959,25.24533066527709
2455.2276298848033,2459.9840170116695,24.54902453054809,24.547270172177118,24.540008634970086
2459.9840170116695,2473.730139352573,25.241452540887437,25.239698182516467,25.235197049789413
2473.730139352573,2478.7122278925626,25.615577067681865,25.613822709310895,25.612081981063824
2478.7122278925626,2478.854100462194,25.508376545123276,25.506622186752306,25.504881458505235
2478.854100462194,2487.548248226175,25.615577067681865,25.613822709310895,25.612081981063824
2487.548248226175,2490.8512604469965,34.86909531102898,34.88471246112664,34.88297173287957
2490.8512604469965,2499.1890447956207,34.976295833587564,34.991912983685225,34.990172255438154
2499.1890447956207,2522.2656994228028,36.298657635369786,36.31427478546745,36.29121032733756
2522.2656994228028,2557.2468974282597,36.97298350577994,36.988600655877605,36.96553619774772
2557.2468974282597,2559.899532508228,35.66320337666923,35.67882052676689,35.67888426536857
2559.899532508228,2570.097914492762,27.042561727560397,27.03961979538572,27.0396835339874
2570.097914492762,2588.682960329573,27.65176789069516,27.648825958520483,27.648889697122165
2588.682960329573,2602.61546025102,36.21854421051634,36.21560227834166,36.18780307572325
2602.61546025102,2606.1822480481933,36.29202097604369,36.28907904386901,36.2612798412506
2606.1822480481933,2636.8750527182847,38.32867200786438,38.3257300756897,38.30380110729675
2636.8750527182847,2637.8715805103943,29.937182574371324,29.927555259530628,29.933489232357772
2637.8715805103943,2666.408449272811,29.401453176763905,29.39182586192321,29.397759834750353
2666.408449272811,2683.9703658518506,37.642038028216554,37.657345352545164,37.66620762742309
2683.9703658518506,2688.63181363149,38.13625709753723,38.157434656091304,38.16042669674377
2688.63181363149,2693.58578852519,38.534360299685666,38.55553785823974,38.5585298988922
2693.58578852519,2714.600541661523,38.59948000696106,38.62065756551513,38.6236496061676
2714.600541661523,2722.51408824338,30.271669589346303,30.264984206680282,30.267976247332747
2722.51408824338,2722.8459373646115,29.683681697085564,29.679756718899522,29.682748759551988
2722.8459373646115,2772.731857254004,29.705787555972282,29.704790879837024,29.704854618438706
2772.731857254004,2777.3249477602403,29.779264321499628,29.77826764536437,29.77833138396605
2777.3249477602403,2777.796263269636,29.779264321499628,29.77826764536437,29.77833138396605
2777.796263269636,2784.8718302125353,29.17841521661682,29.17741854048156,29.177482279083243
2784.8718302125353,2798.9231868288502,28.52109915693055,28.521906947644045,28.521970686245727
2798.9231868288502,2803.5846346084895,28.52109915693055,28.521906947644045,28.521970686245727
2803.5846346084895,2813.899774843579,28.2077136200409,28.208521410754393,28.207397575552363
