start_s,end_s,supply_GiB_s
2.0,2.01,40.0
2.01,2.02,40.0
2.02,2.03,40.0
2.03,2.04,40.0
2.04,2.05,40.0
2.05,2.06,40.0
2.06,2.07,40.0
2.07,2.08,40.0
2.08,2.09,40.0
2.09,2.1,40.0
2.1,2.11,40.0
2.11,2.12,40.0
2.12,2.13,33.344072737521856
2.13,2.14,40.0
2.14,2.15,40.0
2.15,2.16,40.0
2.16,2.17,40.0
2.17,2.18,37.75999045194476
2.18,2.19,31.515049594190714
2.19,2.2,19.059552162134423
2.2,2.21,26.524238487580078
2.21,2.22,28.65213090510042
2.22,2.23,40.0
2.23,2.24,10.040043337929092
2.24,2.25,25.685555999285498
2.25,2.26,31.330185014026938
2.26,2.27,24.21492067852887
2.27,2.2800000000000002,36.3782485068532
2.2800000000000002,2.29,40.0
2.29,2.3,27.746278870454262
2.3,2.31,33.26069825131344
2.31,2.32,30.601488995303953
2.32,2.33,36.63841568204589
2.33,2.34,40.0
2.34,2.35,40.0
2.35,2.36,27.459332513906702
2.36,2.37,36.21033510290363
2.37,2.38,21.890647442538466
2.38,2.39,14.371644739525436
2.39,2.4,39.206124188518515
2.4,2.41,40.0
2.41,2.42,40.0
2.42,2.43,40.0
2.43,2.44,40.0
2.44,2.45,40.0
2.45,2.46,40.0
2.46,2.47,38.65954320552191
2.47,2.48,35.20339233271079
2.48,2.49,18.290308119509064
2.49,2.5,20.694770342375705
2.5,2.51,40.0
2.51,2.52,40.0
2.52,2.5300000000000002,26.237745124502908
2.5300000000000002,2.54,34.71061200207987
2.54,2.55,32.32273843590883
2.55,2.56,32.261821130690805
2.56,2.5700000000000003,40.0
2.5700000000000003,2.58,40.0
2.58,2.59,26.321348937186485
2.59,2.6,40.0
2.6,2.61,18.650016466264788
2.61,2.62,38.46432379144244
2.62,2.63,40.0
2.63,2.64,13.975026587539105
2.64,2.65,19.99436948261973
2.65,2.66,40.0
2.66,2.67,40.0
2.67,2.68,40.0
2.68,2.69,32.020310973442975
2.69,2.7,27.122838811208567
2.7,2.71,40.0
2.71,2.7199999999999998,40.0
2.7199999999999998,2.73,33.516787516833574
2.73,2.74,32.936518274791524
2.74,2.75,37.199141272289125
2.75,2.76,33.35061609681907
