policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
Baseline Random,7,9000009,9,160,4096,LL,2650.8976473128364,3566.8350217435454,915.937374430709,915.9373744307104,1.0
Baseline Random,7,9000010,9,80,2048,SL,3566.8350217435454,3810.6368820943626,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,9000011,9,32,256,SS,3810.6368820943626,3849.6342996919593,38.99741759759672,15.979837567787547,2.4404138923294467
Baseline Random,7,9000012,9,32,4096,SL,3849.6342996919593,4085.9619229063924,236.32762321443306,228.74273596704626,1.0331590300138733
Baseline Random,7,10000005,10,200,256,LS,2449.740575800729,2522.0918600827817,72.3512842820528,72.35128428205302,1.0
Baseline Random,7,10000006,10,200,2048,LL,2522.0918600827817,3088.016162812047,565.924302729265,565.9243027292647,1.0
Baseline Random,7,10000007,10,128,256,LS,3088.016162812047,3147.470382661382,59.454219849335004,48.19209238871334,1.2336924358830967
Baseline Random,7,10000008,10,128,4096,LL,3147.470382661382,3892.5136836691263,745.0433010077445,744.1386016188327,1.0012157673139703
Baseline Random,7,10000009,10,32,4096,SL,3892.5136836691263,4121.256419636174,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,11000010,11,80,2048,SL,2349.6575036053437,2593.459363956161,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,11000011,11,160,4096,LL,2593.459363956161,3509.3967383868694,915.9373744307086,915.9373744307104,1.0
Baseline Random,7,11000012,11,32,2048,SL,3509.3967383868694,3624.349559363869,114.95282097699965,114.952820977,1.0
Baseline Random,7,11000013,11,128,4096,LL,3624.349559363869,4368.4881609827025,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,12000006,12,160,256,LS,2151.7739647135645,2241.7751261283024,90.00116141473791,58.92951067026337,1.527268093542031
Baseline Random,7,12000007,12,32,2048,SL,2241.7751261283024,2356.727947105302,114.95282097699965,114.952820977,1.0
Baseline Random,7,12000008,12,80,2048,SL,2356.727947105302,2600.529807456119,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,12000009,12,200,2048,LL,2600.529807456119,3166.4541101853843,565.924302729265,565.9243027292647,1.0
Baseline Random,7,12000010,12,160,2048,LL,3166.4541101853843,3625.004291899649,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,12000011,12,32,4096,SL,3625.004291899649,3853.7470278666965,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,12000012,12,128,2048,LL,3853.7470278666965,4226.397897341295,372.6508694745985,372.6508694745985,1.0
Baseline Random,7,13000003,13,200,2048,LL,2104.3283868582703,2670.2526895875353,565.924302729265,565.9243027292647,1.0
Baseline Random,7,13000004,13,128,4096,LL,2670.2526895875353,3414.391291206369,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,13000005,13,80,2048,SL,3414.391291206369,3658.193151557186,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,13000006,13,128,2048,LL,3658.193151557186,4030.844021031783,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,14000008,14,200,4096,LL,2300.580138141051,3431.2664443765843,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,7,14000009,14,160,2048,LL,3431.2664443765843,3889.8166260908492,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,14000010,14,128,2048,LL,3889.8166260908492,4262.467495565448,372.65086947459895,372.6508694745985,1.0
Baseline Random,7,15000006,15,32,1024,SL,2505.4144237394685,2563.4722763721074,58.05785263263897,58.057852632638046,1.0
Baseline Random,7,15000007,15,160,4096,LL,2563.4722763721074,3479.409650802816,915.9373744307086,915.9373744307104,1.0
Baseline Random,7,15000008,15,64,2048,SL,3479.409650802816,3680.261794140224,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,15000009,15,200,4096,LL,3680.261794140224,4810.948100375757,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,7,16000010,16,200,4096,LL,2008.4807995032954,3142.73948502028,1134.2586855169845,1130.6863062355314,1.0031594786827718
Baseline Random,7,16000011,16,200,2048,LL,3142.73948502028,3708.663787749545,565.924302729265,565.9243027292647,1.0
Baseline Random,7,16000012,16,64,2048,SL,3708.663787749545,3909.515931086953,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,16000013,16,160,1024,LL,3909.515931086953,4139.372470495156,229.8565394082034,229.85653940820262,1.0
Baseline Random,7,17000006,17,32,4096,SL,2066.6170578115716,2295.359793778619,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,17000007,17,80,2048,SL,2295.359793778619,2539.161654129436,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,17000008,17,200,2048,LL,2539.161654129436,3105.085956858701,565.924302729265,565.9243027292647,1.0
Baseline Random,7,17000009,17,200,2048,LL,3105.085956858701,3671.010259587966,565.924302729265,565.9243027292647,1.0
Baseline Random,7,17000010,17,32,2048,SL,3671.010259587966,3792.709078423884,121.69881883591779,114.952820977,1.0586849265775526
Baseline Random,7,17000011,17,64,4096,SL,3792.709078423884,4193.250438109394,400.5413596855101,400.5413596855101,1.0
Baseline Random,7,18000009,18,80,2048,SL,2166.6625902812398,2410.464450632057,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,18000010,18,128,4096,LL,2410.464450632057,3154.6030522508904,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,18000011,18,128,2048,LL,3154.6030522508904,3527.2539217254875,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,18000012,18,64,2048,SL,3527.2539217254875,3728.1060650628956,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,18000013,18,128,4096,LL,3728.1060650628956,4472.244666681729,744.138601618833,744.1386016188327,1.0
Baseline Random,7,19000008,19,128,4096,LL,2116.651856995165,2860.7904586139985,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,19000009,19,200,2048,LL,2860.7904586139985,3426.7147613432635,565.924302729265,565.9243027292647,1.0
Baseline Random,7,19000010,19,80,4096,SL,3426.7147613432635,3913.155588127279,486.44082678401537,486.44082678401566,1.0
Baseline Random,7,19000011,19,160,2048,LL,3913.155588127279,4371.705769841544,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,20000008,20,80,2048,SL,2399.700156975153,2643.50201732597,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,20000009,20,32,4096,SL,2643.50201732597,2872.2447532930173,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,20000010,20,32,2048,SL,2872.2447532930173,2987.197574270017,114.95282097699965,114.952820977,1.0
Baseline Random,7,20000011,20,32,2048,SL,2987.197574270017,3102.1503952470166,114.95282097699965,114.952820977,1.0
Baseline Random,7,20000012,20,32,1024,SL,3102.1503952470166,3161.2199295961695,59.069534349152946,58.057852632638046,1.017425407083454
Baseline Random,7,20000013,20,80,256,SS,3161.2199295961695,3205.594211998253,44.37428240208328,32.085964974046185,1.3829810771774176
Baseline Random,7,20000014,20,64,2048,SL,3205.594211998253,3410.349437663076,204.75522566482323,200.85214333740902,1.019432614771043
Baseline Random,7,20000015,20,80,2048,SL,3410.349437663076,3654.151298013893,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,20000016,20,128,2048,LL,3654.151298013893,4026.8021674884903,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,21000006,21,32,2048,SL,2277.3864687790865,2392.339289756086,114.95282097699965,114.952820977,1.0
Baseline Random,7,21000007,21,128,256,LS,2392.339289756086,2445.9117306037624,53.57244084767626,48.19209238871334,1.111643802795809
Baseline Random,7,21000008,21,64,2048,SL,2445.9117306037624,2646.7638739411705,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,21000009,21,200,2048,LL,2646.7638739411705,3212.6881766704355,565.924302729265,565.9243027292647,1.0
Baseline Random,7,21000010,21,32,1024,SL,3212.6881766704355,3270.7460293030745,58.05785263263897,58.057852632638046,1.0
Baseline Random,7,21000011,21,160,4096,LL,3270.7460293030745,4187.084140281234,916.3381109781594,915.9373744307104,1.0004375152260798
Baseline Random,7,22000006,22,64,4096,SL,2136.9270602760016,2537.468419961512,400.54135968551054,400.5413596855101,1.0
Baseline Random,7,22000007,22,80,2048,SL,2537.468419961512,2781.2702803123293,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,22000008,22,80,4096,SL,2781.2702803123293,3267.7111070963447,486.44082678401537,486.44082678401566,1.0
Baseline Random,7,22000009,22,128,2048,LL,3267.7111070963447,3640.361976570942,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,22000010,22,160,2048,LL,3640.361976570942,4098.912158285207,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,23000008,23,200,4096,LL,2214.3088602267467,3344.9951664622795,1130.6863062355328,1130.6863062355314,1.0
Baseline Random,7,23000009,23,32,2048,SL,3344.9951664622795,3459.947987439279,114.95282097699965,114.952820977,1.0
Baseline Random,7,23000010,23,160,1024,LL,3459.947987439279,3689.8045268474825,229.8565394082034,229.85653940820262,1.0
Baseline Random,7,23000011,23,128,4096,LL,3689.8045268474825,4433.943128466316,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,24000004,24,128,2048,LL,2370.170441915156,2742.821311389753,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,24000005,24,160,4096,LL,2742.821311389753,3658.7586858204622,915.937374430709,915.9373744307104,1.0
Baseline Random,7,24000006,24,128,256,LS,3658.7586858204622,3774.960041139301,116.20135531883898,48.19209238871334,2.4112120798069667
Baseline Random,7,24000007,24,80,2048,SL,3774.960041139301,4025.7703453858653,250.8103042465641,243.80186035081854,1.0287464742297732
Baseline Random,7,25000005,25,64,4096,SL,2482.877729721814,2883.4190894073245,400.54135968551054,400.5413596855101,1.0
Baseline Random,7,25000006,25,160,4096,LL,2883.4190894073245,3799.356463838033,915.9373744307086,915.9373744307104,1.0
Baseline Random,7,25000007,25,80,2048,SL,3799.356463838033,4043.15832418885,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,26000006,26,64,4096,SL,2054.367091330514,2454.9084510160246,400.54135968551054,400.5413596855101,1.0
Baseline Random,7,26000007,26,128,2048,LL,2454.9084510160246,2827.5593204906218,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,26000008,26,160,1024,LL,2827.5593204906218,3057.415859898825,229.8565394082034,229.85653940820262,1.0
Baseline Random,7,26000009,26,200,1024,LL,3057.415859898825,3340.9594673993342,283.5436075005091,283.5436075005082,1.0
Baseline Random,7,26000010,26,64,2048,SL,3340.9594673993342,3541.8116107367423,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,26000011,26,32,2048,SL,3541.8116107367423,3656.764431713742,114.95282097699965,114.952820977,1.0
Baseline Random,7,26000012,26,80,1024,SL,3656.764431713742,3789.7634460971085,132.99901438336656,122.48236916054397,1.0858625228667635
Baseline Random,7,26000013,26,32,2048,SL,3789.7634460971085,3904.716267074108,114.95282097699965,114.952820977,1.0
Baseline Random,7,26000014,26,64,256,SS,3904.716267074108,3934.2037645115165,29.487497437408365,26.717256165257165,1.1036873418069626
Baseline Random,7,26000015,26,32,256,SS,3934.2037645115165,3956.068166900776,21.86440238925934,15.979837567787547,1.3682493515036729
Baseline Random,7,26000016,26,200,4096,LL,3956.068166900776,5094.37964358682,1138.311476686044,1130.6863062355314,1.0067438425746036
Baseline Random,7,27000005,27,200,2048,LL,2399.5931435978396,2965.5174463271046,565.924302729265,565.9243027292647,1.0
Baseline Random,7,27000006,27,160,2048,LL,2965.5174463271046,3424.0676280413695,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,27000007,27,64,2048,SL,3424.0676280413695,3624.9197713787776,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,27000008,27,80,1024,SL,3624.9197713787776,3751.3945343539444,126.47476297516687,122.48236916054397,1.0325956612530074
Baseline Random,7,27000009,27,200,4096,LL,3751.3945343539444,4888.2020477403075,1136.807513386363,1130.6863062355314,1.0054137094586486
Baseline Random,7,28000004,28,160,2048,LL,2128.608518510695,2587.15870022496,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,28000005,28,128,256,LS,2587.15870022496,2648.6137126470944,61.45501242213459,48.19209238871334,1.2752094664502975
Baseline Random,7,28000006,28,80,2048,SL,2648.6137126470944,2892.4155729979116,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,28000007,28,32,2048,SL,2892.4155729979116,3007.368393974911,114.95282097699965,114.952820977,1.0
Baseline Random,7,28000008,28,160,2048,LL,3007.368393974911,3465.918575689176,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,28000009,28,32,2048,SL,3465.918575689176,3580.8713966661758,114.95282097699965,114.952820977,1.0
Baseline Random,7,28000010,28,64,2048,SL,3580.8713966661758,3781.723540003584,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,28000011,28,80,256,SS,3781.723540003584,3844.419297567622,62.695757564038104,32.085964974046185,1.9539932059002023
Baseline Random,7,28000012,28,200,1024,LL,3844.419297567622,4132.034767096104,287.61546952848175,283.5436075005082,1.0143606200960333
Baseline Random,7,29000003,29,128,256,LS,2298.223335817609,2356.851627754652,58.62829193704283,48.19209238871334,1.21655419034625
Baseline Random,7,29000004,29,128,4096,LL,2356.851627754652,3100.9902293734854,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,29000005,29,160,4096,LL,3100.9902293734854,4016.9276038041944,915.937374430709,915.9373744307104,1.0
Baseline Random,7,30000007,30,64,2048,SL,2015.514000953893,2216.366144291301,200.85214333740828,200.85214333740902,1.0
Baseline Random,7,30000008,30,32,2048,SL,2216.366144291301,2331.318965268301,114.95282097699965,114.952820977,1.0
Baseline Random,7,30000009,30,32,4096,SL,2331.318965268301,2560.061701235348,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,30000010,30,160,1024,LL,2560.061701235348,2789.9182406435516,229.8565394082034,229.85653940820262,1.0
Baseline Random,7,30000011,30,80,2048,SL,2789.9182406435516,3033.7201009943687,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,30000012,30,160,2048,LL,3033.7201009943687,3492.2702827086337,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,30000013,30,32,2048,SL,3492.2702827086337,3607.2231036856333,114.95282097699965,114.952820977,1.0
Baseline Random,7,30000014,30,128,1024,LL,3607.2231036856333,3794.12998157651,186.90687789087679,186.90687789087698,1.0
Baseline Random,7,30000015,30,64,2048,SL,3794.12998157651,3994.982124913918,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,30000016,30,200,2048,LL,3994.982124913918,4560.90642764318,565.9243027292619,565.9243027292647,1.0
Baseline Random,7,31000005,31,200,4096,LL,2262.529443079997,3393.21574931553,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,7,31000006,31,80,2048,SL,3393.21574931553,3637.017609666347,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,31000007,31,80,1024,SL,3637.017609666347,3768.107028250429,131.0894185840816,122.48236916054397,1.0702717418231513
Baseline Random,7,31000008,31,200,2048,LL,3768.107028250429,4339.591090986968,571.4840627365393,565.9243027292647,1.0098242114368683
Baseline Random,19,10,0,32,1024,SL,2148.7469484628828,2206.8048010955217,58.05785263263897,58.057852632638046,1.0
Baseline Random,19,11,0,64,2048,SL,2206.8048010955217,2407.65694443293,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,12,0,160,2048,LL,2407.65694443293,2866.2071261471947,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,13,0,200,2048,LL,2866.2071261471947,3432.1314288764597,565.924302729265,565.9243027292647,1.0
Baseline Random,19,14,0,128,4096,LL,3432.1314288764597,4176.270030495293,744.1386016188335,744.1386016188327,1.0
Baseline Random,19,1000005,1,200,4096,LL,2255.0893263500284,3385.7756325855617,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,19,1000006,1,64,4096,SL,3385.7756325855617,3786.316992271072,400.54135968551054,400.5413596855101,1.0
Baseline Random,19,1000007,1,160,4096,LL,3786.316992271072,4702.254366701781,915.9373744307086,915.9373744307104,1.0
Baseline Random,19,2000008,2,160,2048,LL,2350.7092070942376,2809.2593888085025,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,2000009,2,64,4096,SL,2809.2593888085025,3209.800748494013,400.54135968551054,400.5413596855101,1.0
Baseline Random,19,2000010,2,160,2048,LL,3209.800748494013,3668.350930208278,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,2000011,2,64,4096,SL,3668.350930208278,4068.8922898937885,400.54135968551054,400.5413596855101,1.0
Baseline Random,19,3000009,3,200,2048,LL,2419.8113649622733,2985.7356676915383,565.924302729265,565.9243027292647,1.0
Baseline Random,19,3000010,3,32,4096,SL,2985.7356676915383,3214.4784036585856,228.74273596704734,228.74273596704626,1.0
Baseline Random,19,3000011,3,64,256,SS,3214.4784036585856,3243.8718723800366,29.393468721450972,26.717256165257165,1.1001679416344379
Baseline Random,19,3000012,3,128,4096,LL,3243.8718723800366,3991.0860847232907,747.2142123432541,744.1386016188327,1.00413311541389
Baseline Random,19,3000013,3,160,2048,LL,3991.0860847232907,4449.636266437556,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,4000007,4,32,4096,SL,2039.0461499268536,2267.788885893901,228.74273596704734,228.74273596704626,1.0
Baseline Random,19,4000008,4,64,2048,SL,2267.788885893901,2468.641029231309,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,4000009,4,160,4096,LL,2468.641029231309,3384.578403662018,915.937374430709,915.9373744307104,1.0
Baseline Random,19,4000010,4,32,2048,SL,3384.578403662018,3499.5312246390176,114.95282097699965,114.952820977,1.0
Baseline Random,19,4000011,4,80,1024,SL,3499.5312246390176,3622.013593799563,122.4823691605452,122.48236916054397,1.0
Baseline Random,19,4000012,4,160,2048,LL,3622.013593799563,4080.5637755138277,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,5000008,5,32,2048,SL,2763.6428735075833,2878.595694484583,114.95282097699965,114.952820977,1.0
Baseline Random,19,5000009,5,64,2048,SL,2878.595694484583,3079.447837821991,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,5000010,5,128,1024,LL,3079.447837821991,3266.354715712868,186.90687789087679,186.90687789087698,1.0
Baseline Random,19,5000011,5,160,2048,LL,3266.354715712868,3724.9048974271327,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,5000012,5,200,2048,LL,3724.9048974271327,4290.829200156397,565.9243027292641,565.9243027292647,1.0
Baseline Random,19,6000009,6,200,2048,LL,2286.3402019501837,2852.2645046794487,565.924302729265,565.9243027292647,1.0
Baseline Random,19,6000010,6,160,1024,LL,2852.2645046794487,3082.121044087652,229.8565394082034,229.85653940820262,1.0
Baseline Random,19,6000011,6,80,4096,SL,3082.121044087652,3568.5618708716675,486.44082678401537,486.44082678401566,1.0
Baseline Random,19,6000012,6,32,2048,SL,3568.5618708716675,3683.514691848667,114.95282097699965,114.952820977,1.0
Baseline Random,19,6000013,6,200,1024,LL,3683.514691848667,3967.058299349176,283.5436075005091,283.5436075005082,1.0
Baseline Random,19,6000014,6,32,4096,SL,3967.058299349176,4195.8010353162235,228.74273596704734,228.74273596704626,1.0
Baseline Random,19,7000006,7,64,4096,SL,2020.788480604373,2421.3298402898836,400.54135968551054,400.5413596855101,1.0
Baseline Random,19,7000007,7,64,2048,SL,2421.3298402898836,2622.1819836272916,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,7000008,7,160,4096,LL,2622.1819836272916,3538.119358058,915.9373744307086,915.9373744307104,1.0
Baseline Random,19,7000009,7,128,256,LS,3538.119358058,3589.0814757607527,50.962117702752494,48.19209238871334,1.0574788347369597
Baseline Random,19,7000010,7,160,256,LS,3589.0814757607527,3659.4324993071323,70.35102354637957,58.92951067026337,1.1938165232700575
Baseline Random,19,7000011,7,64,4096,SL,3659.4324993071323,4059.973858992643,400.54135968551054,400.5413596855101,1.0
Baseline Random,19,8000005,8,160,2048,LL,2228.6575765842517,2687.2077582985166,458.5501817142649,458.55018171426593,1.0
Baseline Random,19,8000006,8,128,2048,LL,2687.2077582985166,3059.8586277731138,372.65086947459713,372.6508694745985,1.0
Baseline Random,19,8000007,8,80,2048,SL,3059.8586277731138,3303.660488123931,243.80186035081715,243.80186035081854,1.0
Baseline Random,19,8000008,8,80,2048,SL,3303.660488123931,3547.462348474748,243.80186035081715,243.80186035081854,1.0
Baseline Random,19,8000009,8,64,2048,SL,3547.462348474748,3748.314491812156,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,8000010,8,160,1024,LL,3748.314491812156,3978.1710312203595,229.8565394082034,229.85653940820262,1.0
Baseline Random,19,8000011,8,32,256,SS,3978.1710312203595,4001.8509444813535,23.679913260994,15.979837567787547,1.4818619501319843
Baseline Random,19,9000006,9,32,2048,SL,2172.7522062181856,2287.7050271951853,114.95282097699965,114.952820977,1.0
Baseline Random,19,9000007,9,32,2048,SL,2287.7050271951853,2402.657848172185,114.95282097699965,114.952820977,1.0
Baseline Random,19,9000008,9,80,2048,SL,2402.657848172185,2646.459708523002,243.80186035081715,243.80186035081854,1.0
Baseline Random,19,9000009,9,128,2048,LL,2646.459708523002,3019.110577997599,372.65086947459713,372.6508694745985,1.0
Baseline Random,19,9000010,9,128,2048,LL,3019.110577997599,3391.7614474721963,372.65086947459713,372.6508694745985,1.0
Baseline Random,19,9000011,9,128,4096,LL,3391.7614474721963,4135.900049091029,744.138601618833,744.1386016188327,1.0
Baseline Random,19,10000003,10,64,256,SS,2190.105730156601,2219.917723782559,29.81199362595771,26.717256165257165,1.1158329074497144
Baseline Random,19,10000004,10,160,256,LS,2219.917723782559,2285.7679320897905,65.8502083072317,58.92951067026337,1.1174402698792578
Baseline Random,19,10000005,10,64,2048,SL,2285.7679320897905,2486.6200754271986,200.85214333740805,200.85214333740902,1.0
Baseline Random,19,10000006,10,160,1024,LL,2486.6200754271986,2716.476614835402,229.8565394082034,229.85653940820262,1.0
