policy,seed,request_id,npu,total_K,miss,category,admission_ms,completion_ms,TTFT_ms,SLO_base_ms,SLO_multiple
Baseline Random,7,5,0,80,2048,SL,2906.8879726166106,3150.6898329674277,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,6,0,64,2048,SL,3150.6898329674277,3351.5419763048358,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,7,0,80,1024,SL,3351.5419763048358,3474.024345465381,122.4823691605452,122.48236916054397,1.0
Baseline Random,7,8,0,64,2048,SL,3474.024345465381,3674.876488802789,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,9,0,200,256,LS,3674.876488802789,3805.578130433586,130.70164163079698,72.35128428205302,1.806486822283236
Baseline Random,7,10,0,200,2048,LL,3805.578130433586,4377.286937544585,571.7088071109993,565.9243027292647,1.0102213394156034
Baseline Random,7,1000006,1,32,2048,SL,2131.597008704811,2246.5498296818105,114.95282097699965,114.952820977,1.0
Baseline Random,7,1000007,1,128,4096,LL,2246.5498296818105,2990.688431300644,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,1000008,1,200,4096,LL,2990.688431300644,4121.374737536177,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,7,2000007,2,32,4096,SL,2884.476680296584,3113.2194162636315,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,2000008,2,32,256,SS,3113.2194162636315,3165.015506082204,51.796089818572455,15.979837567787547,3.2413401950332696
Baseline Random,7,2000009,2,64,2048,SL,3165.015506082204,3369.7800513154352,204.76454523323127,200.85214333740902,1.0194790149152149
Baseline Random,7,2000010,2,160,2048,LL,3369.7800513154352,3828.3302330297,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,2000011,2,80,4096,SL,3828.3302330297,4314.771059813717,486.4408267840172,486.44082678401566,1.0
Baseline Random,7,3000006,3,32,2048,SL,2151.924622384359,2266.8774433613585,114.95282097699965,114.952820977,1.0
Baseline Random,7,3000007,3,32,2048,SL,2266.8774433613585,2381.830264338358,114.95282097699965,114.952820977,1.0
Baseline Random,7,3000008,3,80,2048,SL,2381.830264338358,2625.6321246891753,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,3000009,3,128,2048,LL,2625.6321246891753,2998.2829941637724,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,3000010,3,64,2048,SL,2998.2829941637724,3199.1351375011805,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,3000011,3,160,2048,LL,3199.1351375011805,3657.6853192154454,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,3000012,3,128,4096,LL,3657.6853192154454,4401.823920834278,744.138601618833,744.1386016188327,1.0
Baseline Random,7,4000007,4,80,2048,SL,2547.378801253027,2791.1806616038443,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,4000008,4,80,4096,SL,2791.1806616038443,3277.6214883878597,486.44082678401537,486.44082678401566,1.0
Baseline Random,7,4000009,4,64,2048,SL,3277.6214883878597,3478.4736317252678,200.85214333740805,200.85214333740902,1.0
Baseline Random,7,4000010,4,80,2048,SL,3478.4736317252678,3722.275492076085,243.80186035081715,243.80186035081854,1.0
Baseline Random,7,4000011,4,160,2048,LL,3722.275492076085,4180.82567379035,458.55018171426536,458.55018171426593,1.0
Baseline Random,7,5000006,5,200,256,LS,2124.5354064699995,2210.303867824893,85.76846135489359,72.35128428205302,1.185444905449574
Baseline Random,7,5000007,5,64,1024,SL,2210.303867824893,2314.632009032211,104.32814120731791,101.00752608339441,1.0328749277670846
Baseline Random,7,5000008,5,128,2048,LL,2314.632009032211,2687.282878506808,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,5000009,5,128,2048,LL,2687.282878506808,3059.9337479814053,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,5000010,5,160,256,LS,3059.9337479814053,3119.95132337431,60.017575392904746,58.92951067026337,1.0184638343381058
Baseline Random,7,5000011,5,160,2048,LL,3119.95132337431,3582.5514081737374,462.60008479942735,458.55018171426593,1.008831973569438
Baseline Random,7,5000012,5,200,2048,LL,3582.5514081737374,4148.475710903002,565.924302729265,565.9243027292647,1.0
Baseline Random,7,6000005,6,64,4096,SL,2323.511085655522,2724.0524453410326,400.54135968551054,400.5413596855101,1.0
Baseline Random,7,6000006,6,32,2048,SL,2724.0524453410326,2839.005266318032,114.95282097699965,114.952820977,1.0
Baseline Random,7,6000007,6,200,4096,LL,2839.005266318032,3969.6915725535655,1130.6863062355333,1130.6863062355314,1.0
Baseline Random,7,6000008,6,160,2048,LL,3969.6915725535655,4428.24175426783,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,7000005,7,64,4096,SL,2213.7628763929793,2614.30423607849,400.54135968551054,400.5413596855101,1.0
Baseline Random,7,7000006,7,128,2048,LL,2614.30423607849,2986.955105553087,372.65086947459713,372.6508694745985,1.0
Baseline Random,7,7000007,7,160,2048,LL,2986.955105553087,3445.505287267352,458.5501817142649,458.55018171426593,1.0
Baseline Random,7,7000008,7,32,4096,SL,3445.505287267352,3674.248023234399,228.74273596704734,228.74273596704626,1.0
Baseline Random,7,7000009,7,160,4096,LL,3674.248023234399,4590.185397665108,915.937374430709,915.9373744307104,1.0
Baseline Random,7,8000006,8,128,4096,LL,2398.43240998656,3142.5710116053933,744.1386016188335,744.1386016188327,1.0
Baseline Random,7,8000007,8,64,256,SS,3142.5710116053933,3195.087507663873,52.51649605847979,26.717256165257165,1.9656395751735793
Baseline Random,7,8000008,8,80,256,SS,3195.087507663873,3238.7731614073846,43.685653743511466,32.085964974046185,1.3615190872036445
Baseline Random,7,8000009,8,200,2048,LL,3238.7731614073846,3809.038669296144,570.2655078887592,565.9243027292647,1.007670999705364
Baseline Random,7,8000010,8,200,2048,LL,3809.038669296144,4374.962972025407,565.9243027292632,565.9243027292647,1.0
Baseline Random,7,9000007,9,160,256,LS,2153.164099017946,2250.356287627326,97.19218860938008,58.92951067026337,1.6492957009810125
Baseline Random,7,9000008,9,64,4096,SL,2250.356287627326,2650.8976473128364,400.54135968551054,400.5413596855101,1.0
