start_s,end_s,supply_GiB_s
2.0,2.01,40.0
2.01,2.02,40.0
2.02,2.03,40.0
2.03,2.04,40.0
2.04,2.05,40.0
2.05,2.06,40.0
2.06,2.07,40.0
2.07,2.08,40.0
2.08,2.09,40.0
2.09,2.1,40.0
2.1,2.11,40.0
2.11,2.12,40.0
2.12,2.13,33.32728806955129
2.13,2.14,40.0
2.14,2.15,40.0
2.15,2.16,40.0
2.16,2.17,40.0
2.17,2.18,37.72642111600726
2.18,2.19,31.531834262159464
2.19,2.2,19.076336830103173
2.2,2.21,26.541023155548828
2.21,2.22,28.65213090510042
2.22,2.23,40.0
2.23,2.24,10.02405866996196
2.24,2.25,25.73511000319013
2.25,2.26,31.330185014026938
2.26,2.27,24.21492067852887
2.27,2.2800000000000002,36.3782485068532
2.2800000000000002,2.29,40.0
2.29,2.3,27.729494202485512
2.3,2.31,33.26069825131344
2.31,2.32,30.635058331241453
2.32,2.33,36.63841568204589
2.33,2.34,40.0
2.34,2.35,40.0
2.35,2.36,27.44334784593957
2.36,2.37,36.20953510290201
2.37,2.38,21.924216778475966
2.38,2.39,14.371644739525436
2.39,2.4,39.206124188518515
2.4,2.41,40.0
2.41,2.42,40.0
2.42,2.43,40.0
2.43,2.44,40.0
2.44,2.45,40.0
2.45,2.46,40.0
2.46,2.47,38.69311254145941
2.47,2.48,35.22097700068116
2.48,2.49,18.272723451538695
2.49,2.5,20.728339678313205
2.5,2.51,40.0
2.51,2.52,40.0
2.52,2.5300000000000002,26.220960456534158
2.5300000000000002,2.54,34.72739667004862
2.54,2.55,32.33952310387758
2.55,2.56,32.278605798659555
2.56,2.5700000000000003,40.0
2.5700000000000003,2.58,40.0
2.58,2.59,26.287779601248985
2.59,2.6,40.0
2.6,2.61,18.616447130327288
2.61,2.62,38.49789312737994
2.62,2.63,40.0
2.63,2.64,13.925472583634473
2.64,2.65,19.993569482618113
2.65,2.66,40.0
2.66,2.67,40.0
2.67,2.68,40.0
2.68,2.69,31.969956969536725
2.69,2.7,27.139623479177317
2.7,2.71,40.0
2.71,2.7199999999999998,40.0
2.7199999999999998,2.73,33.500002848864824
2.73,2.74,32.919733606822774
2.74,2.75,37.182356604320375
2.75,2.76,33.38418543275657
