start_s,end_s,supply_GiB_s
2.0,2.01,40.0
2.01,2.02,25.297050644912815
2.02,2.03,35.025361120648995
2.03,2.04,32.97719518926351
2.04,2.05,40.0
2.05,2.06,36.171367019822355
2.06,2.07,35.96519734893991
2.07,2.08,28.73576865409086
2.08,2.09,27.631751399243512
2.09,2.1,36.3282579014849
2.1,2.11,40.0
2.11,2.12,36.82330449150686
2.12,2.13,25.75261865286666
2.13,2.14,24.03070654244584
2.14,2.15,28.41783881756419
2.15,2.16,40.0
2.16,2.17,36.380233945617874
2.17,2.18,28.626065753960575
2.18,2.19,28.90224089412368
2.19,2.2,16.512456428035875
2.2,2.21,34.35737664475346
2.21,2.22,22.809942231300738
2.22,2.23,29.582686902791465
2.23,2.24,30.391993342789647
2.24,2.25,19.659067377007887
2.25,2.26,32.782725103068515
2.26,2.27,30.401023711900052
2.27,2.2800000000000002,40.0
2.2800000000000002,2.29,40.0
2.29,2.3,40.0
2.3,2.31,39.19209591739855
2.31,2.32,16.23578909429125
2.32,2.33,22.852139972710575
2.33,2.34,24.99344353732522
2.34,2.35,32.27940620426671
2.35,2.36,24.9420166015625
2.36,2.37,23.704700079455506
2.37,2.38,40.0
2.38,2.39,35.27958300844875
2.39,2.4,32.87061889805045
2.4,2.41,38.781975789441276
2.41,2.42,28.894090844634775
2.42,2.43,27.895268888112696
2.43,2.44,35.22024686685654
2.44,2.45,12.124176764133153
2.45,2.46,30.203549134501372
2.46,2.47,24.60816966348466
2.47,2.48,31.67222411763032
2.48,2.49,25.250706263206666
2.49,2.5,40.0
2.5,2.51,40.0
2.51,2.52,40.0
2.52,2.5300000000000002,25.837218978918827
2.5300000000000002,2.54,30.202072317213606
2.54,2.55,38.11735936878358
2.55,2.56,40.0
2.56,2.5700000000000003,40.0
2.5700000000000003,2.58,40.0
2.58,2.59,40.0
2.59,2.6,27.344630814002812
2.6,2.61,37.70741185354382
2.61,2.62,40.0
2.62,2.63,38.06471304541992
2.63,2.64,40.0
2.64,2.65,40.0
2.65,2.66,14.925812112755011
2.66,2.67,33.90555150272667
2.67,2.68,35.53261988399208
2.68,2.69,31.100958467597593
2.69,2.7,40.0
2.7,2.71,40.0
2.71,2.7199999999999998,40.0
2.7199999999999998,2.73,40.0
2.73,2.74,25.807305692558657
2.74,2.75,26.84731065390588
2.75,2.76,37.03203067509821
2.76,2.77,14.219718729589658
2.77,2.7800000000000002,32.85818931069116
2.7800000000000002,2.79,40.0
2.79,2.8,40.0
2.8,2.81,25.29641274009009
2.81,2.8200000000000003,22.4578857421875
2.8200000000000003,2.83,12.53814697265625
2.83,2.84,33.600784565209324
2.84,2.85,40.0
2.85,2.86,38.403304790259426
2.86,2.87,13.94391999900472
2.87,2.88,21.84362103307285
2.88,2.89,31.066776190480596
2.89,2.9,28.22560117728608
2.9,2.91,28.927869157283567
2.91,2.92,38.79798623132956
2.92,2.93,24.559164537571633
2.93,2.94,20.345327787252245
2.94,2.95,26.18408203125
2.95,2.96,30.145263671875
2.96,2.9699999999999998,18.24493408203125
2.9699999999999998,2.98,36.37407753102525
2.98,2.99,40.0
2.99,3.0,40.0
3.0,3.01,40.0
3.01,3.02,36.48987420812409
3.02,3.0300000000000002,27.197579620584293
3.0300000000000002,3.04,31.429324246400938
3.04,3.05,33.365598574793694
3.05,3.06,40.0
3.06,3.0700000000000003,40.0
3.0700000000000003,3.08,40.0
3.08,3.09,40.0
3.09,3.1,35.635885800951655
3.1,3.1100000000000003,16.216339217338827
3.1100000000000003,3.12,23.622656437821206
3.12,3.13,40.0
3.13,3.14,38.24259116369103
3.14,3.1500000000000004,40.0
3.1500000000000004,3.16,40.0
3.16,3.17,40.0
3.17,3.1799999999999997,40.0
3.1799999999999997,3.19,40.0
3.19,3.2,40.0
3.2,3.21,40.0
3.21,3.2199999999999998,40.0
3.2199999999999998,3.23,38.73721359560659
3.23,3.24,38.46776492279241
3.24,3.25,26.523195076613774
3.25,3.26,40.0
3.26,3.27,27.838034859139952
3.27,3.2800000000000002,38.18072203566953
3.2800000000000002,3.29,34.77225070663371
3.29,3.3,29.239350498906788
3.3,3.31,29.267941338708624
3.31,3.3200000000000003,20.57526453673927
3.3200000000000003,3.33,27.332787461740736
3.33,3.34,34.26194478652724
3.34,3.35,33.06126841925288
3.35,3.3600000000000003,36.044958097398194
3.3600000000000003,3.37,40.0
3.37,3.38,35.66032509006254
3.38,3.39,35.24282738952752
3.39,3.4000000000000004,20.864580380888583
3.4000000000000004,3.41,33.8276037754822
3.41,3.42,32.22222812742439
3.42,3.4299999999999997,32.96334383843532
3.4299999999999997,3.44,30.23858946263499
3.44,3.45,31.680779192922273
3.45,3.46,25.896162491824725
3.46,3.4699999999999998,40.0
3.4699999999999998,3.48,15.94515000496176
3.48,3.49,21.60186767578125
3.49,3.5,28.057471468329823
3.5,3.51,36.7655925068666
3.51,3.52,37.19755222222739
3.52,3.5300000000000002,21.917372083826194
3.5300000000000002,3.54,23.095968795018052
3.54,3.55,23.876169807108454
3.55,3.56,35.44367772791156
3.56,3.5700000000000003,29.608281542048644
3.5700000000000003,3.58,35.986219588596214
3.58,3.59,40.0
3.59,3.6,21.579831465098323
3.6,3.6100000000000003,14.593716635265082
3.6100000000000003,3.62,40.0
3.62,3.63,40.0
3.63,3.64,40.0
3.64,3.6500000000000004,40.0
3.6500000000000004,3.66,40.0
3.66,3.67,40.0
3.67,3.6799999999999997,40.0
3.6799999999999997,3.69,40.0
3.69,3.7,40.0
3.7,3.71,40.0
3.71,3.7199999999999998,40.0
3.7199999999999998,3.73,40.0
3.73,3.74,40.0
3.74,3.75,40.0
3.75,3.76,40.0
3.76,3.77,40.0
3.77,3.7800000000000002,40.0
3.7800000000000002,3.79,40.0
3.79,3.8,40.0
3.8,3.81,40.0
3.81,3.8200000000000003,40.0
3.8200000000000003,3.83,40.0
3.83,3.84,38.81845377489117
