label,start_ms,end_ms,device_U_percent,stall_percent,idle_percent,mean_long_active_cards,warm_mixed_card_count,all32active,warm_slo_percent,warm_admissions,full_run_ssu_peak_gib_s,full_run_nominal_pass
rotation16_L4_S12_seed7,2000,12000,99.75284222882003,0.2471577711799735,0.0,18.11924899175459,32,True,100.0,3168,39.6306975796875,True
rotation16_L4_S12_seed7,2000,4000,99.86078953205666,0.13921046794333805,0.0,17.799954058669222,32,True,100.0,656,39.6306975796875,True
rotation16_L4_S12_seed7,4000,6000,99.77393263661192,0.22606736338808558,0.0,17.9738418506426,32,True,100.0,622,39.6306975796875,True
rotation16_L4_S12_seed7,6000,8000,99.76841146326471,0.23158853673529906,0.0,17.803616363970974,32,True,100.0,650,39.6306975796875,True
rotation16_L4_S12_seed7,8000,10000,99.61871878315111,0.38128121684888755,0.0,19.282256039379256,32,True,100.0,605,39.6306975796875,True
rotation16_L4_S12_seed7,10000,12000,99.74235872901575,0.25764127098425715,0.0,17.73657664611088,32,True,100.0,635,39.6306975796875,True
rotation16_L4_S12_seed7,4000,12000,99.72585540301087,0.2741445969891323,0.0,18.199072725025925,32,True,100.0,2512,39.6306975796875,True
rotation16_L8_S24_seed7,2000,12000,99.82481441756975,0.17518558243024188,0.0,18.161640167051463,32,True,100.0,3166,39.6306975796875,True
rotation16_L8_S24_seed7,2000,4000,99.68691747202307,0.3130825279769411,0.0,19.401229212475023,32,True,100.0,608,39.6306975796875,True
rotation16_L8_S24_seed7,4000,6000,99.94895786823186,0.05104213176815051,0.0,16.21099834015929,32,True,100.0,681,39.6306975796875,True
rotation16_L8_S24_seed7,6000,8000,99.8027428039169,0.19725719608310185,0.0,19.351448508936144,32,True,100.0,599,39.6306975796875,True
rotation16_L8_S24_seed7,8000,10000,99.74293849636558,0.2570615036344151,0.0,18.328094931525047,32,True,100.0,639,39.6306975796875,True
rotation16_L8_S24_seed7,10000,12000,99.9425154473114,0.057484552688600844,0.0,17.51642984216181,32,True,100.0,639,39.6306975796875,True
rotation16_L8_S24_seed7,4000,12000,99.85928865395644,0.14071134604356705,0.0,17.851742905695573,32,True,100.0,2558,39.6306975796875,True
