start_ms,end_ms,total_demand_GiB_s,total_supply_GiB_s
2000.0,2000.5315363240202,503.81472775545046,141.3421256928741
2000.5315363240202,2001.0211185972805,503.81472775545046,142.657058159378
2001.0211185972805,2001.532215211855,503.81472775545046,156.46909308567712
2001.532215211855,2002.9679400816556,503.81472775545046,157.78402555218102
2002.9679400816556,2004.8183497252103,503.81472775545046,163.84493911801079
2004.8183497252103,2004.926065814815,503.81472775545046,142.31362006447767
2004.926065814815,2006.5013126890774,476.65373429501955,143.62855253098158
2006.5013126890774,2007.8647669615384,476.65373429501955,145.87562777607215
2007.8647669615384,2007.9631081782993,476.65373429501955,151.91690141138753
2007.9631081782993,2008.0533656608663,476.65373429501955,153.23183387789143
2008.0533656608663,2008.2425219908353,476.65373429501955,154.54676634439534
2008.2425219908353,2009.0663793261388,476.65373429501955,155.44652214474695
2009.0663793261388,2010.1223048033353,476.65373429501955,156.76145461125085
2010.1223048033353,2010.6469256773587,476.65373429501955,163.48056800252328
2010.6469256773587,2011.1828086541184,476.65373429501955,157.2409515203489
2011.1828086541184,2011.3961513513163,476.65373429501955,158.5558839868528
2011.3961513513163,2013.1519373716947,476.65373429501955,159.8708164533567
2013.1519373716947,2013.445220023597,476.65373429501955,153.42577952639692
2013.445220023597,2014.2304522886868,476.65373429501955,154.74071199290083
2014.2304522886868,2014.3103794615383,476.65373429501955,155.0475848970965
2014.3103794615383,2016.3188794208343,476.65373429501955,150.32225311591162
2016.3188794208343,2016.703214213829,476.65373429501955,151.63718558241553
2016.703214213829,2017.167669183218,476.65373429501955,152.95211804891943
2017.167669183218,2017.839055901968,476.65373429501955,166.79339772220206
2017.839055901968,2017.9314715757962,476.65373429501955,163.588701694759
2017.9314715757962,2019.7358233824368,476.65373429501955,163.44601726660534
2019.7358233824368,2020.3343910101275,476.65373429501955,165.0646527312974
2020.3343910101275,2020.6883532896634,449.49274083458863,160.13828636450057
2020.6883532896634,2021.2674243345853,449.49274083458863,168.94753493366787
2021.2674243345853,2022.2190849820306,449.49274083458863,159.79740560330976
2022.2190849820306,2023.231130486929,449.49274083458863,161.11233806981366
2023.231130486929,2024.195379635351,449.49274083458863,167.98064511389626
2024.195379635351,2024.4691997496243,449.49274083458863,169.29557758040016
2024.4691997496243,2024.9389704527493,449.49274083458863,168.39061714120407
2024.9389704527493,2024.9474627867337,449.49274083458863,152.09690873345141
2024.9474627867337,2025.4426104918118,449.49274083458863,150.92482630041314
2025.4426104918118,2026.7350351602693,449.49274083458863,159.54035540165725
2026.7350351602693,2027.2914358831745,449.49274083458863,160.85528786816116
2027.2914358831745,2028.0232531920071,422.3317473741577,155.92892150136433
2028.0232531920071,2028.077327715548,422.3317473741577,152.29820874326202
2028.077327715548,2028.5298600271656,422.3317473741577,153.18217070220481
2028.5298600271656,2029.1243783199009,422.3317473741577,153.2787375019566
2029.1243783199009,2029.5758349791165,422.3317473741577,153.2787375019566
2029.5758349791165,2029.96597850939,422.3317473741577,161.445698051354
2029.96597850939,2030.1250572077356,422.3317473741577,152.92425407379147
2030.1250572077356,2031.959357830679,422.3317473741577,152.92425407379147
2031.959357830679,2032.2236163511868,422.3317473741577,159.69624280002566
2032.2236163511868,2033.5189078106957,422.3317473741577,157.53444753224923
2033.5189078106957,2034.0472647405963,422.3317473741577,157.53444753224923
2034.0472647405963,2035.4420764341946,395.1707539137268,152.6080811654524
2035.4420764341946,2036.1091669859525,395.1707539137268,163.52759337322055
2036.1091669859525,2036.1344439879056,395.1707539137268,160.63846262707096
2036.1344439879056,2036.55595017418,395.1707539137268,161.03460653107842
2036.55595017418,2036.646207656747,395.1707539137268,161.03460653107842
2036.646207656747,2037.6592213220194,395.1707539137268,161.03460653107842
2037.6592213220194,2037.8841456236478,395.1707539137268,161.03460653107842
2037.8841456236478,2039.775650649999,395.1707539137268,155.5761925437109
2039.775650649999,2039.988993347197,395.1707539137268,155.5761925437109
2039.988993347197,2040.9392551939602,395.1707539137268,155.5761925437109
2040.9392551939602,2041.7740924254056,395.1707539137268,161.97361151111383
2041.7740924254056,2042.0380620194776,395.1707539137268,168.8441676254039
2042.0380620194776,2042.6677759947415,395.1707539137268,168.8441676254039
2042.6677759947415,2042.8315265074368,395.1707539137268,168.3556662905898
2042.8315265074368,2044.2079692808743,395.1707539137268,167.59285959148448
2044.2079692808743,2044.6570591490383,395.1707539137268,159.08863691756105
2044.6570591490383,2044.911721416715,395.1707539137268,145.0697701452416
2044.911721416715,2045.2960562097096,395.1707539137268,145.0697701452416
2045.2960562097096,2047.1747593443508,395.1707539137268,145.0697701452416
2047.1747593443508,2048.9203648131006,395.1707539137268,160.1667536652396
2048.9203648131006,2048.9272330060085,395.1707539137268,151.89500842272966
2048.9272330060085,2049.7931675474756,395.1707539137268,151.89500842272966
2049.7931675474756,2050.8119269779113,395.1707539137268,150.77435892877227
2050.8119269779113,2052.5540454283355,395.1707539137268,150.77435892877227
2052.5540454283355,2052.788221631232,395.1707539137268,168.15316456089485
2052.788221631232,2053.6030871763824,395.1707539137268,168.15316456089485
2053.6030871763824,2054.018507708609,395.1707539137268,172.7580430159237
2054.018507708609,2054.6184595884915,395.1707539137268,156.88353109946726
2054.6184595884915,2054.870229608023,395.1707539137268,158.1641963117939
2054.870229608023,2055.0212916197415,395.1707539137268,150.52294571146976
2055.0212916197415,2055.32787715615,395.1707539137268,161.68336086598273
2055.32787715615,2055.8842778790554,395.1707539137268,166.36780777790287
2055.8842778790554,2056.670169711429,395.1707539137268,166.36780777790287
2056.670169711429,2057.1227020230463,395.1707539137268,166.36780777790287
2057.1227020230463,2057.7172203157816,395.1707539137268,166.36780777790287
2057.7172203157816,2058.4790332213042,395.1707539137268,166.36780777790287
2058.4790332213042,2058.7178992036165,395.1707539137268,167.10284352324524
2058.7178992036165,2058.722310906851,395.1707539137268,167.10284352324524
2058.722310906851,2061.861043817007,395.1707539137268,145.97583134255382
2061.861043817007,2061.894713152945,395.1707539137268,156.59794425475008
2061.894713152945,2062.1117498065764,395.1707539137268,149.6178232411808
2062.1117498065764,2062.6401067364773,395.1707539137268,149.6178232411808
2062.6401067364773,2065.148792170061,395.1707539137268,149.6178232411808
2065.148792170061,2065.193000408804,395.1707539137268,154.30227015310092
2065.193000408804,2065.2390496526277,395.1707539137268,153.0412525724033
2065.2390496526277,2065.4951244322415,395.1707539137268,153.0412525724033
2065.4951244322415,2066.2520633179,395.1707539137268,151.04980291276178
2066.2520633179,2067.918724701534,395.1707539137268,151.04980291276178
2067.918724701534,2068.36849264588,368.0097604532959,146.12343654596472
2068.36849264588,2068.570714837515,368.0097604532959,146.12343654596472
2068.570714837515,2068.5818353430777,368.0097604532959,151.32194726321038
2068.5818353430777,2069.640837420523,368.0097604532959,151.32194726321038
2069.640837420523,2070.6309040153583,368.0097604532959,152.67921233776346
2070.6309040153583,2070.6311328306792,368.0097604532959,152.67921233776346
