order,start_s,end_s,U_percent,SLO_1p5_percent,admitted_requests,passed_requests,all_npus_active,mixed_npus,per_disk_mean_GiB_s,per_disk_max_GiB_s,per_disk_overload_percent,strict_underload,makespan_ms
original_ABB,2.0,4.0,79.85072967787411,72.38095238095238,105,76,True,32,"[75.75420729175092, 84.00714119603228, 81.85925642383798]","[285.2886551525299, 318.7241846166412, 307.2167898927429]","[29.031738151141802, 29.031738151141802, 29.031738151141802]",False,18840.01303884652
original_ABB,4.0,8.0,91.98933128188153,80.0,225,180,True,32,"[42.999901033511875, 47.43871089236856, 46.25503782120632]","[211.0837258258209, 233.31145648392334, 227.92966212513426]","[21.843062756189507, 21.843062756189507, 21.843062756189507]",False,18840.01303884652
original_ABB,8.0,12.0,97.66044448200594,90.49586776859505,242,219,True,32,"[31.39447171485831, 34.845925710896985, 33.57106281559056]","[127.0064018149475, 139.68091583124388, 137.5427909725708]","[17.937857076849014, 18.49720541373313, 17.937857076849014]",False,18840.01303884652
shuffled_per_npu_seed7,2.0,4.0,98.85904498291238,89.62264150943396,106,95,True,19,"[26.798695769628285, 29.466521147150896, 28.921422530727334]","[76.61833471502379, 82.9198238180603, 84.54410080458068]","[17.361392135267895, 17.361392135267895, 17.361392135267895]",False,17365.800726514095
shuffled_per_npu_seed7,4.0,8.0,99.59219439978826,97.23320158102767,253,246,True,30,"[27.20022969772327, 30.19178329071298, 29.37792774815639]","[59.279576564355466, 67.59155298054199, 63.839340166827384]","[9.164180905578792, 9.164180905578792, 9.164180905578792]",False,17365.800726514095
shuffled_per_npu_seed7,8.0,12.0,99.24557879486436,93.82716049382717,243,228,True,29,"[27.623128179808223, 30.548527797205406, 29.51953797819159]","[68.44016604473876, 76.79279483896178, 72.20129744481811]","[14.6207494700187, 14.6207494700187, 14.6207494700187]",False,17365.800726514095
