case,request_id,batch_id,npu_id,layer,io_submit_time_ms,io_submit_relative_ms,ssd_first_start_ms,ssd_last_end_ms,max_link_end_ms,io_ready_reported_ms,previous_compute_end_ms,compute_start_ms,compute_end_ms,reported_barrier_ms,reconstructed_barrier_ms,io_ready_minus_max_link_end_ms,compute_start_minus_max_ready_previous_ms,barrier_accounting_error_ms,ssd_interval_count,link_interval_count,complete_inside_trace
baseline,493,611,13,11,,,,,,10125.827598120384,10142.101550917856,10142.101550917856,10170.83361834388,0.0,0.0,,,0.0,0,0,False
baseline,493,611,13,12,10142.101550917856,5.4832103551689215,10144.047208046355,10154.840735937767,10154.84409287136,10154.84409287136,10170.83361834388,10170.83361834388,10199.565685769905,0.0,0.0,0.0,0.0,0.0,1272,1272,False
baseline,782,602,14,14,,,,,,10106.495856787376,,10128.635064988295,10160.051484043313,0.0,,,,,0,0,False
baseline,782,602,14,15,10128.635064988295,-7.983275574391882,10136.615495412372,10143.61389115017,10143.617248083763,10143.617248083763,10160.051484043313,10160.051484043313,10191.467903098332,0.0,0.0,0.0,0.0,0.0,580,581,False
baseline,943,620,15,11,,,,,,10135.002517248802,,10135.494837060709,10147.250033984485,0.0,,,,,0,0,False
baseline,943,620,15,12,10135.494837060709,-1.1235035019781208,10137.857861732879,10148.21079209011,10148.214149023705,10148.214149023705,10147.250033984485,10148.214149023705,10159.96934594748,0.9641150392199052,0.9641150392199052,0.0,0.0,0.0,1020,1020,False
baseline,943,620,15,13,10148.214149023705,11.595808461017441,10151.046414589324,10162.228087927513,10162.231444861107,10162.231444861107,10159.96934594748,10162.231444861107,10173.986641784883,2.262098913626687,2.262098913626687,0.0,0.0,0.0,1020,1020,True
baseline,943,620,15,14,10162.231444861107,25.613104298419785,10165.581937050261,10178.251151587181,10178.254508520775,10178.254508520775,10173.986641784883,10178.254508520775,10190.00970544455,4.267866735892312,4.267866735892312,0.0,0.0,0.0,1020,1020,False
baseline,560,583,16,10,,,,,,10039.464187170677,,10093.15436748563,10161.210553638462,0.0,,,,,0,0,False
baseline,560,583,16,11,,,,,,10100.56457474392,10161.210553638462,10161.210553638462,10229.266739791296,0.0,0.0,,,0.0,0,0,False
baseline,753,624,17,5,,,,,,10121.566390539818,,10130.524240876819,10148.518890167852,0.0,,,,,0,0,False
baseline,753,624,17,6,10130.524240876819,-6.094099685868059,10136.615696303192,10145.884017492943,10145.887374426537,10145.887374426537,10148.518890167852,10148.518890167852,10166.513539458885,0.0,0.0,0.0,0.0,0.0,494,582,False
baseline,753,624,17,7,10148.518890167852,11.900549605164997,10152.097454420868,10163.428191687279,10163.431548620872,10163.431548620872,10166.513539458885,10166.513539458885,10184.508188749918,0.0,0.0,0.0,0.0,0.0,760,760,True
baseline,753,624,17,8,10166.513539458885,29.895198896198053,10168.76263163034,10181.738166357689,10181.741523291283,10181.741523291283,10184.508188749918,10184.508188749918,10202.502838040951,0.0,0.0,0.0,0.0,0.0,760,760,False
baseline,594,617,18,12,,,,,,10128.546714331322,,10129.486473787596,10142.11241454802,0.0,,,,,0,0,False
baseline,594,617,18,13,10129.486473787596,-7.131866775091112,10137.47570964577,10144.167785193138,10144.171142126732,10144.171142126732,10142.11241454802,10144.171142126732,10156.797082887157,2.058727578711114,2.058727578711114,0.0,0.0,0.0,253,253,False
baseline,594,617,18,14,10144.171142126732,7.552801564044785,10146.820874428191,10157.547263647728,10157.550620581322,10157.550620581322,10156.797082887157,10157.550620581322,10170.176561341746,0.7535376941650611,0.7535376941650611,0.0,0.0,0.0,504,504,True
baseline,594,617,18,15,10157.550620581322,20.93228001863463,10160.68920633737,10172.261123205833,10172.264480139427,10172.264480139427,10170.176561341746,10172.264480139427,10184.890420899852,2.087918797680686,2.087918797680686,0.0,0.0,0.0,504,504,True
baseline,563,615,19,1,,,,,,9932.879447485619,,10043.367861735926,10168.597410629787,0.0,,,,,0,0,False
baseline,563,615,19,2,,,,,,10056.234168554955,10168.597410629787,10168.597410629787,10293.826959523649,0.0,0.0,,,0.0,0,0,False
baseline,724,604,20,3,,,,,,9997.706031347923,,10121.030756110562,10262.366544390003,0.0,,,,,0,0,False
baseline,501,622,21,13,10134.421767737083,-2.1965728256036527,10136.69132730905,10147.090415503197,10147.093352820091,10147.093352820091,,10147.093352820091,10149.052307967515,10.712629935584118,,0.0,,,1152,1152,False
baseline,501,622,21,14,10147.093352820091,10.47501225740416,10149.592342726532,10160.717467810326,10160.72040512722,10160.72040512722,10149.052307967515,10160.72040512722,10162.679360274644,11.668097159705212,11.668097159705212,0.0,0.0,0.0,1152,1152,True
