case,num_ssu,measurement_duration_ms,trace_duration_ms,measurement_request_count,measurement_mean_npu_utilization,measurement_mean_npu_utilization_pct,trace_mean_npu_utilization,trace_mean_npu_utilization_pct,measurement_mean_ssd_utilization_pct,trace_mean_ssd_utilization_pct,alpha1p5_equal_npu_slo_attainment,alpha1p5_equal_npu_slo_pct,alpha2_equal_npu_slo_attainment,alpha2_equal_npu_slo_pct,alpha1p5_request_weighted_slo_pct,alpha2_request_weighted_slo_pct
baseline,4,3000.0,50.0,177,0.7799446631838005,77.99446631838005,0.8699353823820468,86.99353823820468,94.87372835367115,99.1922185151625,0.515167297979798,51.5167297979798,0.5689247384559885,56.89247384559884,45.19774011299435,50.847457627118644
adaptive_t0_i100ms,4,3000.0,50.0,171,0.8254992534353776,82.54992534353775,0.5861063270004797,58.61063270004797,93.8625672092928,95.74823379516602,0.6410456730769231,64.1045673076923,0.8501049297924298,85.01049297924298,59.64912280701754,82.45614035087719
