case,resource,request_id,batch_id,npu_id,ssu_id,layer,block_idx,start_time_ms,end_time_ms,duration_ms,relative_start_ms,relative_end_ms,trace_overlap_start_ms,trace_overlap_end_ms,trace_overlap_ms,actual_rate_gbps_or_compute_units,trace_served_gb,size_gb,path_id,enqueue_time_ms,queue_wait_ms,installed_path_cir_gbps_at_dispatch
adaptive_t0_i100ms,ssd,710,,6,0,10,0,10917.07734030451,10917.081536471502,0.0041961669921875,11.015028492456622,11.01922465944881,10917.07734030451,10917.081536471502,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.076501071111,0.0008392333984375,1.1211471739985885
adaptive_t0_i100ms,ssd,710,,6,1,10,1,10917.080797238103,10917.084993405095,0.0041961669921875,11.018485426049665,11.022681593041852,10917.080797238103,10917.084993405095,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.07660107111,0.0041961669921875,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,2,10,3,10917.080897238102,10917.085093405094,0.0041961669921875,11.018585426048958,11.022781593041145,10917.080897238102,10917.085093405094,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.07670107111,0.0041961669921875,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,0,10,0,10917.081536471502,10917.084893405095,0.00335693359375,11.01922465944881,11.02258159304256,10917.081536471502,10917.084893405095,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.081536471502,0.0,1.1211471739985885
adaptive_t0_i100ms,ssd,710,,6,0,10,8,10917.081536471502,10917.085732638494,0.0041961669921875,11.01922465944881,11.023420826440997,10917.081536471502,10917.085732638494,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.076901071108,0.004635400393453892,1.1211471739985885
adaptive_t0_i100ms,link,710,,6,1,10,1,10917.084993405095,10917.088350338689,0.00335693359375,11.022681593041852,11.026038526635602,10917.084993405095,10917.088350338689,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.084993405095,0.0,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,3,10,2,10917.085193405093,10917.089389572086,0.0041961669921875,11.022881593040438,11.027077760032626,10917.085193405093,10917.089389572086,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.076801071109,0.008392333984375,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,3,10917.088350338689,10917.091707272282,0.00335693359375,11.026038526635602,11.029395460229352,10917.088350338689,10917.091707272282,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.085093405094,0.003256933594457223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,0,10,8,10917.091707272282,10917.095064205876,0.00335693359375,11.029395460229352,11.032752393823102,10917.091707272282,10917.095064205876,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.085732638494,0.005974633788355277,1.1211471739985885
adaptive_t0_i100ms,ssd,710,,6,2,10,5,10917.093485739078,10917.09768190607,0.0041961669921875,11.03117392702552,11.035370094017708,10917.093485739078,10917.09768190607,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077101071107,0.016384667971578892,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,3,10,2,10917.095064205876,10917.09842113947,0.00335693359375,11.032752393823102,11.036109327416852,10917.095064205876,10917.09842113947,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.089389572086,0.005674633790476946,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,1,10,6,10917.097581906071,10917.101778073064,0.0041961669921875,11.035270094018415,11.039466261010602,10917.097581906071,10917.101778073064,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077001071108,0.020580834963766392,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,3,10,4,10917.09778190607,10917.101978073062,0.0041961669921875,11.035470094017,11.039666261009188,10917.09778190607,10917.101978073062,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077201071106,0.020580834963766392,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,5,10917.09842113947,10917.101778073064,0.00335693359375,11.036109327416852,11.039466261010602,10917.09842113947,10917.101778073064,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.09768190607,0.0007392333991447231,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,6,10917.101778073064,10917.105135006657,0.00335693359375,11.039466261010602,11.042823194604352,10917.101778073064,10917.105135006657,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.101778073064,0.0,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,4,10917.105135006657,10917.108491940251,0.00335693359375,11.042823194604352,11.046180128198102,10917.105135006657,10917.108491940251,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.101978073062,0.003156933595164446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,1,10,9,10917.110170407048,10917.11436657404,0.0041961669921875,11.047858594994977,11.052054761987165,10917.110170407048,10917.11436657404,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077401071105,0.032769335943157785,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,2,10,7,10917.110270407047,10917.11446657404,0.0041961669921875,11.04795859499427,11.052154761986458,10917.110270407047,10917.11446657404,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077501071104,0.032769335943157785,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,9,10917.11436657404,10917.117723507634,0.00335693359375,11.052054761987165,11.055411695580915,10917.11436657404,10917.117723507634,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.11436657404,0.0,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,3,10,11,10917.114566574039,10917.11876274103,0.0041961669921875,11.05225476198575,11.056450928977938,10917.114566574039,10917.11876274103,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077601071103,0.036965502935345285,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,2,10,7,10917.117723507634,10917.121080441228,0.00335693359375,11.055411695580915,11.058768629174665,10917.117723507634,10917.121080441228,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.11446657404,0.003256933594457223,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,3,10,11,10917.121080441228,10917.124437374821,0.00335693359375,11.058768629174665,11.062125562768415,10917.121080441228,10917.124437374821,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.11876274103,0.002317700196726946,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,12,10917.122858908024,10917.127055075016,0.0041961669921875,11.060547095970833,11.06474326296302,10917.122858908024,10917.127055075016,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077901071101,0.04495783692254918,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,10,10917.126955075017,10917.131151242009,0.0041961669921875,11.064643262963727,11.068839429955915,10917.126955075017,10917.131151242009,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077801071102,0.04915400391473668,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,12,10917.127055075016,10917.13041200861,0.00335693359375,11.06474326296302,11.06810019655677,10917.127055075016,10917.13041200861,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.127055075016,0.0,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,10,10917.131151242009,10917.134508175603,0.00335693359375,11.068839429955915,11.072196363549665,10917.131151242009,10917.134508175603,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.131151242009,0.0,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,3,10,21,10917.131351242007,10917.135547409,0.0041961669921875,11.0690394299545,11.073235596946688,10917.131351242007,10917.135547409,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.0780010711,0.05335017090692418,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,3,10,21,10917.135547409,10917.138904342593,0.00335693359375,11.073235596946688,11.076592530540438,10917.135547409,10917.138904342593,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.135547409,0.0,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,16,10917.139643575993,10917.143839742985,0.0041961669921875,11.077331763939583,11.08152793093177,10917.139643575993,10917.143839742985,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.078301071098,0.06134250489412807,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,13,10917.143739742985,10917.147935909978,0.0041961669921875,11.081427930932477,11.085624097924665,10917.143739742985,10917.147935909978,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.0782010711,0.06553867188631557,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,16,10917.143839742985,10917.147196676578,0.00335693359375,11.08152793093177,11.08488486452552,10917.143839742985,10917.147196676578,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.143839742985,0.0,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,23,10917.143939742984,10917.148135909976,0.0041961669921875,11.081627930931063,11.08582409792325,10917.143939742984,10917.148135909976,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.078401071098,0.06553867188631557,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,1,10,13,10917.147935909978,10917.151292843571,0.00335693359375,11.085624097924665,11.088981031518415,10917.147935909978,10917.151292843571,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.147935909978,0.0,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,23,10917.151292843571,10917.154649777165,0.00335693359375,11.088981031518415,11.092337965112165,10917.151292843571,10917.154649777165,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.148135909976,0.003156933595164446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,25,10917.152232076969,10917.156428243961,0.0041961669921875,11.089920264916145,11.094116431908333,10917.152232076969,10917.156428243961,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.078701071096,0.07353100587351946,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,14,10917.156328243962,10917.160524410954,0.0041961669921875,11.09401643190904,11.098212598901227,10917.156328243962,10917.160524410954,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.078601071096,0.07772717286570696,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,25,10917.156428243961,10917.159785177555,0.00335693359375,11.094116431908333,11.097473365502083,10917.156428243961,10917.159785177555,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.156428243961,0.0,1.1664876847117667
adaptive_t0_i100ms,link,710,,6,1,10,14,10917.160524410954,10917.163881344548,0.00335693359375,11.098212598901227,11.101569532494977,10917.160524410954,10917.163881344548,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.160524410954,0.0,0.9727600480281872
adaptive_t0_i100ms,ssd,710,,6,3,10,24,10917.160724410953,10917.164920577945,0.0041961669921875,11.098412598899813,11.102608765892,10917.160724410953,10917.164920577945,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.078801071095,0.08192333985789446,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,3,10,24,10917.164920577945,10917.168277511539,0.00335693359375,11.102608765892,11.10596569948575,10917.164920577945,10917.168277511539,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.164920577945,0.0,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,26,10917.169016744938,10917.17321291193,0.0041961669921875,11.106704932884895,11.110901099877083,10917.169016744938,10917.17321291193,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.079101071093,0.08991567384509835,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,1,10,22,10917.17311291193,10917.177309078923,0.0041961669921875,11.11080109987779,11.114997266869977,10917.17311291193,10917.177309078923,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.079001071093,0.09411184083728585,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,2,10,26,10917.17321291193,10917.176569845524,0.00335693359375,11.110901099877083,11.114258033470833,10917.17321291193,10917.176569845524,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.17321291193,0.0,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,3,10,28,10917.17331291193,10917.177509078922,0.0041961669921875,11.111001099876376,11.115197266868563,10917.17331291193,10917.177509078922,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.079201071092,0.09411184083728585,0.9562725895870315
adaptive_t0_i100ms,link,710,,6,1,10,22,10917.177309078923,10917.180666012517,0.00335693359375,11.114997266869977,11.118354200463727,10917.177309078923,10917.180666012517,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.177309078923,0.0,0.9727600480281872
adaptive_t0_i100ms,link,710,,6,3,10,28,10917.180666012517,10917.18402294611,0.00335693359375,11.118354200463727,11.121711134057477,10917.180666012517,10917.18402294611,0.00335693359375,50.0,0.0001678466796875,0.00016784667968750003,208,10917.177509078922,0.003156933595164446,0.9562725895870315
adaptive_t0_i100ms,ssd,710,,6,2,10,27,10917.181605245914,10917.185801412907,0.0041961669921875,11.119293433861458,11.123489600853645,10917.181605245914,10917.185801412907,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.07950107109,0.10210417482448975,1.1664876847117667
adaptive_t0_i100ms,ssd,710,,6,0,10,15,10917.182244479314,10917.186440646306,0.0041961669921875,11.11993266726131,11.124128834253497,10917.182244479314,10917.186440646306,0.0041961669921875,40.0,0.0001678466796875,0.00016784667968750003,208,10917.077301071105,0.10494340820878278,1.1211471739985885
