case,num_ssu,bin,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,ssu_id,ssd_busy_ms,ssd_utilization,ssd_utilization_pct,ssd_served_gb,actual_ssd_bandwidth_gbps,request_ids,layers
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[610],[12]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[782],[15]
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[501,753]","[6,13]"
baseline,4,0,0.0,0.5,10136.618340562687,10137.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[501,753]","[6,13]"
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[549,610]","[4,12]"
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[594,782]","[13,15]"
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[501],[13]
baseline,4,1,0.5,1.0,10137.118340562687,10137.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[501],[13]
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[549,646]","[4,12]"
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[594,832]","[13,15]"
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[501,943]","[12,13]"
baseline,4,2,1.0,1.5,10137.618340562687,10138.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[501,943]","[12,13]"
baseline,4,3,1.5,2.0,10138.118340562687,10138.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[490,646]","[1,12]"
baseline,4,3,1.5,2.0,10138.118340562687,10138.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[832],[15]
baseline,4,3,1.5,2.0,10138.118340562687,10138.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[943],[12]
baseline,4,3,1.5,2.0,10138.118340562687,10138.618340562687,0.5,3,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,[943],[12]
baseline,4,4,2.0,2.5,10138.618340562687,10139.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[490],[1]
baseline,4,4,2.0,2.5,10138.618340562687,10139.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[753,832]","[6,15]"
baseline,4,4,2.0,2.5,10138.618340562687,10139.118340562687,0.5,2,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,"[549,943]","[5,12]"
baseline,4,4,2.0,2.5,10138.618340562687,10139.118340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[549,943]","[5,12]"
baseline,4,5,2.5,3.0,10139.118340562687,10139.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[490],[1]
baseline,4,5,2.5,3.0,10139.118340562687,10139.618340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[753],[6]
baseline,4,5,2.5,3.0,10139.118340562687,10139.618340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[549,646]","[5,13]"
baseline,4,5,2.5,3.0,10139.118340562687,10139.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[549,646]","[5,13]"
baseline,4,6,3.0,3.5,10139.618340562687,10140.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[490,735]","[1,14]"
baseline,4,6,3.0,3.5,10139.618340562687,10140.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[501,753]","[6,13]"
baseline,4,6,3.0,3.5,10139.618340562687,10140.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[347,646]","[0,13]"
baseline,4,6,3.0,3.5,10139.618340562687,10140.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[347,646]","[0,13]"
baseline,4,7,3.5,4.0,10140.118340562687,10140.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[490,735]","[1,14]"
baseline,4,7,3.5,4.0,10140.118340562687,10140.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[501],[13]
baseline,4,7,3.5,4.0,10140.118340562687,10140.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,7,3.5,4.0,10140.118340562687,10140.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,8,4.0,4.5,10140.618340562687,10141.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[735],[14]
baseline,4,8,4.0,4.5,10140.618340562687,10141.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[501,943]","[12,13]"
baseline,4,8,4.0,4.5,10140.618340562687,10141.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,8,4.0,4.5,10140.618340562687,10141.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,9,4.5,5.0,10141.118340562687,10141.618340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[735],[14]
baseline,4,9,4.5,5.0,10141.118340562687,10141.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[943],[12]
baseline,4,9,4.5,5.0,10141.118340562687,10141.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[347,490]","[0,2]"
baseline,4,9,4.5,5.0,10141.118340562687,10141.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[347,490]","[0,2]"
baseline,4,10,5.0,5.5,10141.618340562687,10142.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[735,782]","[14,15]"
baseline,4,10,5.0,5.5,10141.618340562687,10142.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[549,943]","[5,12]"
baseline,4,10,5.0,5.5,10141.618340562687,10142.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,10,5.0,5.5,10141.618340562687,10142.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,11,5.5,6.0,10142.118340562687,10142.618340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[782],[15]
baseline,4,11,5.5,6.0,10142.118340562687,10142.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[549,646]","[5,13]"
baseline,4,11,5.5,6.0,10142.118340562687,10142.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,11,5.5,6.0,10142.118340562687,10142.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,12,6.0,6.5,10142.618340562687,10143.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[782],[15]
baseline,4,12,6.0,6.5,10142.618340562687,10143.118340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[646],[13]
baseline,4,12,6.0,6.5,10142.618340562687,10143.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[490,537]","[2,11]"
baseline,4,12,6.0,6.5,10142.618340562687,10143.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[490,537]","[2,11]"
baseline,4,13,6.5,7.0,10143.118340562687,10143.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[594,782]","[13,15]"
baseline,4,13,6.5,7.0,10143.118340562687,10143.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[347,646]","[0,13]"
baseline,4,13,6.5,7.0,10143.118340562687,10143.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[537],[11]
baseline,4,13,6.5,7.0,10143.118340562687,10143.618340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[537],[11]
baseline,4,14,7.0,7.5,10143.618340562687,10144.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[594],[13]
baseline,4,14,7.0,7.5,10143.618340562687,10144.118340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[347],[0]
baseline,4,14,7.0,7.5,10143.618340562687,10144.118340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[493,537]","[11,12]"
baseline,4,14,7.0,7.5,10143.618340562687,10144.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[493,537]","[11,12]"
baseline,4,15,7.5,8.0,10144.118340562687,10144.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[594,832]","[13,15]"
baseline,4,15,7.5,8.0,10144.118340562687,10144.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,15,7.5,8.0,10144.118340562687,10144.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,15,7.5,8.0,10144.118340562687,10144.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,16,8.0,8.5,10144.618340562687,10145.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[753,832]","[6,15]"
baseline,4,16,8.0,8.5,10144.618340562687,10145.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[347,490]","[0,2]"
baseline,4,16,8.0,8.5,10144.618340562687,10145.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[493],[12]
