case,num_ssu,bin,relative_start_ms,relative_end_ms,absolute_start_ms,absolute_end_ms,duration_ms,ssu_id,ssd_busy_ms,ssd_utilization,ssd_utilization_pct,ssd_served_gb,actual_ssd_bandwidth_gbps,request_ids,layers
baseline,4,16,8.0,8.5,10144.618340562687,10145.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,17,8.5,9.0,10145.118340562687,10145.618340562687,0.5,0,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,[753],[6]
baseline,4,17,8.5,9.0,10145.118340562687,10145.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,17,8.5,9.0,10145.118340562687,10145.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[493,521]","[2,12]"
baseline,4,17,8.5,9.0,10145.118340562687,10145.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[493,521]","[2,12]"
baseline,4,18,9.0,9.5,10145.618340562687,10146.118340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[501,753]","[6,13]"
baseline,4,18,9.0,9.5,10145.618340562687,10146.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,18,9.0,9.5,10145.618340562687,10146.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,18,9.0,9.5,10145.618340562687,10146.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,19,9.5,10.0,10146.118340562687,10146.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[501],[13]
baseline,4,19,9.5,10.0,10146.118340562687,10146.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[490,537]","[2,11]"
baseline,4,19,9.5,10.0,10146.118340562687,10146.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,19,9.5,10.0,10146.118340562687,10146.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,20,10.0,10.5,10146.618340562687,10147.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[501,943]","[12,13]"
baseline,4,20,10.0,10.5,10146.618340562687,10147.118340562687,0.5,1,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,[537],[11]
baseline,4,20,10.0,10.5,10146.618340562687,10147.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[521,594,615]","[1,2,14]"
baseline,4,20,10.0,10.5,10146.618340562687,10147.118340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[521,594,615]","[1,2,14]"
baseline,4,21,10.5,11.0,10147.118340562687,10147.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[943],[12]
baseline,4,21,10.5,11.0,10147.118340562687,10147.618340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[493,537]","[11,12]"
baseline,4,21,10.5,11.0,10147.118340562687,10147.618340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[594,615]","[1,14]"
baseline,4,21,10.5,11.0,10147.118340562687,10147.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,22,11.0,11.5,10147.618340562687,10148.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[943],[12]
baseline,4,22,11.0,11.5,10147.618340562687,10148.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,22,11.0,11.5,10147.618340562687,10148.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,22,11.0,11.5,10147.618340562687,10148.118340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[594,615,728]","[0,1,14]"
baseline,4,23,11.5,12.0,10148.118340562687,10148.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[549,646,943]","[5,12,13]"
baseline,4,23,11.5,12.0,10148.118340562687,10148.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,23,11.5,12.0,10148.118340562687,10148.618340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[615,728]","[0,1]"
baseline,4,23,11.5,12.0,10148.118340562687,10148.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,24,12.0,12.5,10148.618340562687,10149.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[646],[13]
baseline,4,24,12.0,12.5,10148.618340562687,10149.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[493,521]","[2,12]"
baseline,4,24,12.0,12.5,10148.618340562687,10149.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,24,12.0,12.5,10148.618340562687,10149.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,25,12.5,13.0,10149.118340562687,10149.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[347,646]","[0,13]"
baseline,4,25,12.5,13.0,10149.118340562687,10149.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,25,12.5,13.0,10149.118340562687,10149.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[501,728]","[0,14]"
baseline,4,25,12.5,13.0,10149.118340562687,10149.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[501,728]","[0,14]"
baseline,4,26,13.0,13.5,10149.618340562687,10150.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[347],[0]
baseline,4,26,13.0,13.5,10149.618340562687,10150.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,26,13.0,13.5,10149.618340562687,10150.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,26,13.0,13.5,10149.618340562687,10150.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,27,13.5,14.0,10150.118340562687,10150.618340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[347],[0]
baseline,4,27,13.5,14.0,10150.118340562687,10150.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[521,594,615]","[1,2,14]"
baseline,4,27,13.5,14.0,10150.118340562687,10150.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,27,13.5,14.0,10150.118340562687,10150.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,28,14.0,14.5,10150.618340562687,10151.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[347,490]","[0,2]"
baseline,4,28,14.0,14.5,10150.618340562687,10151.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,28,14.0,14.5,10150.618340562687,10151.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[501,864,943]","[0,13,14]"
baseline,4,28,14.0,14.5,10150.618340562687,10151.118340562687,0.5,3,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,"[501,864,943]","[0,13,14]"
baseline,4,29,14.5,15.0,10151.118340562687,10151.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,29,14.5,15.0,10151.118340562687,10151.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,29,14.5,15.0,10151.118340562687,10151.618340562687,0.5,2,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,[943],[13]
baseline,4,29,14.5,15.0,10151.118340562687,10151.618340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[943],[13]
baseline,4,30,15.0,15.5,10151.618340562687,10152.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[490],[2]
baseline,4,30,15.0,15.5,10151.618340562687,10152.118340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[615,728]","[0,1]"
baseline,4,30,15.0,15.5,10151.618340562687,10152.118340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[549,753,943]","[6,7,13]"
baseline,4,30,15.0,15.5,10151.618340562687,10152.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[943],[13]
baseline,4,31,15.5,16.0,10152.118340562687,10152.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[490,537]","[2,11]"
baseline,4,31,15.5,16.0,10152.118340562687,10152.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,31,15.5,16.0,10152.118340562687,10152.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[549,753]","[6,7]"
baseline,4,31,15.5,16.0,10152.118340562687,10152.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[549,753,943]","[6,7,13]"
baseline,4,32,16.0,16.5,10152.618340562687,10153.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[537],[11]
baseline,4,32,16.0,16.5,10152.618340562687,10153.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,32,16.0,16.5,10152.618340562687,10153.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[753],[7]
baseline,4,32,16.0,16.5,10152.618340562687,10153.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[452,753]",[7]
baseline,4,33,16.5,17.0,10153.118340562687,10153.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[493,537]","[11,12]"
baseline,4,33,16.5,17.0,10153.118340562687,10153.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[501,728]","[0,14]"
baseline,4,33,16.5,17.0,10153.118340562687,10153.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[452,753]",[7]
baseline,4,33,16.5,17.0,10153.118340562687,10153.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[452],[7]
baseline,4,34,17.0,17.5,10153.618340562687,10154.118340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[493],[12]
baseline,4,34,17.0,17.5,10153.618340562687,10154.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,34,17.0,17.5,10153.618340562687,10154.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[452],[7]
baseline,4,34,17.0,17.5,10153.618340562687,10154.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[452],[7]
baseline,4,35,17.5,18.0,10154.118340562687,10154.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[493],[12]
baseline,4,35,17.5,18.0,10154.118340562687,10154.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,35,17.5,18.0,10154.118340562687,10154.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[452,646]","[7,14]"
baseline,4,35,17.5,18.0,10154.118340562687,10154.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[452,646]","[7,14]"
baseline,4,36,18.0,18.5,10154.618340562687,10155.118340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[493,521]","[2,12]"
baseline,4,36,18.0,18.5,10154.618340562687,10155.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[501,864,943]","[0,13,14]"
baseline,4,36,18.0,18.5,10154.618340562687,10155.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[646],[14]
baseline,4,36,18.0,18.5,10154.618340562687,10155.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[490,646]","[3,14]"
baseline,4,37,18.5,19.0,10155.118340562687,10155.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,37,18.5,19.0,10155.118340562687,10155.618340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[943],[13]
baseline,4,37,18.5,19.0,10155.118340562687,10155.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[490,646]","[3,14]"
baseline,4,37,18.5,19.0,10155.118340562687,10155.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[490],[3]
baseline,4,38,19.0,19.5,10155.618340562687,10156.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[521],[2]
baseline,4,38,19.0,19.5,10155.618340562687,10156.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[943],[13]
baseline,4,38,19.0,19.5,10155.618340562687,10156.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[490],[3]
baseline,4,38,19.0,19.5,10155.618340562687,10156.118340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[490],[3]
baseline,4,39,19.5,20.0,10156.118340562687,10156.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[521,594,615]","[1,2,14]"
baseline,4,39,19.5,20.0,10156.118340562687,10156.618340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[549,753,943]","[6,7,13]"
baseline,4,39,19.5,20.0,10156.118340562687,10156.618340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[490],[3]
baseline,4,39,19.5,20.0,10156.118340562687,10156.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[490],[3]
baseline,4,40,20.0,20.5,10156.618340562687,10157.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,40,20.0,20.5,10156.618340562687,10157.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[549,753]","[6,7]"
baseline,4,40,20.0,20.5,10156.618340562687,10157.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[490,579]","[3,6]"
baseline,4,40,20.0,20.5,10156.618340562687,10157.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[490,579]","[3,6]"
baseline,4,41,20.5,21.0,10157.118340562687,10157.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[594,615]","[1,14]"
baseline,4,41,20.5,21.0,10157.118340562687,10157.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[452,753]",[7]
baseline,4,41,20.5,21.0,10157.118340562687,10157.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[579],[6]
baseline,4,41,20.5,21.0,10157.118340562687,10157.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[579],[6]
baseline,4,42,21.0,21.5,10157.618340562687,10158.118340562687,0.5,0,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,"[615,728]","[0,1]"
baseline,4,42,21.0,21.5,10157.618340562687,10158.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[452],[7]
baseline,4,42,21.0,21.5,10157.618340562687,10158.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[347,579]","[1,6]"
baseline,4,42,21.0,21.5,10157.618340562687,10158.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,"[347,579]","[1,6]"
baseline,4,43,21.5,22.0,10158.118340562687,10158.618340562687,0.5,0,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[728],[0]
baseline,4,43,21.5,22.0,10158.118340562687,10158.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[452,646]","[7,14]"
baseline,4,43,21.5,22.0,10158.118340562687,10158.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[347],[1]
baseline,4,43,21.5,22.0,10158.118340562687,10158.618340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[347],[1]
baseline,4,44,22.0,22.5,10158.618340562687,10159.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[728],[0]
baseline,4,44,22.0,22.5,10158.618340562687,10159.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[646],[14]
baseline,4,44,22.0,22.5,10158.618340562687,10159.118340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[347],[1]
baseline,4,44,22.0,22.5,10158.618340562687,10159.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[347],[1]
baseline,4,45,22.5,23.0,10159.118340562687,10159.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[501,728]","[0,14]"
baseline,4,45,22.5,23.0,10159.118340562687,10159.618340562687,0.5,1,0.5,1.0,100.0,0.020000000000000004,40.00000000000001,"[490,646]","[3,14]"
baseline,4,45,22.5,23.0,10159.118340562687,10159.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,"[347,922]","[1,10]"
baseline,4,45,22.5,23.0,10159.118340562687,10159.618340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[347,922]","[1,10]"
baseline,4,46,23.0,23.5,10159.618340562687,10160.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,46,23.0,23.5,10159.618340562687,10160.118340562687,0.5,1,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[490],[3]
baseline,4,46,23.0,23.5,10159.618340562687,10160.118340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[922],[10]
baseline,4,46,23.0,23.5,10159.618340562687,10160.118340562687,0.5,3,0.5,1.0,100.0,0.02,40.0,[922],[10]
baseline,4,47,23.5,24.0,10160.118340562687,10160.618340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,[501],[14]
baseline,4,47,23.5,24.0,10160.118340562687,10160.618340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,[490],[3]
baseline,4,47,23.5,24.0,10160.118340562687,10160.618340562687,0.5,2,0.5,1.0,100.0,0.02,40.0,[922],[10]
baseline,4,47,23.5,24.0,10160.118340562687,10160.618340562687,0.5,3,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,[922],[10]
baseline,4,48,24.0,24.5,10160.618340562687,10161.118340562687,0.5,0,0.5,1.0,100.0,0.02,40.0,"[501,864,943]","[0,13,14]"
baseline,4,48,24.0,24.5,10160.618340562687,10161.118340562687,0.5,1,0.5,1.0,100.0,0.02,40.0,"[490,579]","[3,6]"
baseline,4,48,24.0,24.5,10160.618340562687,10161.118340562687,0.5,2,0.5,1.0,100.0,0.019999999999999997,39.99999999999999,"[594,922]","[10,15]"
