npu,request_id,next_request_id,role,compute_layer,read_layer,start_ms,end_ms,D_ms,C_ms,deadline_ms,clipped_start_ms,clipped_end_ms,actual_window_compute_ms,group,same_request,complete_cycle,V_GiB,B_GiB_s,mean_b_GiB_s,r,physically_received_GiB
0,8,8,B,3,4,1986.589248958084,2015.1820909539647,28.59284199588069,28.59284199588069,2015.1820909539647,2000.0,2015.1820909539647,15.182090953964689,gray,True,False,0.03759765625,1.3149324665039108,,,
0,8,8,B,4,5,2015.1820909539647,2043.7749329498454,28.59284199588069,28.59284199588069,2043.7749329498454,2015.1820909539647,2043.7749329498454,28.59284199588069,B,True,True,0.03759765625,1.3149324665039108,1.3149324665039108,1.0,0.03759765625
0,8,8,B,5,6,2043.7749329498454,2072.367774945726,28.59284199588069,28.59284199588069,2072.367774945726,2043.7749329498454,2072.367774945726,28.59284199588069,B,True,True,0.03759765625,1.3149324665039108,1.3149324665039108,1.0,0.03759765625
0,8,8,B,6,7,2072.367774945726,2100.960616941607,28.592841995880917,28.592841995880917,2100.960616941607,2072.367774945726,2100.960616941607,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,8,8,B,7,8,2100.960616941607,2129.553458937488,28.592841995880917,28.592841995880917,2129.553458937488,2100.960616941607,2129.553458937488,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,8,9,B,8,1,2129.553458937488,2158.146300933369,28.592841995880917,28.592841995880917,2158.146300933369,2129.553458937488,2158.146300933369,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,,
0,9,9,A,1,2,2158.146300933369,2164.170312481958,6.024011548588987,6.024011548588987,2164.170312481958,2158.146300933369,2164.170312481958,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,2,3,2164.170312481958,2170.194324030547,6.024011548588987,6.024011548588987,2170.194324030547,2164.170312481958,2170.194324030547,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,3,4,2170.194324030547,2176.218335579136,6.024011548588987,6.024011548588987,2176.218335579136,2170.194324030547,2176.218335579136,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,4,5,2176.218335579136,2182.2423471277248,6.024011548588987,6.024011548588987,2182.2423471277248,2176.218335579136,2182.2423471277248,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,5,6,2182.2423471277248,2188.2663586763138,6.024011548588987,6.024011548588987,2188.2663586763138,2182.2423471277248,2188.2663586763138,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,6,7,2188.2663586763138,2194.2903702249027,6.024011548588987,6.024011548588987,2194.2903702249027,2188.2663586763138,2194.2903702249027,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,9,9,A,7,8,2194.2903702249027,2208.940890803008,14.650520578105443,6.024011548588987,2200.3143817734917,2194.2903702249027,2208.940890803008,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,11.708751625999074,0.4111807165126683,0.171539306640625
0,9,10,A,8,1,2208.940890803008,2214.964902351597,6.024011548588987,6.024011548588987,2214.964902351597,2208.940890803008,2214.964902351597,6.024011548588987,gray,False,True,0.171539306640625,28.475925926935663,,,
0,10,10,B,1,2,2214.964902351597,2243.557744347478,28.592841995880917,28.592841995880917,2243.557744347478,2214.964902351597,2243.557744347478,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,2,3,2243.557744347478,2272.150586343359,28.592841995880917,28.592841995880917,2272.150586343359,2243.557744347478,2272.150586343359,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,3,4,2272.150586343359,2300.74342833924,28.592841995880917,28.592841995880917,2300.74342833924,2272.150586343359,2300.74342833924,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,4,5,2300.74342833924,2329.336270335121,28.592841995880917,28.592841995880917,2329.336270335121,2300.74342833924,2329.336270335121,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,5,6,2329.336270335121,2357.9291123310018,28.592841995880917,28.592841995880917,2357.9291123310018,2329.336270335121,2357.9291123310018,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,6,7,2357.9291123310018,2386.5219543268827,28.592841995880917,28.592841995880917,2386.5219543268827,2357.9291123310018,2386.5219543268827,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,10,B,7,8,2386.5219543268827,2415.1147963227636,28.592841995880917,28.592841995880917,2415.1147963227636,2386.5219543268827,2415.1147963227636,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,10,11,B,8,1,2415.1147963227636,2443.7076383186445,28.592841995880917,28.592841995880917,2443.7076383186445,2415.1147963227636,2443.7076383186445,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,,
0,11,11,B,1,2,2443.7076383186445,2472.3004803145254,28.592841995880917,28.592841995880917,2472.3004803145254,2443.7076383186445,2472.3004803145254,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,2,3,2472.3004803145254,2500.8933223104063,28.592841995880917,28.592841995880917,2500.8933223104063,2472.3004803145254,2500.8933223104063,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,3,4,2500.8933223104063,2529.4861643062873,28.592841995880917,28.592841995880917,2529.4861643062873,2500.8933223104063,2529.4861643062873,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,4,5,2529.4861643062873,2558.079006302168,28.592841995880917,28.592841995880917,2558.079006302168,2529.4861643062873,2558.079006302168,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,5,6,2558.079006302168,2586.671848298049,28.592841995880917,28.592841995880917,2586.671848298049,2558.079006302168,2586.671848298049,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,6,7,2586.671848298049,2615.26469029393,28.592841995880917,28.592841995880917,2615.26469029393,2586.671848298049,2615.26469029393,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,11,B,7,8,2615.26469029393,2643.857532289811,28.592841995880917,28.592841995880917,2643.857532289811,2615.26469029393,2643.857532289811,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,11,12,B,8,1,2643.857532289811,2672.450374285692,28.592841995880917,28.592841995880917,2672.450374285692,2643.857532289811,2672.450374285692,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,,
0,12,12,A,1,2,2672.450374285692,2678.474385834281,6.024011548588987,6.024011548588987,2678.474385834281,2672.450374285692,2678.474385834281,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,2,3,2678.474385834281,2684.49839738287,6.024011548588987,6.024011548588987,2684.49839738287,2678.474385834281,2684.49839738287,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,3,4,2684.49839738287,2690.522408931459,6.024011548588987,6.024011548588987,2690.522408931459,2684.49839738287,2690.522408931459,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,4,5,2690.522408931459,2696.546420480048,6.024011548588987,6.024011548588987,2696.546420480048,2690.522408931459,2696.546420480048,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,5,6,2696.546420480048,2702.570432028637,6.024011548588987,6.024011548588987,2702.570432028637,2696.546420480048,2702.570432028637,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,6,7,2702.570432028637,2708.594443577226,6.024011548588987,6.024011548588987,2708.594443577226,2702.570432028637,2708.594443577226,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,12,A,7,8,2708.594443577226,2714.6184551258148,6.024011548588987,6.024011548588987,2714.6184551258148,2708.594443577226,2714.6184551258148,6.024011548588987,A,True,True,0.171539306640625,28.475925926935663,28.475925926935663,1.0,0.171539306640625
0,12,13,A,8,1,2714.6184551258148,2720.6424666744037,6.024011548588987,6.024011548588987,2720.6424666744037,2714.6184551258148,2720.6424666744037,6.024011548588987,gray,False,True,0.171539306640625,28.475925926935663,,,
0,13,13,B,1,2,2720.6424666744037,2749.2353086702847,28.592841995880917,28.592841995880917,2749.2353086702847,2720.6424666744037,2749.2353086702847,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,2,3,2749.2353086702847,2777.8281506661656,28.592841995880917,28.592841995880917,2777.8281506661656,2749.2353086702847,2777.8281506661656,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,3,4,2777.8281506661656,2806.4209926620465,28.592841995880917,28.592841995880917,2806.4209926620465,2777.8281506661656,2806.4209926620465,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,4,5,2806.4209926620465,2835.0138346579274,28.592841995880917,28.592841995880917,2835.0138346579274,2806.4209926620465,2835.0138346579274,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,5,6,2835.0138346579274,2863.6066766538083,28.592841995880917,28.592841995880917,2863.6066766538083,2835.0138346579274,2863.6066766538083,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,6,7,2863.6066766538083,2892.1995186496893,28.592841995880917,28.592841995880917,2892.1995186496893,2863.6066766538083,2892.1995186496893,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,13,B,7,8,2892.1995186496893,2920.79236064557,28.592841995880917,28.592841995880917,2920.79236064557,2892.1995186496893,2920.79236064557,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,13,14,B,8,1,2920.79236064557,2949.385202641451,28.592841995880917,28.592841995880917,2949.385202641451,2920.79236064557,2949.385202641451,28.592841995880917,gray,False,True,0.03759765625,1.3149324665039004,,,
0,14,14,B,1,2,2949.385202641451,2977.978044637332,28.592841995880917,28.592841995880917,2977.978044637332,2949.385202641451,2977.978044637332,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,14,14,B,2,3,2977.978044637332,3006.570886633213,28.592841995880917,28.592841995880917,3006.570886633213,2977.978044637332,3006.570886633213,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,14,14,B,3,4,3006.570886633213,3035.163728629094,28.592841995880917,28.592841995880917,3035.163728629094,3006.570886633213,3035.163728629094,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,14,14,B,4,5,3035.163728629094,3063.7565706249748,28.592841995880917,28.592841995880917,3063.7565706249748,3035.163728629094,3063.7565706249748,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,14,14,B,5,6,3063.7565706249748,3092.3494126208557,28.592841995880917,28.592841995880917,3092.3494126208557,3063.7565706249748,3092.3494126208557,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
0,14,14,B,6,7,3092.3494126208557,3120.9422546167366,28.592841995880917,28.592841995880917,3120.9422546167366,3092.3494126208557,3120.9422546167366,28.592841995880917,B,True,True,0.03759765625,1.3149324665039004,1.3149324665039004,1.0,0.03759765625
