label,family,seed,strategy,input_fingerprint,status,path,sha256,every_core_and_policy_hash_matches_current_frozen_source,stress_runner_sha256,submit_seed,makespan_ms,fleet_full_run_utilization
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,complete,results/baseline_npu32_investigation/mixed_controls/runs/aligned_varied_short_only_seed7/baseline/aligned_varied_short_only_seed7_db2ac5a126b2_baseline_ffe76c7072.json.gz,e32421ae1b73ecb2ddecfd9e0c269336db9d1e41536cd09bdb08f14edc05d126,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,4028.3718111968988,0.9999719843945173
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,complete,results/baseline_npu32_investigation/mixed_controls/runs/aligned_varied_short_only_seed7/once/aligned_varied_short_only_seed7_db2ac5a126b2_once_d8f13cde8c.json.gz,42e755144e047b5c62d9ff5500dde9cc12b708ac73c6ea5e106635a3dde8de45,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,4028.451538369732,0.9999521939270215
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,complete,results/baseline_npu32_investigation/mixed_controls/runs/aligned_varied_short_only_seed7/new_once/aligned_varied_short_only_seed7_db2ac5a126b2_new_once_d6233f2cac.json.gz,8f7fd8f6dc7acf3a51f2fc4734fdf053bd516b3f5d100c0aed83d360efc3ceb9,True,94704edf908fbf90b9e39f5b26f94ad59c0c5dcfc4c1b981e1a2860921c2946d,7,4028.468323037701,0.9999480276126277
