label,family,seed,strategy,input_fingerprint,seq_len_k,nql,role,compute_share_of_full_input,request_count,compute_ms,active_ms,aggregate_compute_fraction,mean_request_compute_fraction,min_request_compute_fraction,p05_request_compute_fraction,median_request_compute_fraction,mean_io_stall_ms,mean_layer0_stall_ms,mean_warm_layers_stall_ms,warm_layers_share_of_total_stall,p95_io_stall_ms,admission_slo_passed,admission_slo_pass_rate,arrival_slo_passed,arrival_slo_pass_rate,cohort_id_sha256
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,128,short,0.24847339287415543,7584,32029.2854290076,32030.519784403015,0.999961463148156,0.9999623824097931,0.9739727991146931,0.9999999999999948,1.0000000000000486,0.00016275783168615668,0.00016275783168615668,0.0,0.0,0.0,7584,1.0,12,0.0015822784810126582,a2eea6ab3a9b84b0bda936dd268cb29e5f790d936b264f619c877c219a832394
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,256,short,0.32817588941682774,7584,42303.27888014009,42303.99318929989,0.9999831148526193,0.9999833637255189,0.981088357687805,0.9999999999997392,0.9999999999999838,9.418633376495748e-05,9.418633376495748e-05,0.0,0.0,0.0,7584,1.0,9,0.0011867088607594937,5dc0322cb9888823712d149e4d4a710a4fdafeaa94190b59b8aeca39480ca83e
aligned_varied_short_only_seed7,aligned,7,baseline,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,384,short,0.4233507177089993,7584,54571.72221632727,54572.48889718544,0.9999859511472967,0.999986110171043,0.986310921097022,0.999999999999787,0.9999999999999766,0.00010109188546611287,0.00010109188546611287,0.0,0.0,0.0,7584,1.0,11,0.0014504219409282701,f5c7a6aaa6c27933b18e8913d5ced29eca7f175742594066f9b4a7d0fdf38baf
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,128,short,0.24847339287415543,7584,32029.2854290076,32031.256192093442,0.9999384737497017,0.9999408089422781,0.9563879612791616,0.9999999999999948,1.0000000000000486,0.0002598580018377505,0.0002598580018377505,0.0,0.0,0.0,7584,1.0,12,0.0015822784810126582,a2eea6ab3a9b84b0bda936dd268cb29e5f790d936b264f619c877c219a832394
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,256,short,0.32817588941682774,7584,42303.27888014009,42304.34596732723,0.9999747759441083,0.9999753618682238,0.970170522699856,0.9999999999997392,0.9999999999999838,0.00014070242386830003,0.00014070242386830003,0.0,0.0,0.0,7584,1.0,9,0.0011867088607594937,5dc0322cb9888823712d149e4d4a710a4fdafeaa94190b59b8aeca39480ca83e
aligned_varied_short_only_seed7,aligned,7,once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,384,short,0.4233507177089993,7584,54571.72221632727,54572.66681466591,0.9999826909991067,0.9999829284150747,0.9817933257014106,0.999999999999787,0.9999999999999766,0.00012455146886125397,0.00012455146886125397,0.0,0.0,0.0,7584,1.0,11,0.0014504219409282701,f5c7a6aaa6c27933b18e8913d5ced29eca7f175742594066f9b4a7d0fdf38baf
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,128,short,0.24847339287415543,7584,32029.2854290076,32031.151366385435,0.9999417461658967,0.9999439254278006,0.9527664953277737,0.9999999999999948,1.0000000000000486,0.000246036046667944,0.000246036046667944,0.0,0.0,0.0,7584,1.0,12,0.0015822784810126582,a2eea6ab3a9b84b0bda936dd268cb29e5f790d936b264f619c877c219a832394
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,256,short,0.32817588941682774,7584,42303.27888014009,42304.58612731256,0.999969099161766,0.9999699299207222,0.9645222045632352,0.9999999999997392,0.9999999999999838,0.0001723690886034744,0.0001723690886034744,0.0,0.0,0.0,7584,1.0,9,0.0011867088607594937,5dc0322cb9888823712d149e4d4a710a4fdafeaa94190b59b8aeca39480ca83e
aligned_varied_short_only_seed7,aligned,7,new_once,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,1,384,short,0.4233507177089993,7584,54571.72221632727,54572.90807465125,0.9999782702009876,0.9999786183683915,0.975165255598723,0.999999999999787,0.9999999999999766,0.00015636317579052116,0.00015636317579052116,0.0,0.0,0.0,7584,1.0,11,0.0014504219409282701,f5c7a6aaa6c27933b18e8913d5ced29eca7f175742594066f9b4a7d0fdf38baf
