label,input_fingerprint,strategy,seq_len_k,nql,role,request_count,delta_compute_fraction_pp,delta_admission_slo_pp,delta_mean_io_stall_ms
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,once,1,128,short,7584,-0.002298939845435388,0.0,9.710017015159383e-05
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,once,1,256,short,7584,-0.0008338908510929777,0.0,4.651609010334255e-05
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,once,1,384,short,7584,-0.00032601481899652285,0.0,2.345958339514111e-05
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,new_once,1,128,short,7584,-0.0019716982259332383,0.0,8.327821498178733e-05
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,new_once,1,256,short,7584,-0.0014015690853241836,0.0,7.818275483851692e-05
aligned_varied_short_only_seed7,db2ac5a126b2d9cc4fab0559705963adc34fbb25db75995cace89708a39b7c29,new_once,1,384,short,7584,-0.0007680946309096548,0.0,5.527129032440829e-05
